UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN02558,1995106262,S6262,10,S6262,95,1,12,1,42, 91,255210,043610,0,,,,3,,M,177,217,0,,93,0811,C,,0,,2.0,only 1 /sire,1997
97IN02559,1995106269,S6269,10,S6269,95,2,12,1,42, 91,255210,064410,0,,,,1,,2,133,142,3,,,,C,87,0,1,2.0,,1997
97IN02560,1995106270,S6270,10,S6270,95,2,12,1,42, 91,255210,064410,0,,,,6,,1,141,0,1,,05,0521,C,,0,1,2.0,BLUEBAG 5/21,1997
97IN02561,1995106272,S6272,10,S6272,95,2,13,1,07, 44,1958TX,239910,0,,,,1,,2,169,168,2,,,,F,33,0,1,2.0,,1997
97IN02562,1995106274,S6274,10,S6274,95,2,12,1,07, 81,6139TX,330210,0,,,,1,,1,148,162,2,,,,C,81,0,1,2.0,,1997
97IN02563,1995106278,S6278,10,S6278,95,1,12,1,42, 83,275310,258010,0,,,,2,164,M,172,190,0,,92,0918,C,,0,,2.0,H7 only3/sire,1997
97IN02564,1995106282,S6282,10,S6282,95,2,11,1,07, 31,231510,062610,0,,,,1,,2,175,157,2,,,,R,13,0,1,2.0,,1997
97IN02565,1995106289,S6289,10,S6289,95,2,11,1,07, 34,256710,007210,0,,,,1,,2,152,148,2,,,,R,11,0,1,2.0,,1997
97IN02566,1995106290,S6290,10,S6290,95,1,11,1,07, 34,256710,007210,0,,,,3,,M,188,207,0,,93,0811,R,,0,,2.0,,1997
97IN02567,1995106298,S6298,10,S6298,95,2,12,1,42, 83,275310,076110,0,,,,1,,1,154,146,3,,,,C,84,0,1,2.0,,1997
97IN02568,1995106299,S6299,10,S6299,95,1,12,1,07, 81,6139TX,086610,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,DUD,1997
97IN02569,1995106301,S6301,10,S6301,95,2,12,1,07, 88,320410,081010,0,,,,1,,1,152,133,2,,,,C,87,0,1,2.0,,1997
97IN02570,1995106302,S6302,10,S6302,95,2,12,1,07, 88,320410,081010,0,,,,1,,1,193,185,1,,,,C,88,0,1,2.0,4TEATS,1997
97IN02571,1995106303,S6303,10,S6303,95,2,13,1,07, 43,250010,006010,0,,,,1,,1,165,150,3,,,,F,34,0,1,2.0,NICE,1997
97IN02572,1995106308,S6308,10,S6308,95,1,12,1,07, 80,1574TX,045210,0,,,,3,,M,185,205,0,,93,0811,C,,0,,2.0,H7,1997
97IN02573,1995106312,S6312,10,S6312,95,2,12,1,07, 80,1574TX,957619,0,,,,3,,5,165,195,1,,93,1020,C,,0,*,2.0,BARREN 2yrs,1997
97IN02574,1995106319,S6319,10,S6319,95,2,10,1,07, 23,257610,257910,0,,,,1,,1,197,183,2,,,,M,21,0,1,2.0,,1997
97IN02575,1995106321,S6321,10,S6321,95,2,10,1,07, 21,354710,933119,0,,,,1,,1,176,170,2,,,,M,24,0,1,2.0,,1997
97IN02576,1995106323,S6323,10,S6323,95,2,10,1,07, 23,257610,087710,0,,,,3,,1,185,176,4,,93,0912,M,,0,*,2.0,L.BLOODY &LTs,1997
97IN02577,1995106325,S6325,10,S6325,95,2,12,1,07, 85,296410,132910,0,,,,1,,1,133,145,2,,,,C,81,0,1,2.0,,1997
97IN02578,1995106328,S6328,10,S6328,95,2,11,1,07, 34,256710,207410,0,,,,1,,2,169,167,2,,,,R,12,0,1,2.0,4TEATS,1997
97IN02579,1995106330,S6330,10,S6330,95,2,11,1,07, 32,235910,069010,0,,,,1,,1,178,164,2,,,,R,12,0,1,2.0,CONJUNCTIVITI,1997
97IN02580,1995106339,S6339,10,S6339,95,2,10,1,07, 24,258510,152110,0,,,,1,,1,171,158,2,,,,M,24,0,1,2.0,,1997
97IN02581,1995106341,S6341,10,S6341,95,1,13,1,42, 42,263010,191910,0,,,,2,163,M,193,212,0,,92,0918,F,,0,,2.0,,1997
