UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN02961,1959413962,59,2,G3962,4,71,732,41,2,10,,,2,,2,1,,073,,,73,112,,,088,,41,,091,2,,1162,4,   88,2,,1,,1960,1.0
60IN02962,1959413964,59,2,G3964,4,70,732,41,2,08,,,2,,2,1,,098,,,98,139,,,098,,41,,106,2,,1162,4,   72,2,,1,,1960,1.0
60IN02963,1959413966,59,2,G3966,4,73,017,41,3,08,,,2,,9,1,,102,,,102,132,,,100,,41,,122,5,,1492,4,   71,2,,1,,1960,1.0
60IN02964,1959413968,59,2,G3968,4,16,162,41,1,08,19,,2,,1,1,,082,,,82,106,,,100,,41,,093,4,,0663,4,   16,21,,1,,1960,1.0
60IN02965,1959413969,59,2,G3969,4,18,182,41,1,09,14,,2,,1,1,,087,,,87,111,,,111,,41,,120,4,,1179,4,   18,21,,1,,1960,1.0
60IN02966,1959413970,59,2,G3970,4,18,182,41,1,09,13,,2,,1,1,,082,,,82,96,6,,096,,41,1031,105,2,,1179,4,   18,2,,1,,1960,1.0
60IN02967,1959413974,59,1,G3974,4,06,062,41,1,,22,3,2,,1,,,,,,113,133,,,,,41,,,,,0039,4,,6233,4,1,,1960,1.0
60IN02968,1959413976,59,2,G3976,4,70,732,41,2,09,,,2,,2,1,,104,,,104,131,,,100,,41,,120,4,,1162,4,   73,21,,1,,1960,1.0
60IN02969,1959413977,59,2,G3977,4,07,071,41,1,10,22,,2,,1,1,,077,,,77,105,,,096,,41,,088,3,,1775,4,   07,2,,1,,1960,1.0
60IN02970,1959413978,59,2,G3978,4,70,712,41,1,07,,,2,,2,1,,106,,,106,126,,,085,,41,,104,2,,1743,4,   73,21,,1,,1960,1.0
60IN02971,1959413979,59,1,G3979,4,01,012,41,1,,34,1,2,,1,,,,,,116,156,2,,,,41,0927,,,,1492,4,,9695,4,1,,1960,1.0
60IN02972,1959413982,59,1,G3982,4,71,712,41,2,,,5,2,,2,,,,,,136,158,,,,,41,,,,,1743,4,,9662,4,1,,1960,1.0
60IN02973,1959413985,59,2,G3985,4,18,182,41,1,09,15,,2,,1,1,,092,,,92,124,,,094,,41,,114,2,,1179,4,   18,21,,1,,1960,1.0
60IN02974,1959413986,59,2,G3986,4,16,162,41,1,10,21,,2,,1,1,,083,,,83,110,,,094,,41,,104,3,,0663,4,   16,2,,1,,1960,1.0
60IN02975,1959413987,59,1,G3987,4,18,182,41,1,,19,3,2,,1,,,,,,105,140,3,,,,41,0801,,,,1179,4,,1136,4,1,,1960,1.0
60IN02976,1959413990,59,1,G3990,4,16,162,41,1,,19,5,2,,1,,,,,,106,141,,,,,41,,,,,0663,4,,8064,4,1,,1960,1.0
60IN02977,1959413991,59,2,G3991,4,12,122,41,1,09,10,,2,,1,1,,076,,,76,108,,,099,,41,,103,4,,0569,4,   12,11,,1,,1960,1.0
60IN02978,1959413992,59,2,G3992,4,12,122,41,1,10,10,,2,,1,1,,082,,,82,115,,,092,,41,,101,3,,0569,4,   12,2,,1,,1960,1.0
60IN02979,1959413996,59,1,G3996,4,17,172,41,1,,21,5,2,,1,,,,,,112,132,,,,,41,,,,,0556,4,,1172,4,1,,1960,1.0
60IN02980,1959413997,59,1,G3997,4,14,142,41,1,,20,1,2,,1,,,,,,126,141,2,,,,41,0927,,,,9517,4,,7906,4,1,,1960,1.0
60IN02981,1959413998,59,2,G3998,4,08,081,41,1,10,20,,2,,1,1,,080,,,80,109,,,102,,41,,128,2,,2193,4,   08,21,,1,,1960,1.0
60IN02982,1959413999,59,1,G3999,4,18,182,41,1,,14,1,2,,1,,,,,,86,115,3,,,,41,0801,,,,1179,4,,2123,4,1,,1960,1.0
60IN02983,1959414000,59,1,G4000,4,71,722,41,1,,,1,2,,2,,,,,,110,150,,,,,41,,,,,9993,4,,1826,4,1,,1960,1.0
60IN02984,1959414002,59,2,G4002,4,14,142,41,1,11,40,,2,,1,1,,071,,,71,98,,,095,,41,,095,3,,9517,4,   14,21,,1,,1960,1.0
60IN02985,1959414003,59,1,G4003,4,70,712,41,1,,,1,2,,2,,,,,,106,155,3,,,,41,0801,,,,1743,4,,0830,4,1,,1960,1.0
60IN02986,1959414004,59,1,G4004,4,70,712,41,1,,,1,2,,2,,,,,,151,180,,,,,41,,,,,1743,4,,2194,4,1,,1960,1.0
