UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02308,1989634027,K4027,63,89,2,60,1,06,603,296363,127163,,,,,,, 0,000,1,,5,133,176, 1,B,,,,,,634,4,,1,10,,1990
90IN02309,1983024030,Y4030,02,83,2,74,1,39,002,118502,797801,6,,0,,,, 2,177,3,,*,0,0,,,,,93,0323,,,,,,70,"X,DICK",1990
90IN02310,1989634030,K4030,63,89,2,68,1,06,631,267563,270563,,,,,,, 0,000,1,,5,131,174, 1,B,,,,,,603,4,,1,10,,1990
90IN02311,1989634031,K4031,63,89,1,68,1,06,601,285463,155563,,,,,,0,,,2,233,Y,161,209,,C,+,,92,0920,,,,,,10,,1990
90IN02312,1989034032,L4032,03,89,2,81,1,30,711,199903,329802,,,1,,,, 2,152,1,,1,104,121, 2,B,,,,,,311,2,,2,10,,1990
90IN02313,1989634033,K4033,63,89,1,61,1,06,614,364563,021263,,,,,,,,,3,,Y,151,182,,C,,,93,0806,,,,,,10,,1990
90IN02314,1989034033,L4033,03,89,2,80,1,30,711,199903,329802,,,1,,,, 1,080,1,,1,117,131, 2,A,,,,,,303,3,,2,10,,1990
90IN02315,1989634034,K4034,63,89,1,61,1,06,614,364563,021263,,,,,,1,,,2,221,Y,177,197,,V,,,92,0920,,,,,,10,,1990
90IN02316,1989034036,L4036,03,89,2,81,1,30,713,237003,727402,,,1,,,, 2,000,1,,5,132,172, 2,B,,,,,,312,3,,2,10,,1990
90IN02317,1989634036,K4036,63,89,1,60,1,06,602,273563,153663,,,,,,,,,1,,Y,190,233,,C,,,,,,602,,,1,10,SAVE,1990
90IN02318,1989634038,K4038,63,89,1,63,1,06,633,249563,193963,,,,,,,,,1,,*,0,0,,V,,,76,0503,,,,,,10,,1990
90IN02319,1983024039,Y4039,02,83,2,73,1,30,003,121202,540101,6,,1,,,, 0,000,2,,5,149,0,,,,,,,,,,,,70,,1990
90IN02320,1989634039,K4039,63,89,2,61,1,06,613,328163,054163,,,,,,, 2,084,1,,2,142,170, 2,A,,,,,,631,4,,1,10,,1990
90IN02321,1982194040,S4040,19,82,2,13,1,07,134,331619,211719,6,,0,0,0,0, 1,097,2,102,5,139,140, 2,,,,92,0920,,,,,,80,,1990
