UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00906,R4660,3.0,18,,04,1,0,183,2,W,1,.,.,07,6,163,6,179
06BR00907,R4620,3.0,18,,15,1,7,177,1,W,1,.,.,07,5,159,5,171
06BR00908,R4684,3.0,18,ENTROPION,01,1,7,167,1,W,1,.,.,07,6,151,6,166
06BR00909,R4688,3.0,18,4TEATS, 8,1,0,167,2,W,1,.,.,07,6,159,6,165
06BR00910,R4687,3.0,18,4TEATS,04,1,0,190,1,W,1,.,.,07,5,173,6,175
06BR00911,R4691,3.0,18,"TAY, HAIRY", 1,1,7,178,2,W,1,.,.,07,5,172,6,183
06BR00912,R4696,3.0,18,"TAY, SHAGGY",02,1,7,169,1,W,1,.,.,07,5,160,5,163
06BR00913,R4678,3.0,18,Ytex 2005,21,1,0,164,2,W,1,.,.,07,6,159,6,173
06BR00914,R4216,4.0,18,2nd18Hrs LATE,19,1,0,197,1,W,1,.,.,07,7,190,6,181
06BR00915,R4219,4.0,18,NICE EWE,03,1,0,215,1,W,1,.,.,07,6,194,6,192
06BR00916,R4248,3.0,18,PNEU.,09,1,0,196,2,W,1,.,.,07,5,189,5,196
06BR00917,R4259,3.0,18,,13,1,7,148,2,W,1,.,.,07,5,139,4,129
06BR00918,R4265,3.0,18,Ytex 2005,22,1,7,165,2,W,1,.,.,07,5,160,6,172
06BR00919,R4269,3.0,18,,01,1,0,181,1,W,1,.,.,07,5,164,6,178
06BR00920,R4283,3.0,18,,02,1,0,165,2,W,1,.,.,07,5,156,6,167
06BR00921,R4288,3.0,18,,19,1,0,171,2,W,1,.,.,07,5,161,6,165
06BR00922,R4290,3.0,18,NICE YRLG,26,1,0,184,2,W,1,.,.,07,6,164,6,171
06BR00923,R4298,3.0,18,SUCK1SIDE FLT,21,1,0,196,1,W,1,.,.,07,7,173,6,174
06BR00924,R4299,3.0,18,RP,15,1,7,156,2,W,1,.,.,07,5,155,6,173
06BR00925,R4270,3.0,18,4TEATS, 9,1,0,194,1,W,1,.,.,07,6,189,6,194
06BR00926,R4276,3.0,18,,02,1,0,173,2,W,1,.,.,07,5,167,6,167
06BR00927,R4278,3.0,18,SUCK1SIDE,28,1,7,177,2,W,1,.,.,07,6,175,6,182
06BR00928,R4277,3.0,18,TAY,21,1,7,179,1,W,1,.,.,07,8,165,7,168
06BR00929,R4816,3.0,18,,16,1,7,184,1,W,1,.,.,07,5,189,6,189
06BR00930,R4812,3.0,18,THIN,21,1,7,156,1,W,1,.,.,07,6,146,7,155
06BR00931,R4819,3.0,18,,02,1,0,130,2,W,1,.,.,07,5,127,6,141
06BR00932,R4801,3.0,18,,22,1,7,180,2,W,1,.,.,07,7,165,6,151
06BR00933,R4808,3.0,18,4TEATS,07,1,7,172,2,W,1,.,.,07,6,163,6,173
06BR00934,R4832,3.0,18,NICE LAMB, 1,1,7,172,2,W,1,.,.,07,6,168,6,179
06BR00935,R4863,3.0,18,,13,1,0,168,1,W,1,.,.,07,5,155,6,160
06BR00936,R4823,3.0,18,,08,1,0,167,2,W,1,.,.,07,5,154,4,152
06BR00937,R4824,3.0,18,NICE LAMB,11,1,7,163,1,W,1,.,.,07,4,159,5,171
06BR00938,R4822,3.0,18,LAME.LR.FOOT, 4,1,0,181,5,W,1,.,.,07,5,185,6,195
06BR00939,R4885,3.0,18,,03,1,0,172,2,W,1,.,.,07,6,172,6,181
06BR00940,R4895,3.0,18,, 4,1,0,183,1,W,1,.,.,07,5,163,5,175
06BR00941,R4900,3.0,18,, 6,1,0,165,1,W,1,.,.,07,7,169,7,162
06BR00942,R4904,3.0,18,YTEX TORN OUT,28,1,7,187,1,W,1,.,.,07,7,183,7,178
06BR00943,R4946,3.0,18,, 5,1,0,162,2,W,1,.,.,07,6,146,6,153
06BR00944,R4948,3.0,18,PNEU., 2,1,7,165,1,W,1,.,.,07,6,169,5,173
06BR00945,R4957,3.0,18,FOOT ABS. TX.,18,1,7,169,1,W,1,.,.,07,5,157,6,158
06BR00946,R4961,3.0,18,PNEU.,04,1,0,164,2,W,1,.,.,07,4,155,5,166
06BR00947,R4928,3.0,18,,19,1,0,196,2,W,1,.,.,07,7,191,6,202
06BR00948,R4927,3.0,18,,09,1,7,154,2,W,1,.,.,07,5,147,6,158
06BR00949,R4990,3.0,18,RANGE LAMBER, 5,1,7,153,2,W,1,.,.,07,5,151,5,156
06BR00950,R4971,3.0,18,LT SUCK1SIDE,22,1,7,185,2,W,1,.,.,07,5,171,6,186
06BR00951,R4713,3.0,18,,11,1,0,152,2,W,1,.,.,07,5,149,5,158
06BR00952,R4701,3.0,18,, 7,1,0,174,1,W,1,.,.,07,7,162,6,166
06BR00953,R4733,3.0,18,PNEU., 3,1,7,159,2,W,1,.,.,07,6,160,5,161
06BR00954,R4742,3.0,18,,24,1,0,150,2,W,1,.,.,07,6,140,7,153
06BR00955,R4754,3.0,18,,18,1,0,166,2,W,1,.,.,07,6,158,5,170
06BR00956,R4763,3.0,18,FOOT ABS.THIN,29,1,7,158,1,W,1,.,.,07,5,154,6,163
06BR00957,R4762,3.0,18,MISSING?, 2,1,0,165,2,W,1,.,.,07,7,166,7,177
06BR00958,R4769,3.0,18,,06,1,0,149,2,W,1,.,.,07,4,149,4,159
06BR00959,R4727,3.0,18,,01,1,7,176,2,W,1,.,.,07,6,163,6,172
06BR00960,R4781,3.0,18,NICE LAMB,03,1,0,186,1,W,1,.,.,07,5,173,6,185
06BR00961,R4783,3.0,18,,17,1,7,182,1,W,1,.,.,07,5,181,6,189
