UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
92BR00046,K2440,87,2,68,,602,1,167,3,1,,
92BR00047,K2448,87,2,60,,813,1,171,3,1,,
92BR00048,K2457,87,2,61,30A,601,1,166,3,1,,
92BR00049,K2461,87,2,60,,HMD,1,168,3,A,3,LRG TEATS
92BR00050,K2464,87,2,63,,HMD,1,182,4,A,2,
92BR00051,K2466,87,2,63,35A,-Z-,1,148,3,L,,
92BR00052,K2470,87,2,60,,604,1,186,3,1,,SLOWEWE
92BR00053,K2476,87,2,60,,823,1,194,4,1,,
92BR00054,K2488,87,2,61,31B,-Z-,1,125,1,L,,
92BR00055,K2516,87,2,63,,602,1,190,3,1,,"LTS, ENTR"
92BR00056,K2521,87,2,63,,833,1,198,3,1,,"VLT,WORN TAG"
92BR00057,K2531,87,2,61,34D,-Z-,1,138,0,L,,"LUNGER,DEAD"
92BR00058,K2540,87,2,63,,HMD,1,189,4,A,3,
92BR00059,K2552,87,2,61,,843,1,174,3,1,,
92BR00060,K2554,87,2,63,,603,1,142,2,1,,
92BR00061,K2560,87,2,68,,853,1,195,4,1,,LTS
92BR00062,K2570,87,2,63,,863,1,199,3,1,,DYS.BREECH
92BR00063,K2602,87,2,68,35A,HMD,1,174,3,A,2,
92BR00064,K2611,87,2,61,34D,-Z-,1,172,2,L,,
92BR00065,K2624,87,2,60,,HMD,1,169,3,A,3,LTS&CAKED
92BR00066,K2626,87,2,68,29A,-Z-,1,171,4,L,,
92BR00067,K2639,87,2,63,,HMD,1,220,3,A,2,R.EYE9-11-91
92BR00068,K2648,87,2,68,,604,1,195,3,1,,LT'S
92BR00069,K2685,87,2,60,,601,1,183,3,1,,
92BR00070,K2698,87,2,61,,HMD,1,188,3,A,3,
92BR00071,K2715,87,2,60,,873,1,186,3,1,,
92BR00072,K2721,87,2,60,,HMD,1,167,3,A,2,
92BR00073,K2723,87,2,63,29C,-Z-,1,172,3,L,,
92BR00074,K2760,87,2,63,CO+,602,1,150,2,1,,LF.LAME
92BR00075,K2770,87,2,68,32A,-Z-,1,146,3,L,,
92BR00076,K2779,87,2,61,31B,-Z-,1,178,3,L,,
92BR00077,K2784,87,2,61,,603,1,207,4,1,,
92BR00078,K2798,87,2,63,,883,1,190,3,1,,
92BR00079,K2808,87,2,63,,HMD,1,164,3,A,3,
92BR00080,K2809,87,2,63,31D,-Z-,1,161,3,L,,
92BR00081,K2846,87,2,68,,893,1,194,4,1,,
92BR00082,K2852,87,2,63,30B,604,1,160,3,1,,
92BR00083,K2868,87,2,60,,601,1,178,4,1,,
92BR00084,K2916,87,2,61,35C,-Z-,1,139,2,L,,
92BR00085,K2924,87,2,61,,903,1,194,3,1,,DYSTOCIA
92BR00086,K2936,87,2,68,,HMD,1,227,3,A,2,
92BR00087,K2978,87,2,63,,913,1,214,4,1,,
92BR00088,K2987,87,2,63,,HMD,1,196,3,A,3,
92BR00089,K3010,87,2,63,,602,1,191,3,1,,
92BR00090,K3035,87,2,63,,803,1,189,3,1,,L.EYE CLOUDY
92BR00091,K3053,87,2,60,,813,1,184,3,1,,DYSTOCIA
92BR00092,K3062,88,2,60,,HMD,1,178,3,A,2,
92BR00093,K3066,88,2,60,30B,-Z-,1,180,3,L,,
92BR00094,K3070,88,2,61,,HMD,1,201,3,A,3,
92BR00095,K3072,88,2,60,30A,-Z-,1,179,3,L,,
92BR00096,K3084,88,2,63,,HMD,1,196,3,A,2,
92BR00097,K3093,88,2,61,,603,1,182,4,1,,AB.NOSE
92BR00098,K3096,88,2,63,,604,1,184,3,1,,
92BR00099,K3098,88,2,61,30B,823,1,159,2,1,,
92BR00100,K3101,88,2,60,SPG, 41,1,166,3,1,S,
92BR00101,K3115,88,2,61,,HMD,1,180,4,A,3,
92BR00102,K3117,88,2,60,,601,1,192,3,1,,
92BR00103,K3122,88,2,61,,602,1,138,3,1,,
92BR00104,K3126,88,2,60,31B,-Z-,1,166,3,L,,
92BR00105,K3128,88,2,60,,833,1,187,3,1,,
