UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00703,S1139,2.0,,From Mud Lake,46,2,0,158,1,146,1008,W,1,,43,160,1113,166,0108
19BR00704,S1145,2.0,,SM.BAG,44,2,0,157,1,151,1008,W,1,,07,155,1113,167,0108
19BR00705,S1151,2.0,,.,54,2,0,179,2,177,1008,W,1,,07,180,1113,184,0108
19BR00706,S1157,2.0,,SM.BAG,45,2,,184,D,173,1008,W,1,,42,182,1113,186,0108
19BR00707,S1165,2.0,,HAIRY,61,2,0,163,1,160,1008,W,1,,07,168,1113,173,0108
19BR00708,S1166,2.0,,.,47,2,0,171,2,152,1010,W,1,,07,175,1113,180,0108
19BR00709,S1175,2.0,,LameFLegsTx,51,2,0,169,1,169,1008,W,1,,07,167,1113,167,0108
19BR00710,S1177,2.0,,.,49,2,0,150,1,154,1008,W,1,,07,153,1113,163,0108
19BR00711,S1190,2.0,,SM.BAG,53,2,0,177,1,164,1010,W,1,,07,185,1113,177,0108
19BR00712,S1201,2.0,,.,49,2,0,176,1,173,1008,W,1,,07,178,1113,193,0108
19BR00713,S1202,2.0,,.,47,2,0,164,2,156,1008,W,1,,43,162,1113,166,0108
19BR00714,S1203,2.0,,HAIRY,41,2,0,158,2,163,1008,W,1,,43,163,1113,167,0108
19BR00715,S1206,2.0,,.,51,2,0,161,2,151,1010,W,1,,07,157,1113,158,0108
19BR00716,S1208,2.0,,.,47,2,0,189,D,177,1008,W,1,,42,187,1113,183,0108
19BR00717,S1215,2.0,,LameLHTx,41,2,0,166,1,161,1008,W,1,,42,162,1113,178,0108
19BR00718,S1223,2.0,,.,42,2,0,160,1,151,1008,W,1,,07,161,1113,166,0108
19BR00719,S1228,2.0,,X Lame RF,55,2,0,156,2,151,1008,W,3,93,07,,,,
19BR00720,S1230,2.0,,.,54,2,0,155,2,157,1008,W,1,,07,171,1113,176,0108
19BR00721,S1232,2.0,,SM.BAG,55,2,0,184,1,183,1008,W,1,,07,191,1113,197,0108
19BR00722,S1234,2.0,,.,56,2,0,156,2,139,1008,W,1,,42,161,1113,165,0108
19BR00723,S1254,2.0,,.,43,2,0,172,2,172,1010,W,1,,07,175,1113,193,0108
19BR00724,S1258,2.0,,.,45,2,0,162,2,152,1008,W,1,,43,174,1113,179,0108
19BR00725,S1259,2.0,,.,42,2,0,198,2,190,1008,W,1,,07,196,1113,208,0108
19BR00726,S1261,2.0,,SM.BAG,59,2,0,165,1,172,1008,W,1,,07,179,1113,183,0108
19BR00727,S1267,2.0,,.,49,2,0,175,1,162,1008,W,1,,07,169,1113,183,0108
19BR00728,S1282,2.0,,.,58,2,0,138,2,133,1010,W,1,,42,144,1113,140,0108
19BR00729,S1287,2.0,,.,60,2,,162,2,147,1008,W,1,,42,168,1113,172,0108
19BR00730,S1288,2.0,,.,46,2,0,164,2,158,1008,W,1,,42,163,1113,163,0108
19BR00731,S1289,2.0,,.,59,2,0,160,2,150,1008,W,1,,42,155,1113,125,0108
19BR00732,S1311,2.0,,SM BAG,53,2,,171,2,167,1008,W,1,,07,174,1113,177,0108
19BR00733,S1313,2.0,,SM.BAG,45,2,0,158,2,155,1008,W,1,,07,163,1113,174,0108
19BR00734,S1319,2.0,,.,50,2,0,172,2,166,1008,W,1,,43,178,1113,172,0108
19BR00735,S1326,2.0,,.,58,2,0,163,2,160,1008,W,1,,07,163,1113,165,0108
19BR00736,S1328,2.0,,.,63,2,0,163,1,151,1010,W,1,,07,169,1113,173,0108
19BR00737,S1329,2.0,,LameLHTx,57,2,0,189,2,177,1008,W,1,,07,187,1113,183,0108
19BR00738,S1336,2.0,,.,60,2,0,166,1,149,1008,W,1,,07,169,1113,175,0108
19BR00739,S1341,2.0,,.,51,2,0,166,1,164,1008,W,1,,07,164,1113,169,0108
19BR00740,S1342,2.0,,.,51,2,0,167,1,167,1008,W,1,,07,180,1113,184,0108
19BR00741,S1346,2.0,,OKFORONE,48,2,0,182,1,184,1008,W,1,,07,182,1113,187,0108
19BR00742,S1348,2.0,,SMBAG,45,2,0,169,2,165,1008,W,1,,07,183,1113,177,0108
19BR00743,S1350,2.0,,HIGH1?,57,2,0,157,1,146,1010,W,1,,07,156,1113,158,0108
19BR00744,S1351,2.0,,.,56,2,0,164,1,163,1008,W,1,,07,164,1113,163,0108
19BR00745,S1352,2.0,,.,52,2,0,174,2,168,1008,W,1,,07,188,1113,184,0108
19BR00746,S1353,2.0,,.,50,2,0,171,2,160,1010,W,1,,07,175,1113,182,0108
19BR00747,S1355,2.0,,.,50,2,0,195,2,188,1008,W,1,,42,204,1113,210,0108
19BR00748,S1357,2.0,,.,55,2,0,176,2,167,1008,W,1,,43,185,1113,199,0108
19BR00749,S1358,2.0,,.,52,2,0,172,2,165,1008,W,1,,43,189,1113,188,0108
19BR00750,S1359,2.0,,.,52,2,0,150,2,149,1008,W,1,,07,163,1113,162,0108
19BR00751,S1364,2.0,,.,44,2,0,158,1,151,1010,W,1,,07,161,1113,173,0108
19BR00752,S1365,2.0,,SM.BAG,44,2,0,193,2,178,1008,W,1,,07,187,1113,189,0108
19BR00753,S1374,2.0,,2ND,54,2,0,172,2,158,1008,W,1,,43,182,1113,185,0108
19BR00754,S1381,2.0,,.,43,2,0,151,1,144,1008,W,1,,07,153,1113,160,0108
19BR00755,S1390,2.0,,.,49,2,0,151,1,133,1008,W,1,,07,144,1113,150,0108
19BR00756,S1393,2.0,,.,48,2,0,147,2,144,1008,W,1,,07,149,1113,156,0108
19BR00757,S1394,2.0,,.,62,2,0,191,2,195,1008,W,1,,07,196,1113,200,0108
19BR00758,S1395,2.0,,SM.BAG,62,2,0,162,1,154,1008,W,1,,07,152,1113,153,0108
19BR00759,S1397,2.0,,.,44,2,,171,2,158,1008,W,1,,07,166,1113,183,0108
19BR00760,S1402,2.0,,.,64,2,,187,2,179,1008,W,1,,07,180,1113,180,0108
19BR00761,S1404,2.0,,Respiratory,63,2,,141,1,147,1008,W,1,,42,152,1113,162,0108
