UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00312,50798,3.0,00,? DAM ? 2014,L-,3,7,143,N,*
98BR00313,50002,3.0,00,,L-,3,7,164,N,*
98BR00314,50008,3.0,00,,L-,3,7,162,N,*
98BR00315,50007,3.0,00,,L-,3,7,145,N,*
98BR00316,A1101,4.0,81,ENTR 1EYE,03,2,0,155,N,W
98BR00317,A1103,4.0,81,,01,2,0,193,N,W
98BR00318,A1133,4.0,ch,4TEATS,57,1,2,141,N,W
98BR00319,A1134,4.0,ch,,58,1,2,161,N,W
98BR00320,A1141,4.0,73,,44-,2,6,0,N,W
98BR00321,A1151,4.0,81,,03,2,0,176,N,W
98BR00322,A1154,4.0,ch,,-0-,1,2,201,N,W
98BR00323,A1169,4.0,ch,,55,1,2,143,N,W
98BR00324,A1125,4.0,ch,4TEATS,56,1,2,164,N,W
98BR00325,A1011,4.0,73,,42-,2,6,177,N,W
98BR00326,A1014,4.0,81,,01,2,0,202,N,W
98BR00327,A1062,4.0,81,BRITCHY,03,2,0,184,N,W
98BR00328,A1024,4.0,81,,02,2,0,161,N,W
98BR00329,A1026,4.0,82,"LT,SUCK1SIDE",30,2,0,152,N,W
98BR00330,A1090,4.0,81,,01,2,0,167,N,W
98BR00331,A1099,4.0,ch,SUCK1SIDE,-0-,1,2,148,N,W
98BR00332,A1073,4.0,81,,04,2,0,139,N,W
98BR00333,A1078,4.0,ch,,58,1,2,139,N,W
98BR00334,A1079,4.0,ch,LT @RIGHT,55,1,2,173,N,W
98BR00335,A1311,4.0,ch,,57,1,2,129,N,W
98BR00336,A1314,4.0,ch,,58,1,2,117,N,W
98BR00337,A1315,4.0,ch,ENTR,55,1,2,150,N,W
98BR00338,A1331,4.0,82,Quint IN 1998,22,2,0,174,N,W
98BR00339,A1346,4.0,ch,SM BAG,-0-,1,2,131,N,W
98BR00340,A1347,4.0,ch,,56,1,2,167,N,W
98BR00341,A1351,4.0,73,HAIRY,L-,3,7,185,N,*
98BR00342,A1358,4.0,82,,23,2,0,163,N,W
98BR00343,A1365,4.0,82,MSG 10/29/98,24,2,0,170,N,*
98BR00344,A1383,4.0,81,,04,2,0,163,N,W
98BR00345,A1397,4.0,81,,04,2,0,181,N,W
98BR00346,A1439,4.0,82,,25,2,0,168,N,W
98BR00347,A1443,4.0,73,,L-,3,6,0,N,*
98BR00348,A1449,4.0,82,SM BAG,26,2,0,196,N,W
98BR00349,A1452,4.0,82,,27,2,0,177,N,W
98BR00350,A1513,4.0,73,,45-,2,6,0,N,W
98BR00351,A1503,4.0,82,,28,2,0,172,N,W
