UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR01426,S0794,4.0,10,, 24,1,0,W
94BR01427,S0795,4.0,13,, 43,1,0,W
94BR01428,S0796,4.0,10,SW BAG ?94, 21,1,0,W
94BR01429,S0797,4.0,13,, 44,1,0,W
94BR01430,S0774,4.0,11,"DEPRESSED,OPP", 31,1,0,W
94BR01431,S0777,4.0,13,DYS.BREECH, 42,1,0,W
94BR01432,S3104,2.0,12,"5"" HORNS", 86,1,0,W
94BR01433,S3149,2.0,10,, 22,1,0,W
94BR01434,S3157,2.0,12,LTS?, 89,1,0,W
94BR01435,S3168,2.0,12,, 88,1,0,W
94BR01436,S3121,2.0,11,, 32,1,0,W
94BR01437,S3120,2.0,12,, 87,1,0,W
94BR01438,S3186,2.0,10,, 24,1,0,W
94BR01439,S3174,2.0,10,, 23,1,0,W
94BR01440,S3176,2.0,12,SM BAG, 90,1,0,W
94BR01441,S3013,2.0,10,, 24,1,0,W
94BR01442,S3015,2.0,12,, 82,1,0,W
94BR01443,S3040,2.0,12,, 83,1,0,W
94BR01444,S3045,2.0,13,, 42,1,0,W
94BR01445,S3042,2.0,12,, 84,1,0,W
94BR01446,S3081,2.0,11,, 34,1,0,W
94BR01447,S3086,2.0,13,, 43,1,0,W
94BR01448,S3082,2.0,10,, 21,1,0,W
94BR01449,S3088,2.0,11,, 31,1,0,W
94BR01450,S3302,2.0,12,, 81,1,0,W
94BR01451,S3308,2.0,12,, 82,1,0,W
94BR01452,S3335,2.0,11,, 31,1,0,W
94BR01453,S3354,1.5,18,,  2,2,2,W
94BR01454,S3320,2.0,13,, 44,1,0,W
94BR01455,S3384,1.5,18,,  2,2,2,W
94BR01456,S3388,1.5,18,,  0,2,2,W
94BR01457,S3390,1.5,18,,  2,2,2,W
94BR01458,S3396,1.5,18,,  0,2,2,W
94BR01459,S3397,1.5,18,,  2,2,2,W
94BR01460,S3379,1.5,18,LTS,  0,2,2,W
94BR01461,S3419,1.5,18,,  2,2,2,W
94BR01462,S3403,1.5,18,,  0,2,2,W
94BR01463,S3496,1.0,10,, 21,1,0,W
94BR01464,S3503,1.0,11,, 31,1,0,W
94BR01465,S3548,1.0,18,,CCz,1,0,W
94BR01466,S3558,1.0,00,, 52,1,0,W
94BR01467,S3598,1.0,13,, 41,1,0,W
94BR01468,S3601,1.0,00,"NICE,RHOCKCUT", 53,1,0,W
94BR01469,S3604,1.0,10,, 22,1,0,W
94BR01470,S3605,1.0,00,, 51,1,0,W
94BR01471,S3607,1.0,18,,  0,2,2,W
94BR01472,S3635,1.0,00,, 54,1,0,W
94BR01473,S3647,1.0,00,, 52,1,0,W
