UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00603,T3148,4.0,,CHEWS.TAILS,35,2,0,190,1,W,1,,02,197,1112,204,0106
14BR00604,T3176,4.0,,SRS.MORE,35,2,0,161,2,W,1,,02,158,1112,156,0106
14BR00605,T3225,4.0,,SRS.MORE,31,2,0,180,2,W,1,,02,183,1112,184,0106
14BR00606,T3231,4.0,,4TEATS,34,2,0,177,1,W,1,,02,183,1112,183,0106
14BR00607,T3243,4.0,,SRS.MORE,36,2,0,140,1,W,1,,02,154,1112,153,0106
14BR00608,T3248,4.0,,SLS.MORE,33,2,0,184,1,W,1,,02,191,1112,182,0106
14BR00609,T3255,4.0,,.,32,2,0,154,1,W,1,,02,160,1112,158,0106
14BR00610,T3269,4.0,,4TEATS,31,2,0,210,D,W,1,,02,223,1112,206,0106
14BR00611,T3308,4.0,,.,35,2,0,163,1,W,1,,02,168,1112,179,0106
14BR00612,T3313,4.0,,.,20,1,0,171,2,W,1,,02,177,1107,184,0106
14BR00613,T3314,4.0,,4TEATS,32,2,0,171,2,W,1,,02,172,1112,180,0106
14BR00614,T3316,4.0,,.,27,2,0,183,2,W,1,,02,185,1112,188,0106
14BR00615,T3320,4.0,,TerminalOnly,32,2,0,176,1,W,1,,02,182,1112,183,0106
14BR00616,T3351,4.0,,.,27,2,0,200,2,W,1,,02,205,1112,210,0106
14BR00617,T3354,4.0,,4TEATS,27,2,0,166,2,W,1,,02,176,1112,185,0106
14BR00618,T3361,4.0,,1ST,33,2,0,214,1,W,1,,02,213,1112,201,0106
14BR00619,T3378,4.0,,SRSMORE.LTITL,35,2,0,191,2,W,1,,02,186,1112,195,0106
14BR00620,T3406,4.0,,.,24,1,0,196,2,W,1,,02,195,1107,205,0106
14BR00621,T3438,4.0,,.,29,2,0,167,2,W,1,,02,166,1112,166,0106
14BR00622,T3443,4.0,,RT.HALF DRY,30,2,0,186,2,W,1,,02,185,1112,193,0106
14BR00623,T3451,4.0,,NICE LAMB,20,1,0,215,1,W,1,,02,223,1107,224,0106
14BR00624,T3551,3.0,,.,35,2,7,152,2,W,1,,02,154,1112,160,0106
14BR00625,T3554,3.0,,.,33,2,7,183,D,W,1,,02,189,1112,180,0106
14BR00626,T3565,3.0,,NICE LAMB,19,1,7,195,2,W,1,,02,198,1107,209,0106
14BR00627,T3568,3.0,,LG.TEATS,36,2,7,137,1,W,1,,02,144,1112,151,0106
14BR00628,T3603,3.0,,4TEATS,33,2,7,164,1,W,1,,02,182,1112,184,0106
14BR00629,T3621,3.0,,TerminalOnly,27,2,7,178,2,W,1,,02,182,1112,178,0106
14BR00630,T3638,3.0,,NICE LAMB,34,2,7,189,2,W,1,,02,199,1112,199,0106
14BR00631,T3640,3.0,,.,21,1,7,161,2,W,1,,02,182,1107,173,0106
14BR00632,T3645,3.0,,ADR.LAME.RIGH,31,2,7,197,D,W,1,,02,210,1112,195,0106
14BR00633,T3662,3.0,,.,36,2,7,148,1,W,1,,02,160,1112,160,0106
14BR00634,T3677,3.0,,.,34,2,7,157,2,W,1,,02,158,1112,161,0106
14BR00635,T3689,3.0,,NICE LAMB,33,2,7,137,1,W,1,,02,131,1112,120,0106
14BR00636,T3728,3.0,,ENTROPION,30,2,7,192,1,W,1,,02,191,1112,190,0106
14BR00637,T3741,3.0,,.,35,2,7,185,2,W,1,,02,178,1112,191,0106
14BR00638,T3751,3.0,,RP.HARD PULL,25,1,7,160,D,W,1,,02,171,1107,173,0106
14BR00639,T3755,3.0,,DRY,20,1,7,161,D,W,1,,02,165,1107,164,0106
14BR00640,T3756,3.0,,TerminalOnly,35,2,7,184,2,W,1,,02,176,1112,187,0106
14BR00641,T3760,3.0,,.,30,2,7,153,1,W,1,,02,149,1112,162,0106
14BR00642,T3776,3.0,,RT.TEAT LG,34,2,7,179,1,W,1,,02,184,1112,191,0106
14BR00643,T3789,3.0,,Thin Pen 2013,23,1,7,147,1,W,1,,02,153,1107,156,0106
14BR00644,T3814,3.0,,T5125.RESP.PR,27,2,7,158,1,W,1,,02,165,1112,156,0106
14BR00645,T3821,3.0,,.,34,2,7,145,1,W,1,,02,156,1112,151,0106
14BR00646,T3842,3.0,,LS.SL.MORE,30,2,7,181,1,W,1,,02,176,1112,183,0106
14BR00647,T3853,3.0,,WATERYMILK.LL,29,2,7,195,1,W,1,,02,194,1112,194,0106
14BR00648,T3856,3.0,,.,35,2,7,166,2,W,1,,02,162,1112,177,0106
14BR00649,T3865,3.0,,LOW MILK3/31,28,2,7,202,H,W,1,,02,221,1112,218,0106
14BR00650,T3878,3.0,,PINK,36,2,7,189,2,W,1,,02,188,1112,179,0106
14BR00651,T3881,3.0,,TerminalOnly,36,2,7,165,2,W,1,,02,171,1112,178,0106
14BR00652,T3883,3.0,,4TEATS,31,2,7,184,D,W,1,,02,200,1112,190,0106
14BR00653,T3896,3.0,,PINK,29,2,7,194,2,W,1,,02,189,1112,201,0106
14BR00654,T3898,3.0,,4T.PINK,28,2,7,153,2,W,1,,02,134,1112,138,0106
14BR00655,T3906,3.0,,4T.HAIRY,33,2,7,161,1,W,1,,02,165,1112,156,0106
14BR00656,T3919,3.0,,3T.PINK.HAIRY,36,2,7,136,2,W,1,,02,122,1112,127,0106
14BR00657,T3931,3.0,,SM UDDER,27,2,7,131,1,W,1,,02,144,1112,143,0106
14BR00658,T3933,3.0,,LAME.LF,32,2,7,174,H,W,1,,02,185,1112,183,0106
14BR00659,T3946,3.0,,BRITCHY  SCOU,27,2,7,161,1,W,1,,02,175,1112,190,0106
14BR00660,T3979,3.0,,2ND SCOURS,31,2,7,183,1,W,1,,02,195,1112,191,0106
14BR00661,T3999,3.0,,.,27,2,7,168,1,W,1,,02,180,1112,184,0106
14BR00662,T4003,3.0,,TerminalOnly,34,2,7,166,2,W,1,,02,173,1112,172,0106
14BR00663,T4006,3.0,,4TEATS,27,2,7,195,2,W,1,,02,207,1112,206,0106
14BR00664,T4012,3.0,,HAIRY,28,2,7,202,2,W,1,,02,190,1112,204,0106
14BR00665,T4013,3.0,,LG.TEATS,30,2,7,170,2,W,1,,02,166,1112,168,0106
14BR00666,T4017,3.0,,4TEATS,32,2,7,156,1,W,1,,02,154,1112,160,0106
14BR00667,T4024,3.0,,NASAL.D/C,32,2,7,162,1,W,1,,02,167,1112,167,0106
14BR00668,T4032,3.0,,TerminalOnly,33,2,7,149,2,W,1,,02,166,1112,184,0106
14BR00669,T4039,3.0,,4T.HAIRY,34,2,7,156,1,W,1,,02,162,1112,153,0106
14BR00670,T4048,3.0,,.,35,2,7,136,2,W,1,,02,150,1112,161,0106
14BR00671,T4059,3.0,,RP,30,2,7,172,2,W,1,,02,173,1112,175,0106
14BR00672,T4074,3.0,,SMBAG.THICKCO,27,2,7,194,2,W,1,,02,188,1112,185,0106
14BR00673,T4101,2.0,,NO.METAL.TAGS,21,1,0,166,2,W,1,,02,177,1107,179,0106
14BR00674,T4102,2.0,,DOESNTLIKELAM,31,2,0,135,1,W,1,,02,146,1112,152,0106
14BR00675,T4106,2.0,,4T.BRITCHY,29,2,0,188,2,W,1,,02,194,1112,193,0106
14BR00676,T4108,2.0,,HAIRY,30,2,0,212,2,W,1,,02,204,1112,212,0106
14BR00677,T4109,2.0,,DRY,28,2,7,161,1,W,1,,02,168,1112,169,0106
14BR00678,T4115,2.0,,POOR.BCS.FOR.,32,2,0,124,1,W,1,,02,117,1112,122,0106
14BR00679,T4119,2.0,,H WAS Z0922,31,2,0,169,2,W,1,,02,177,1112,174,0106
14BR00680,T4124,2.0,,HAIRY,30,2,0,187,2,W,1,,02,182,1112,189,0106
14BR00681,T4129,2.0,,.,28,2,0,174,2,W,1,,02,163,1112,183,0106
14BR00682,T4134,2.0,,4TEATS,30,2,0,163,2,W,1,,02,163,1112,174,0106
14BR00683,T4137,2.0,,H.4,36,2,0,169,2,W,1,,02,163,1112,185,0106
14BR00684,T4154,2.0,,.,30,2,0,141,1,W,1,,02,138,1112,155,0106
14BR00685,T4158,2.0,,.,35,2,0,160,1,W,1,,02,162,1112,173,0106
14BR00686,T4171,2.0,,3T,23,1,0,182,1,W,1,,02,200,1107,208,0106
14BR00687,T4172,2.0,,4TEATS,22,1,0,172,2,W,1,,02,158,1107,172,0106
14BR00688,T4173,2.0,,4TEATS,32,2,0,186,2,W,1,,02,187,1112,188,0106
14BR00689,T4174,2.0,,.,31,2,0,151,1,W,1,,02,174,1112,173,0106
14BR00690,T4181,2.0,,LAMB.DOWN.EUT,29,2,0,183,2,W,1,,02,177,1112,177,0106
14BR00691,T4187,2.0,,SCOURS,19,1,0,153,1,W,1,,02,154,1107,167,0106
