UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00316,L2759,2.0,A,.,16,1,,169,3.0,H,178,1010,W,1,,PC,193,1115,3.0,212,1228,4.0
23BR00317,L2764,2.0,,.,30,1,0,183,3.5,H,173,1011,W,1,,PC,195,1115,4.0,204,1228,4.0
23BR00318,L2767,2.0,A,.,18,1,,172,3.0,H,176,1010,W,1,,PC,197,1115,3.0,217,1228,4.0
23BR00319,L2769,2.0,,.,19,1,0,169,3.5,H,167,1010,W,1,,PC,177,1115,3.5,189,1228,4.0
23BR00320,L2777,2.0,A,.,25,1,0,183,3.5,H,174,1011,W,1,,PC,191,1115,3.5,211,1228,4.0
23BR00321,L2778,2.0,,.,24,1,0,210,4.0,D,207,1010,W,1,,PC,209,1115,4.5,229,1228,4.5
23BR00322,L2779,2.0,,.,15,1,0,165,3.0,H,164,1010,W,1,,PC,185,1115,3.5,196,1228,4.0
23BR00323,L2781,2.0,,.,23,1,0,196,4.0,H,198,1010,W,1,,PC,213,1115,4.5,223,1228,4.5
23BR00324,L2784,2.0,,2ND,22,1,0,183,4.0,H,189,1011,W,1,,PC,198,1115,4.0,211,1228,4.5
23BR00325,L2787,2.0,,.,27,1,0,165,3.0,H,160,1010,W,1,,PC,171,1115,3.0,182,1228,3.5
23BR00326,L2792,2.0,,.,26,1,0,196,3.5,D,193,1010,W,1,,PC,204,1115,3.5,209,1228,3.5
23BR00327,L2800,2.0,,.,17,1,0,193,3.5,H,184,1010,W,1,,PC,198,1115,4.0,202,1228,4.0
23BR00328,L2804,2.0,,CHUNKS,29,1,0,187,3.5,H,172,1010,W,1,,PC,193,1115,3.0,207,1228,4.0
23BR00329,L2805,2.0,,.,28,1,0,133,3.0,H,129,1010,W,1,,PC,146,1115,3.0,161,1228,4.0
23BR00330,L2807,2.0,,1ST,20,1,0,188,3.5,H,176,1010,W,1,,PC,200,1115,4.0,210,1228,4.0
23BR00331,L2810,2.0,,.,21,1,0,178,3.5,H,176,1010,W,1,,PC,191,1115,3.5,208,1228,4.0
23BR00332,L2817,2.0,,PINK,29,1,,218,4.0,D,208,1010,W,1,,PC,217,1115,4.0,220,1228,4.0
23BR00333,L2818,2.0,,.,16,1,,204,4.5,H,199,1011,W,1,,PC,206,1115,4.5,221,1228,4.5
23BR00334,L2819,2.0,A,.,19,1,0,251,4.5,D,242,1010,W,1,,PC,260,1115,4.5,259,1228,4.5
23BR00335,L2822,2.0,A,.,25,1,0,207,3.5,H,202,1010,W,1,,PC,215,1115,3.5,230,1228,4.5
23BR00336,L2823,2.0,A,P EARS,17,1,0,193,3.5,H,193,1010,W,1,,PC,197,1115,3.5,215,1228,4.0
23BR00337,L2824,2.0,,P EARS,30,1,0,171,3.5,H,176,1011,W,1,,PC,173,1115,4.0,196,1228,4.0
23BR00338,L2831,2.0,,PINK,15,1,0,169,3.5,H,165,1010,W,1,,PC,175,1115,3.5,201,1228,4.0
23BR00339,L2842,2.0,,.,26,1,,158,3.0,H,162,1010,W,1,,PC,175,1115,4.0,193,1228,4.0
23BR00340,L2845,2.0,,.,24,1,,167,3.5,H,167,1010,W,1,,PC,174,1115,3.5,190,1228,4.0
23BR00341,L2846,2.0,,.,18,1,,179,3.5,H,183,1010,W,1,,PC,193,1115,3.5,211,1228,3.5
23BR00342,L2854,2.0,A,.,21,1,0,162,3.0,H,161,1010,W,1,,PC,176,1115,3.5,195,1228,4.0
23BR00343,L2872,2.0,A,.,22,1,0,161,3.5,H,164,1010,W,1,,PC,180,1115,3.5,194,1228,4.0
23BR00344,L2876,2.0,,.,23,1,0,155,3.5,H,146,1010,W,1,,PC,175,1115,4.0,183,1228,4.5
23BR00345,L2881,2.0,,.,20,1,0,205,4.0,H,194,1010,W,1,,PC,226,1115,4.0,227,1228,4.5
23BR00346,L2883,2.0,,.,28,1,0,164,3.5,H,165,1010,W,1,,PC,169,1115,3.5,190,1228,4.0
23BR00347,L2891,2.0,,GOOD.MOM,27,1,0,166,3.0,H,162,1010,W,1,,PC,177,1115,3.5,195,1228,4.0
23BR00348,L2899,2.0,A,2ND,20,1,,168,3.5,H,160,1010,W,1,,PC,180,1115,4.0,164,1228,4.0
23BR00349,L2915,2.0,,.,21,1,0,171,3.5,H,179,1011,W,1,,PC,183,1115,3.0,196,1228,4.0
23BR00350,L2926,2.0,A,.,17,1,0,149,3.0,H,154,1010,W,1,,PC,172,1115,3.5,188,1228,4.0
23BR00351,L2935,2.0,,.,25,1,0,179,3.5,H,174,1011,W,1,,PC,188,1115,4.0,210,1228,4.0
23BR00352,L2936,2.0,,.,15,1,0,150,3.5,H,149,1010,W,1,,PC,158,1115,4.0,185,1228,4.0
