UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00322,T2050,,.,,1,,97,T3,,,107,,1,02,
08EW00323,T1856,,4TEATS,,1,,99,T3,,,104,,1,02,
08EW00324,H4451,,.,,1,,85,e17,,,106,,1,30,
08EW00325,H3959,,.,,1,,88,e18,,,94,,1,30,
08EW00326,R7287,,.,,1,,75,e14,,,69,,1,07,
08EW00327,R7238,,4TEATS,,1,,100,e16,,,105,,1,07,
08EW00328,T2112,,.,,1,,88,T3,,,94,,1,02,
08EW00329,T2133,,.,,1,,63,T1,,,75,,1,02,
08EW00330,X6703,,ENTROPION,,1,,114,e2,,,118,,5,S3,
08EW00331,R7301,,.,,1,,88,e15,,,91,,1,07,
08EW00332,H4512,,.,,1,,87,e22,,,93,,1,30,
08EW00333,T2054,,.,,1,,83,T2,,,96,,1,02,
08EW00334,K4333,,4TEATS,,1,,83,e5,,,90,,1,06,
08EW00335,K4330,,.,,1,,109,e12,,,0,,1,06,
08EW00336,R7313,,.,,1,,93,e15,,,99,,1,07,
08EW00337,X6421,,.,,1,,92,e4,,,104,,1,T3,
08EW00338,H3981,,.,,1,,88,e17,,,90,,1,30,
08EW00339,X6550,,ENTROPION,,1,,99,e2,,,102,,5,S3,
08EW00340,H4522,,.,,1,,74,e18,,,71,,1,30,
08EW00341,H4560,,.,,1,,75,e23,,,69,,1,30,
08EW00342,H4554,,.,,1,,77,e18,,,78,,1,30,
08EW00343,T1968,,.,,1,,78,T2,,,81,,1,02,
08EW00344,K4400,,.,,1,,93,e3,,,89,,1,06,
08EW00345,X6536,,.,,1,,84,e4,,,82,,5,T3,
08EW00346,K4257,,4TEATS,,1,,81,e5,,,78,,1,06,
08EW00347,X6228,,.,,1,,107,e4,,,107,,1,T3,
08EW00348,X6734,,E 4T BLK.LF.L,,1,,105,e8,,,115,,4,C3,
08EW00349,H4518,,.,,1,,66,e24,,,61,,1,30,
08EW00350,H4043,,.,,1,,76,e17,,,81,,1,30,
08EW00351,H4486,,.,,1,,89,e19,,,78,,1,30,
08EW00352,X6597,,E BREECH+LARG,,1,,128,21,,,118,,9,00,
08EW00353,R7358,,.,,1,,94,e14,,,101,,1,07,
08EW00354,X6877,,.,,1,,110,e8,,,117,,5,S3,
08EW00355,T2331,,.,,1,,100,T2,,,110,,1,02,
08EW00356,K4230,,ENTROPION,,1,,129,e5,,,101,,1,06,
08EW00357,H4068,,4TEATS,,1,,91,e23,,,100,,1,30,
08EW00358,H4471,,DYS 3+8,,1,,100,e24,,,117,,1,30,
08EW00359,T2108,,.,,1,,115,T2,,,128,,1,02,
08EW00360,K4234,,.,,1,,90,e3,,,79,,1,06,
08EW00361,R7240,,.,,1,,109,e16,,,130,,1,07,
08EW00362,T2080,,.,,1,,88,T2,,,94,,1,02,
08EW00363,T1868,,HAIRY,,1,,101,T2,,,110,,1,02,
08EW00364,H4448,,.,,1,,89,e23,,,96,,1,30,
08EW00365,T2332,,.,,1,,93,T3,,,97,,1,02,
08EW00366,R7322,,.,,1,,89,e16,,,94,,1,07,
08EW00367,H4500,,.,,1,,83,e24,,,97,,1,30,
08EW00368,H3938,,.,,1,,92,e18,,,99,,1,30,
08EW00369,R7431,,E 2 EYES,,1,,90,e14,,,94,,2,07,
08EW00370,H4422,,H LEGS,,1,,87,e22,,,86,,1,30,
08EW00371,X6668,,.,,1,,95,e4,,,110,,1,T3,
08EW00372,T2083,,.,,1,,66,T2,,,72,,1,02,
08EW00373,T2057,,.,,1,,82,T3,,,83,,1,02,
08EW00374,R7361,,.,,1,,94,e14,,,105,,1,07,
08EW00375,T2326,,.,,1,,88,T3,,,88,,1,02,
08EW00376,X6225,,.,,1,,103,e8,,,106,,4,S3,
08EW00377,T1952,,4TEATS,,1,,85,T2,,,101,,1,02,
08EW00378,K4226,,ENTROPION  4T,,1,,96,e3,,,90,,1,06,
08EW00379,H3772,,4 H,,1,,79,e24,,,88,,1,30,
08EW00380,X6133,,ENTROPION,,1,,97,e11,,,107,,1,TC,
08EW00381,K4344,,.,,1,,86,e5,,,93,,1,06,
