UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV04,DEC14
94EW00093,A1487,82,,103,1,85,8,,91,97
94EW00094,A1493,81,,115,1,89,8,,92,99
94EW00095,A1513,73,,111,1,97,-FL,,101,0
94EW00096,A1503,82,,95,1,86,8,,95,98
94EW00097,A1205,82,,107,1,80,8,,83,92
94EW00098,A1206,73,,111,1,105,-FL,,102,0
94EW00099,A1207,73,,106,1,102,-FL,,105,0
94EW00100,A1230,81,,103,1,79,7,,76,83
94EW00101,A1234,81,,112,1,97,7,,105,108
94EW00102,A1236,ch,,115,1,93,JIM,,105,0
94EW00103,A1232,ch,,118,1,110,JIM,,126,94
94EW00104,A1237,ch,,111,1,88,JIM,,92,0
94EW00105,A1240,ch,,85,1,90,JIM,,106,0
94EW00106,A1246,73,4TEATS,98,1,75,-FL,,74,0
94EW00107,A1242,ch,,101,1,71,JIM,,70,0
94EW00108,A1248,82,,104,1,88,7,,93,98
94EW00109,A1250,82,,101,1,99,8,,116,119
94EW00110,A1260,ch,,85,1,81,JIM,,86,0
94EW00111,A1265,73,,100,1,93,-FL,,98,0
94EW00112,A1267,82,,104,1,89,7,,88,89
94EW00113,A1220,ch,,116,1,90,JIM,,102,0
94EW00114,A1222,82,,101,1,89,7,,90,94
94EW00115,A1228,ch,4TEATS,112,1,89,JIM,,92,0
94EW00116,A1229,ch,,108,1,85,JIM,,102,0
94EW00117,A1280,ch,,102,1,84,JIM,,87,0
94EW00118,A1286,ch,alive 062994,100,1,70,JIM,,80,0
94EW00119,A1291,73,,100,1,77,-FL,,83,0
94EW00120,A1293,ch,,106,1,79,JIM,,81,0
94EW00121,A1294,ch,,105,1,67,JIM,,73,0
94EW00122,A1279,ch,,106,1,87,JIM,,88,0
94EW00123,A1000,ch,,113,1,88,JIM,,90,0
94EW00124,A0686,81,HAIRY,107,1,104,7,,107,113
94EW00125,A0682,82,WEAK,100,1,93,8,,94,98
94EW00126,A0687,73,,105,1,99,-FL,,108,0
94EW00127,A0691,82,,108,1,91,7,,93,99
94EW00128,A0695,81,,102,1,91,8,,99,104
94EW00129,A0810,82,NICE,100,1,91,7,,97,101
94EW00130,A0819,81,,109,1,99,8,,99,96
94EW00131,A0805,82,,101,1,81,8,,85,95
94EW00132,A0807,81,,110,1,106,7,,118,119
94EW00133,A0832,82,,105,1,91,7,,97,102
94EW00134,A0844,73,,95,1,85,-FL,,90,0
94EW00135,A0849,73,4TEATS,99,1,91,-FL,,91,0
94EW00136,A0854,73,4TEATS,94,1,67,-FL,,71,0
94EW00137,A0856,73,"BRITCHY,ok",101,1,87,-FL,,95,0
94EW00138,A0858,81,,110,1,94,8,,100,109
94EW00139,A0859,81,,118,1,113,7,,119,124
94EW00140,A0857,73,,97,1,74,-FL,,76,0
94EW00141,A0866,73,4TEATS,101,1,87,-FL,,86,0
94EW00142,A0825,81,,104,1,87,8,,94,96
94EW00143,A0881,73,,103,1,94,-FL,,95,0
94EW00144,A0884,81,,106,1,83,7,,95,97
94EW00145,A0897,73,,91,1,76,-FL,,75,0
94EW00146,A0876,82,,105,1,83,7,,92,96
94EW00147,A0911,82,,101,1,86,8,,85,87
94EW00148,A0916,81,,113,1,84,8,,92,90
94EW00149,A0902,73,,95,1,88,-FL,,96,0
94EW00150,A0930,81,4TEATS,107,1,88,7,,91,91
94EW00151,A0938,ch,4TEATS,121,1,84,JIM,,90,0
94EW00152,A0939,ch,,119,1,86,JIM,,90,0
94EW00153,A0943,73,,93,1,80,-FL,,80,0
94EW00154,A0954,82,,102,1,103,8,,106,108
94EW00155,A0956,ch,,96,1,88,JIM,,91,0
94EW00156,A0952,82,,105,1,85,8,,104,105
94EW00157,A0961,ch,,105,1,78,JIM,,85,0
94EW00158,A0966,ch,,99,1,70,JIM,,74,0
94EW00159,A0962,ch,,109,1,80,JIM,,74,0
94EW00160,A0920,82,,99,1,98,7,,109,116
94EW00161,A0929,81,4TEATS,108,1,88,8,,95,102
94EW00162,A0983,73,,97,1,80,-FL,,80,0
94EW00163,A0986,82,4TEATS,112,1,96,7,,97,101
94EW00164,A0982,73,4TEATS,99,1,84,-FL,,82,0
94EW00165,A0990,ch,,125,1,97,JIM,,102,0
94EW00166,A0993,73,,97,1,74,-FL,,65,0
94EW00167,A0973,73,,92,1,72,-FL,,77,0
94EW00168,A0975,81,4TEATS,105,1,86,7,,81,84
94EW00169,A0711,81,,115,1,115,8,,131,135
94EW00170,A0710,81,,116,1,123,7,,128,131
94EW00171,A0719,82,,106,1,89,8,,91,97
94EW00172,A0704,81,4TEATS,102,1,98,7,,111,117
94EW00173,A0706,81,,115,1,85,7,,107,106
94EW00174,A0709,81,,102,1,90,8,,102,108
94EW00175,A0731,81,ENTR,110,1,84,8,,78,86
94EW00176,A0738,82,4TEATS,97,1,106,7,,112,113
94EW00177,A0743,81,,106,1,99,7,,98,105
94EW00178,A0751,81,,112,1,99,7,,98,100
94EW00179,A0753,73,4TEATS,99,1,82,-FL,,85,0
94EW00180,A0754,82,4TEATS,92,1,82,8,,90,95
94EW00181,A0752,73,4TEATS,99,1,82,-FL,,94,0
94EW00182,A0761,82,,105,1,90,8,,98,103
94EW00183,A0768,82,,105,1,87,7,,88,93
94EW00184,A0781,82,,95,1,84,7,,90,95
94EW00185,A0786,81,,105,1,78,8,,81,87
94EW00186,A0782,82,,94,1,80,8,,78,82
94EW00187,A0787,81,,105,1,81,7,,91,96
94EW00188,A0794,82,,98,1,82,7,,90,92
94EW00189,A0795,73,,98,1,78,-FL,,84,0
94EW00190,A0798,82,,103,1,90,8,,94,94
94EW00191,A0799,82,HAIRY,106,1,87,7,,100,101
94EW00192,A0774,82,4TEATS,100,1,94,8,,101,105
94EW00193,A0777,73,4TEATS,98,1,87,-FL,,90,0
94EW00194,K7113,61,,106,1,108,4,,114,116
94EW00195,K7112,61,,101,1,106,3,,122,124
94EW00196,K7101,00,,0,1,97,9,,118,123
94EW00197,K7105,62,4TEATS,109,1,91,4,,98,97
94EW00198,K7102,00,,0,1,75,10,,94,95
94EW00199,K7131,60,,111,1,128,4,,136,138
94EW00200,K7133,61,,118,1,108,3,,115,112
94EW00201,K7134,61,ENTR,111,1,103,4,,113,116
94EW00202,K7138,60,,127,1,123,3,,138,143
94EW00203,K7141,61,4TEATS,117,1,110,4,,116,121
94EW00204,K7145,61,,106,1,92,4,,102,104
94EW00205,K7142,61,,114,1,103,3,,113,115
94EW00206,K7148,61,CLR2 NOSE?,117,1,120,3,,126,128
94EW00207,K7159,60,4TEATS,107,1,119,4,,123,126
94EW00208,K7166,62,4TEATS,113,1,102,3,,108,113
94EW00209,K7168,62,ENTR,112,1,93,4,,105,109
94EW00210,K7121,60,4TEATS,101,1,107,3,,117,115
94EW00211,K7129,62,4TEATS,108,1,90,3,,89,97
94EW00212,K7127,61,,103,1,109,4,,114,120
94EW00213,K7183,60,,101,1,99,4,,110,113
94EW00214,K7196,60,4TEATS,93,1,93,3,,95,96
94EW00215,K7171,60,,98,1,106,4,,114,114
94EW00216,K7170,61,4TEATS,101,1,116,3,,119,120
94EW00217,K7174,62,4TEATS,103,1,96,3,,93,96
94EW00218,K7031,60,4TEATS,93,1,100,4,,111,105
94EW00219,K7034,62,,112,1,112,4,,128,122
94EW00220,K7032,60,,97,1,102,3,,112,113
94EW00221,K7041,61,,99,1,110,4,,131,137
94EW00222,K7040,61,,100,1,94,3,,108,112
94EW00223,K7044,62,4TEATS,98,1,114,3,,120,123
94EW00224,K7058,62,,95,1,80,4,,86,92
94EW00225,K7059,61,,99,1,117,3,,123,124
94EW00226,K7050,00,,0,1,100,10,,118,118
94EW00227,K7064,62,4TEATS,102,1,107,3,,108,116
94EW00228,K7065,62,,94,1,88,4,,91,94
94EW00229,K7062,62,4TEATS,97,1,84,4,,86,86
94EW00230,K7068,62,"THIN,DEAD 01",119,6,87,3,,75,0
94EW00231,K7024,60,,117,1,117,4,,127,128
94EW00232,K7022,62,,100,1,116,3,,120,124
94EW00233,K7027,60,4TEATS,100,1,111,3,,129,126
94EW00234,K7086,62,,97,1,96,4,,107,106
94EW00235,K7096,62,,95,1,95,3,,107,124
94EW00236,K7072,62,4TEATS,91,1,83,4,,87,90
94EW00237,K7077,62,4TEATS,86,1,78,3,,82,88
94EW00238,K7311,61,,112,1,101,4,,114,116
94EW00239,K7313,61,,100,1,91,3,,102,103
94EW00240,K7314,61,,107,1,119,4,,122,121
94EW00241,K7301,61,,118,1,104,4,,110,111
94EW00242,K7300,62,,102,1,104,3,,104,100
94EW00243,K7303,62,,104,1,101,3,,108,108
94EW00244,K7341,61,4TEATS,101,1,93,3,,106,111
94EW00245,K7348,60,,105,1,102,4,,102,106
94EW00246,K7349,60,4TEATS,100,1,91,3,,95,96
94EW00247,K7356,60,,103,1,97,4,,106,102
94EW00248,K7357,60,4TEATS,101,1,95,3,,97,97
94EW00249,K7360,62,4TEATS,101,1,86,4,,101,105
94EW00250,K7365,61,4TEATS,103,1,88,3,,93,99
94EW00251,K7367,61,4TEATS,108,1,122,4,,134,139
94EW00252,K7321,60,,107,1,103,4,,108,112
94EW00253,K7320,61,,102,1,105,3,,112,118
94EW00254,K7386,60,4TEATS,105,1,100,4,,105,108
94EW00255,K7387,61,,104,1,105,3,,113,114
94EW00256,K7380,00,4TEATS,0,1,96,10,,125,125
94EW00257,K7371,62,,105,1,92,3,,94,95
94EW00258,K7378,60,"COARSE,check",116,1,110,3,,110,117
94EW00259,K7377,60,4TEATS,97,1,99,4,,121,126
94EW00260,K7412,62,,101,1,88,3,,98,101
94EW00261,K7400,60,,104,1,102,4,,100,100
94EW00262,K7432,61,,99,1,86,3,,99,101
94EW00263,K7430,00,4TEATS,0,1,103,9,,117,121
94EW00264,K7444,00,4TEATS,0,1,121,10,,139,141
94EW00265,K7461,61,,109,1,97,4,,105,104
94EW00266,K7420,60,,97,1,106,4,,109,113
