UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00634,Y0170,,.,1,95,e3,W,108,1021,109,1129,,,,1-,,Preg,,2,Kt
22EW00635,Y0171,,.,1,85,e4,W,94,1021,90,1129,,,,1,,Preg,,1,Kt
22EW00636,Y0176,,.,1,79,e5,W,102,1021,106,1129,,,,1,,Preg,,1,Kt
22EW00637,Y0178,,.,1,80,e6,W,90,1021,102,1129,,,,1,,Open,,1,Kt
22EW00638,Y0179,,.,1,98,e1,W,113,1021,114,1129,,,,1,,Preg,,1,Kt
22EW00639,Y0180,,.,1,101,e2,W,107,1021,119,1129,,,,1,,Open,,1,Kt
22EW00640,Y0182,,.,1,95,e3,W,109,1021,125,1129,,,,1,,Preg,,8,Kt
22EW00641,Y0183,,.,1,86,e4,W,95,1021,96,1129,,,,1,,Preg,,8,Kt
22EW00642,Y0190,,.,1,88,e5,W,105,1021,99,1129,,,,1,,Preg,,1,Kt
22EW00643,Y0206,,.,1,72,e6,W,85,1021,96,1129,,,,1,,Preg,,2,Kt
22EW00644,Y0211,,.,1,97,e1,W,98,1021,114,1129,,,,1,,Preg,,5,Kt
22EW00645,Y0212,,.,1,88,e2,W,96,1021,96,1129,,,,1,,Preg,,1,Kt
22EW00646,Y0219,,.,1,90,e3,W,95,1021,111,1129,,,,1,,Preg,,1,Kt
22EW00647,Y0226,,.,1,63,e4,W,78,1021,80,1129,,,,1,,Open,,5,Kt
22EW00648,Y0228,,.,1,86,e5,W,97,1021,99,1129,,,,1,,Preg,,5,Kt
22EW00649,Y0234,,.,1,67,e6,W,76,1021,78,1129,,,,1,,Preg,,8,Kt
22EW00650,Y0237,,.,1,74,e1,W,80,1021,83,1129,,,,1,,Preg,,8,Kt
22EW00651,Y0239,,.,1,81,e2,W,91,1021,96,1129,,,,1,,Open,,3,Kt
22EW00652,Y0240,,.,1,101,e3,W,103,1021,109,1129,,,,1,,Preg,,1,Kt
22EW00653,Y0245,,1ST,1,87,e4,W,108,1021,103,1129,,,,1,,Preg,,1,Kt
22EW00654,Y0246,,2ND,1,87,e5,W,105,1021,106,1129,,,,1,,Preg,,8,Kt
22EW00655,Y0248,,.,1,76,e6,W,78,1021,90,1129,,,,1,,Preg,,1,Kt
