UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,OCT31,DEC11
95EW00232,K8320,61,,113,1,114,e.4,blue,116,123
95EW00233,K8323,60,,102,1,109,e.4,blue,118,135
95EW00234,K8328,62,"ENTR,4TEATS",92,1,80,e.4,blue,87,89
95EW00235,K8329,60,HAIRY check,111,1,107,e.3,blue,123,139
95EW00236,K8390,62,4TEATS,81,1,91,e.3,blue,94,95
95EW00237,K8396,62,,100,1,102,e.4,blue,114,128
95EW00238,K8430,60,,97,1,108,e.4,blue,116,109
95EW00239,K8433,60,,113,1,91,e.3,blue,102,98
95EW00240,K8440,62,4TEATS,102,1,98,e.3,blue,104,104
95EW00241,K8445,61,4TEATS,109,1,114,e.4,blue,131,145
95EW00242,K8447,62,,107,1,96,e.4,blue,105,120
95EW00243,K8454,62,,98,1,79,e.3,blue,81,79
95EW00244,K8458,62,,101,1,87,e.4,blue,102,104
95EW00245,K8460,60,4TEATS,111,1,105,e.4,blue,114,115
95EW00246,K8426,60,,95,1,103,e.3,blue,118,122
95EW00247,K8428,61,4TEATS,106,1,118,e.3,blue,126,136
95EW00248,K8482,68,BLACK EWE,102,1,89,974,blue,104,115
95EW00249,K8474,68,BLACK EWE,109,1,102,973,blue,114,125
95EW00250,K8475,00,HOMOZYGOUS CC,,1,80,e.9,LARF,90,105
95EW00251,K8217,62,,111,1,101,e.4,blue,109,113
95EW00252,K8234,62,4TEATS,84,1,83,e.3,blue,92,87
95EW00253,K8243,62,,109,1,98,e.4,blue,117,131
95EW00254,K8244,62,,108,1,91,e.4,blue,97,107
95EW00255,K8245,61,LR LAME,93,1,112,e.3,blue,123,129
95EW00256,K8255,61,"ENTR,4TEATS",111,1,96,e.4,blue,106,128
95EW00257,K8269,62,BLACK EWE,96,1,102,974,blue,119,134
95EW00258,K8267,62,4TEATS,100,1,93,e.4,blue,108,112
95EW00259,K8223,61,4TEATS,98,1,111,e.4,blue,124,137
95EW00260,K8226,62,4TEATS,99,1,102,e.3,blue,109,111
95EW00261,K8227,62,4TEATS,94,1,90,e.4,blue,100,102
95EW00262,K8280,61,ENTR,109,1,102,e.3,blue,113,118
95EW00263,K8290,62,,101,1,90,e.4,blue,90,96
95EW00264,K8274,62,4TEATS,104,1,103,e.3,blue,110,117
95EW00265,K8275,60,,94,1,96,e.3,blue,108,131
95EW00266,K7816,60,,103,1,113,e.3,blue,127,134
95EW00267,K7818,61,,108,1,117,e.3,blue,121,119
95EW00268,K7834,60,,101,1,104,e.3,blue,122,130
95EW00269,K7836,61,,92,1,86,e.3,blue,97,105
95EW00270,K7832,60,,111,1,104,e.4,blue,114,123
95EW00271,K7839,60,4TEATS,95,1,112,e.4,blue,132,153
95EW00272,K7841,62,4TEATS,102,1,94,e.3,blue,104,103
95EW00273,K7844,62,,93,1,103,e.4,blue,119,124
95EW00274,K7849,61,"ENTR,4TEATS",107,1,99,e.4,blue,99,98
95EW00275,K7851,62,"4TEATS,FEVER",92,1,88,e.3,blue,100,94
95EW00276,K7856,61,4TEATS,91,1,99,e.3,blue,112,123
95EW00277,K7857,61,,95,1,112,e.4,blue,119,123
95EW00278,K7860,61,4TEATS,107,1,129,e.3,blue,140,153
95EW00279,K7866,62,,108,1,108,e.4,blue,127,128
95EW00280,K7823,61,,100,1,119,e.4,blue,125,131
95EW00281,K7824,62,,95,1,107,e.4,blue,111,124
95EW00282,K7885,62,,96,1,114,e.3,blue,116,114
95EW00283,K7894,61,,90,1,105,e.3,blue,115,113
95EW00284,K7871,61,,97,1,105,e.4,blue,120,137
95EW00285,K7874,60,,87,1,98,e.3,blue,106,108
95EW00286,K7872,61,ENTR,102,1,117,e.3,blue,124,132
95EW00287,K7877,61,,98,1,108,e.4,blue,114,116
95EW00288,K7914,60,4TEATS,108,1,113,e.4,blue,115,127
95EW00289,K7917,62,,108,1,103,e.4,blue,113,119
95EW00290,K7905,61,,99,1,93,e.4,blue,110,117
95EW00291,K7906,61,,101,1,100,e.3,blue,115,125
95EW00292,K7908,61,ENTR,102,1,114,e.4,blue,125,142
95EW00293,K7941,61,,105,1,101,e.4,blue,120,125
95EW00294,K7945,62,,97,1,92,e.4,blue,96,94
95EW00295,K7949,60,,107,1,113,e.3,blue,122,135
95EW00296,K7954,60,,108,1,106,e.4,blue,119,128
95EW00297,K7955,60,,108,1,98,e.3,blue,107,115
95EW00298,K7957,62,,93,1,100,e.3,blue,107,105
95EW00299,K7963,62,4TEATS,94,1,94,e.4,blue,98,105
95EW00300,K7967,61,4TEATS,113,1,104,e.3,blue,114,129
95EW00301,K7920,61,4TEATS,103,1,109,e.3,blue,115,114
95EW00302,K7923,62,,89,1,97,e.3,blue,118,123
95EW00303,K7984,61,4TEATS,101,1,112,e.4,blue,119,122
95EW00304,K7986,61,,107,1,108,e.3,blue,107,107
95EW00305,K7982,62,4TEATS,102,1,116,e.4,blue,120,131
95EW00306,K7989,60,4TEATS,101,1,104,e.3,blue,105,110
95EW00307,K7994,62,,102,1,104,e.3,blue,113,114
95EW00308,K7971,62,,105,1,108,e.3,blue,120,136
95EW00309,K7973,60,LF LAME 1211,114,1,103,e.3,blue,98,105
95EW00310,K7976,60,,107,1,119,e.4,blue,127,132
95EW00311,K7972,60,4TEATS,113,1,101,e.4,blue,109,118
95EW00312,K7739,61,ENTR,109,1,113,e.3,blue,120,136
95EW00313,K7743,60,,93,1,98,e.3,blue,113,124
95EW00314,K7744,60,"ENTR,DRUG1196",102,1,117,e.4,blue,126,138
95EW00315,K7742,62,,98,1,104,e.3,blue,112,126
95EW00316,K7755,61,,96,1,105,e.4,blue,113,123
95EW00317,K7762,60,ENTR,91,1,102,e.3,blue,117,135
95EW00318,K7767,60,,104,1,116,e.4,blue,128,151
95EW00319,K7784,60,,100,1,113,e.3,blue,127,142
95EW00320,K7785,60,,100,1,111,e.4,blue,111,116
95EW00321,K7782,61,4TEATS,111,1,107,e.3,blue,120,122
95EW00322,K7787,62,,100,1,120,e.3,blue,123,120
95EW00323,K7794,62,,98,1,102,e.3,blue,108,115
95EW00324,K7799,61,4TEATS,112,1,115,e.4,blue,123,138
95EW00325,K7778,60,4TEATS,108,1,111,e.3,blue,122,124
95EW00326,K7779,60,4TEATS,110,1,116,e.4,blue,129,137
95EW00327,S5514,12,,97,1,100,e.0,blue,105,115
95EW00328,S5512,13,,117,1,100,e.1,blue,112,135
95EW00329,S5531,10,,103,1,93,e.1,blue,107,122
95EW00330,S5534,12,,109,1,85,e.1,blue,95,100
95EW00331,S5536,11,ENTR,87,1,83,e.0,blue,93,89
95EW00332,S5532,11,,108,1,104,e.2,blue,115,123
95EW00333,S5539,11,,95,1,91,e.1,blue,97,101
95EW00334,S5540,11,HAIRY,97,1,95,e.2,blue,103,107
95EW00335,S5543,13,4TEATS,101,1,92,e.2,blue,108,117
95EW00336,S5544,13,,101,1,99,e.0,blue,115,128
95EW00337,S5555,13,4FACE 90#save,106,1,104,e.1,blue,114,127
95EW00338,S5556,11,,90,1,98,e.0,blue,103,110
95EW00339,S5552,11,,119,1,88,e.1,blue,98,107
95EW00340,S5566,00,HOMOZYGOUS CC,,1,95,e.9,LARF,105,115
95EW00341,S5562,10,,118,1,109,e.0,blue,112,111
95EW00342,S5524,12,,100,1,110,e.2,blue,123,138
95EW00343,S5580,10,,98,1,82,e.2,blue,94,101
95EW00344,S5584,10,,101,1,93,e.1,blue,99,108
95EW00345,S5588,10,,94,1,90,e.2,blue,99,100
95EW00346,S5589,10,"FEVER,URI",112,1,100,e.0,blue,102,108
95EW00347,S5587,10,,94,1,91,e.0,blue,100,103
95EW00348,S5594,11,ENTR,104,1,97,e.1,blue,101,105
95EW00349,S5595,13,,111,1,102,e.1,blue,111,124
95EW00350,S5573,11,"4TEATS,FEVER",99,1,87,e.0,blue,93,101
95EW00351,S5572,11,,100,1,87,e.1,blue,92,95
95EW00352,S5616,12,,100,1,86,e.0,blue,94,100
95EW00353,S5612,12,ENTR,97,1,79,e.1,blue,88,98
95EW00354,S5600,11,,105,1,105,e.0,blue,109,123
95EW00355,S5605,12,,102,1,97,e.2,blue,106,103
95EW00356,S5606,13,LR DIGIT ABS,88,1,87,e.0,blue,91,90
95EW00357,S5607,13,,108,1,107,e.2,blue,125,146
95EW00358,S5630,12,"4TEATS,FEVER",104,1,93,e.1,blue,108,127
95EW00359,S5634,10,,96,1,90,e.1,blue,101,110
95EW00360,S5636,10,,106,1,91,e.2,blue,102,112
95EW00361,S5638,13,,118,1,112,e.1,blue,122,135
95EW00362,S5651,13,,99,1,99,e.2,blue,108,112
95EW00363,S5650,13,,97,1,94,e.2,blue,101,101
95EW00364,S5655,13,,97,1,95,e.2,blue,103,113
95EW00365,S5658,10,URI,107,1,94,e.1,blue,102,115
95EW00366,S5657,10,HAIRY,110,1,106,e.0,blue,107,131
95EW00367,S5660,12,,101,1,94,e.0,blue,95,98
95EW00368,S5663,12,,106,1,91,e.1,blue,102,102
95EW00369,S5666,12,"LAME R, FEVER",115,1,96,e.0,blue,105,117
95EW00370,S5668,12,"4TEATS,FEVER",101,1,81,e.2,blue,88,95
95EW00371,S5628,12,,106,1,100,e.0,blue,101,101
95EW00372,S5691,13,,104,1,98,e.1,blue,105,121
95EW00373,S5690,13,,101,1,92,e.0,blue,99,131
95EW00374,S5671,12,,105,1,83,e.1,blue,92,93
95EW00375,S5674,12,,92,1,88,e.2,blue,100,100
95EW00376,S5811,10,,111,1,100,e.0,blue,99,105
95EW00377,S5806,10,4TEATS,107,1,86,e.2,blue,90,93
95EW00378,S5831,10,4TEATS,104,1,99,e.1,blue,113,128
95EW00379,S5830,13,H+4,120,1,102,e.0,blue,111,122
95EW00380,S5833,13,ENTR*2,119,1,117,e.2,blue,122,134
95EW00381,S5834,10,4TEATS,107,1,93,e.0,blue,103,112
95EW00382,S5836,11,,114,1,109,e.2,blue,112,114
95EW00383,S5837,10,,103,1,91,e.2,blue,104,115
95EW00384,S5845,13,,99,1,104,e.1,blue,118,145
95EW00385,S5842,11,,109,1,95,e.0,blue,96,102
95EW00386,S5848,13,,96,1,93,e.1,blue,100,117
95EW00387,S5852,11,,112,1,93,e.1,blue,98,103
95EW00388,S5825,13,,101,1,102,e.2,blue,109,120
95EW00389,S5828,13,4TEATS,120,1,102,e.1,blue,113,136
95EW00390,S5827,13,4TEATS,120,1,102,e.0,blue,113,128
95EW00391,S5881,10,4TEATS,107,1,87,e.1,blue,96,99
95EW00392,S5883,13,HAIRY,95,1,83,e.2,blue,90,94
95EW00393,S5885,13,,100,1,87,e.1,blue,89,94
95EW00394,S5888,10,,100,1,93,e.0,blue,107,122
95EW00395,S5887,10,HAIRY,105,1,103,e.2,blue,114,121
95EW00396,S5890,10,,100,1,90,e.1,blue,89,94
95EW00397,S5893,13,,105,1,92,e.0,blue,98,107
95EW00398,S5898,12,,116,1,96,e.0,blue,102,99
95EW00399,S5913,10,4TEATS,118,1,97,e.2,blue,104,104
95EW00400,S5916,11,H3,99,1,102,e.1,blue,106,108
95EW00401,S5919,11,,113,1,89,e.2,blue,94,97
95EW00402,S5917,10,,105,1,102,e.0,blue,108,111
95EW00403,S5900,11,,109,1,95,e.2,blue,106,119
95EW00404,S5908,13,,115,1,100,e.0,blue,105,108
95EW00405,S5907,13,,108,1,93,e.1,blue,97,108
95EW00406,S5934,10,4TEATS,93,1,95,e.1,blue,98,101
95EW00407,S5935,11,4TEATS,109,1,95,e.0,blue,96,98
95EW00408,S5943,13,,97,1,86,e.2,blue,89,88
95EW00409,S5947,13,,98,1,94,e.0,blue,100,118
95EW00410,S5951,13,,102,1,96,e.1,blue,104,119
95EW00411,S5953,12,,105,1,97,e.1,blue,113,129
95EW00412,S5960,11,4TEATS,101,1,90,e.0,blue,99,104
95EW00413,S5966,11,HAIRY,106,1,90,e.1,blue,93,110
95EW00414,S5969,10,4TEATS,111,1,90,e.2,blue,101,102
95EW00415,S5967,11,,104,1,83,e.2,blue,92,95
