UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00191,A8740,82,DEAD 12/3/01,114,6,none,87,e14,purple,76,0,0,
01EW00192,A8742,84,4TEATS,86,1,none,88,e65,purple,81,86,0,1
01EW00193,A8746,84,,94,1,none,96,e63,purple,98,114,0,1
01EW00194,A8751,83,,108,1,none,78,e14,purple,82,99,0,1
01EW00195,A8752,83,,107,1,none,74,e11,purple,76,81,0,1
01EW00196,A8755,00,,0,1,none,84,e64,purple,80,92,0,1
01EW00197,A8756,82,4TEATS,91,1,none,88,e11,purple,94,104,0,1
01EW00198,A8757,82,,93,1,none,91,e12,purple,86,106,0,1
01EW00199,A8767,83,BRITCHY,101,1,none,89,e12,purple,99,116,0,1
01EW00200,A8770,84,,106,1,none,71,e64,purple,67,83,0,1
01EW00201,A8780,81,,111,1,none,87,e12,purple,82,90,0,1
01EW00202,A8782,81,,116,1,none,99,e13,purple,101,112,0,1
01EW00203,A8783,81,COARSE,108,1,none,97,e14,purple,94,106,0,1
01EW00204,A8785,84,,101,1,none,82,e63,purple,90,98,0,1
01EW00205,A8790,82,,101,1,none,82,e13,purple,80,84,0,1
01EW00206,A8793,84,TRT2EYES,123,1,none,106,e62,purple,113,127,0,1
01EW00207,A8795,82,DEAD 01/2002,94,1,none,94,e14,purple,88,108,0,
01EW00208,A8797,84,,97,1,none,80,e66,purple,94,113,0,1
01EW00209,A8801,84,,92,1,none,102,e65,purple,95,107,0,1
01EW00210,A8804,82,,105,1,none,87,e11,purple,95,115,0,1
01EW00211,A8805,81,,107,1,none,90,e11,purple,95,105,0,1
01EW00212,A8806,81,,106,1,none,95,e12,purple,93,104,0,1
01EW00213,A8810,82,,100,1,none,75,e12,purple,77,85,0,1
01EW00214,A8812,84,,108,1,none,89,e62,purple,103,116,0,1
01EW00215,A8813,84,,113,1,none,93,e62,purple,102,112,0,1
01EW00216,A8816,81,,105,1,none,90,e13,purple,80,92,0,1
01EW00217,A8818,83,,90,1,none,78,e13,purple,82,96,0,1
01EW00218,A8819,83,,90,1,none,79,e14,purple,86,100,0,1
01EW00219,A8821,82,,107,1,none,78,e13,purple,68,80,0,0
01EW00220,A8822,82,HAIRY,115,1,none,90,e14,purple,97,114,0,1
01EW00221,A8824,00,DEAD 01/2002,0,1,none,84,e65,purple,88,100,0,
01EW00222,A8828,82,,102,1,none,83,e11,purple,80,89,0,1
01EW00223,A8833,84,,101,1,none,80,e63,purple,69,80,0,1
01EW00224,A8835,82,,103,1,none,77,e12,purple,71,82,0,0
01EW00225,A8836,82,,108,1,none,83,e13,purple,76,92,0,1
01EW00226,A8839,84,HAIRY,89,1,none,75,e64,purple,77,90,0,1
01EW00227,A8843,83,,103,1,none,84,e11,purple,83,99,0,1
01EW00228,A8844,84,,106,1,none,104,e62,purple,106,114,0,1
01EW00229,A8851,82,,95,1,none,98,e14,purple,107,121,0,1
01EW00230,A8855,00,,0,1,none,74,e66,purple,73,78,0,1
01EW00231,A8861,84,,101,1,none,77,e65,purple,87,98,0,0
01EW00232,A8862,84,,95,1,none,73,e65,purple,81,88,0,1
01EW00233,A8863,84,,101,1,none,80,e65,purple,91,97,0,1
01EW00234,A8868,82,4TEATS,110,1,none,102,e11,purple,102,115,0,1
01EW00235,A8870,84,,105,1,none,81,e63,purple,76,85,0,1
01EW00236,A8874,83,,101,1,none,79,e12,purple,82,102,0,1
01EW00237,A8875,83,,99,1,none,77,e13,purple,83,94,0,1
