UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00609,Z7876,,.,1,83,e2,W,96,1015,111,1120,,,,2+,1,Preg,,1,07
20EW00610,Z7880,,1ST.2@ONCE,1,109,e3,W,130,1015,147,1120,,,,3,1,Preg,,2,LR
20EW00611,Z7883,A,.,1,95,e4,W,122,1015,133,1120,,,,1,1,Preg,,6,97
20EW00612,Z7885,A,.,1,98,e5,W,108,1015,134,1120,,,,,,Open,2833,6,97
20EW00613,Z7890,A,2ND,1,120,e6,W,128,1015,149,1120,,,,1-,1,Preg,,5,TS
20EW00614,Z7893,,.,1,108,e1,W,123,1015,132,1120,,,,2+,1,Preg,,2,00
20EW00615,Z7910,A,.,1,87,e2,W,107,1015,116,1120,,,,1,1,Preg,,6,97
20EW00616,Z7913,A,.,1,85,e3,W,100,1015,117,1120,,,,,,Open,2852,6,97
20EW00617,Z7915,A,1ST,1,86,e4,W,98,1015,108,1120,,,,1,1,Preg,,6,97
20EW00618,Z7921,,FULL,1,118,e5,W,138,1015,151,1120,,,,1-,1,Preg,,9,BL
20EW00619,Z7931,A,.,1,132,e6,W,136,1015,153,1120,,,,1,1,Preg,,6,97
20EW00620,Z7932,,.,1,95,e1,W,101,1015,117,1120,,,,3-,,Preg,,1,07
20EW00621,Z7943,,.,1,112,e2,W,130,1015,149,1120,,,,2+,1,Preg,,2,C3
20EW00622,Z7952,,.,1,114,e3,W,124,1015,152,1120,,,,3,1,Preg,,9,BL
20EW00623,Z7956,,.,1,113,e4,W,121,1015,125,1120,,,,2+,1,Preg,,9,BL
20EW00624,Z7958,,100BLK,1,110,e5,W,123,1015,141,1120,,,,1-,1,Preg,,5,00
20EW00625,Z7970,A,.,1,97,e6,W,109,1015,127,1120,,,,1-,1,Preg,,6,97
20EW00626,Z7973,,.,1,88,e1,W,98,1015,107,1120,,,,4+,1,Preg,,1,43
20EW00627,Z7990,,.,1,95,e2,W,102,1015,119,1120,,,,3,1,Preg,,1,07
20EW00628,Z7993,,.,1,91,e3,W,101,1015,111,1120,,,,1,1,Preg,,6,97
20EW00629,Z7994,,.,1,100,e4,W,108,1015,125,1120,,,,1,1,Preg,,6,97
20EW00630,Z7997,,20TAN,1,119,e5,W,140,1015,151,1120,,,,3,1,Preg,,3,00
