UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN02811, 88805791,88,80,X5791,1,67,56,672,3,1,7,2,4.0,4,4,1,93,128,18,100,73,492, 4, 3,10, 7, 35,260,4,5,2,1,1,152,234,1033,93,,,,3692,80,7337,94,,69,449,67,3,83
88WN02812, 88805792,88,80,X5792,2,67,56,672,3,1,7,2,4.0,4,4,1,93,128,32,89,84,587, 6, 3, 9, 6, 51,,4,5,2,1,1,166,234,1033,,,,,3692,80,7337,94,,79,587,67,1,99
88WN02813, 88805793,88,80,X5793,2,65,56,631,1,1,1,1,2.0,2,2,1,93,128,1,123,98,670, 7, 3, 8, 6, 58,,6,7,1,1,1,173,211,1192,,,,,2160,63,2533,80,,93,614,64,1,103
88WN02814, 88805794,88,80,X5794,1,65,56,641,1,1,1,1,3.0,3,3,1,93,128,32,115,100,691, 5, 3, 9, 7, 45,280,4,5,2,1,2,168,124,884,93,,,,5226,80,1723,63,,94,550,68,5,107
88WN02815, 88805795,88,80,X5795,2,65,56,611,2,2,5,6,6.0,6,4,9,93,125,4,44,66,493, 6, 3, 9, 9, 27,,5,6,1,1,2,129,192,1234,93,,235,,2791,63,4245,94,,64,424,64,9,
88WN02816, 88805796,88,80,X5796,2,65,56,611,2,2,5,4,6.0,6,4,9,93,125,2,59,71,521, 6, 4, 9, 8, 36,,4,6,1,1,1,132,192,1234,93,,235,,2791,63,4245,94,,68,437,64,9,
88WN02817, 88805797,88,80,X5797,3,55,55,  9,2,2,5,5,1.0,1,1,1,93,128,37,72,58,397, 8, 3,10, 9, 36,,5,6,1,1,2,137,227,1217,93,,,,0000,19,4062,80,,55,445,44,3,72
88WN02818, 88805798,88,80,X5798,3,55,55,  9,2,2,5,5,1.0,1,1,1,93,128,33,74,67,466, 4, 3, 9, 8, 45,,5,6,2,1,1,169,227,1217,93,,,,0000,19,4062,80,,63,509,44,3,77
88WN02819, 88805799,88,80,X5799,3,54,54,  9,1,1,1,1,1.0,1,1,1,93,128,23,95,70,473, 8, 3, 8, 7, 53,,5,7,1,1,1,138,217,1111,93,,,,0000,19,4212,80,,66,404,14,3,82
88WN02820, 88805802,88,80,X5802,2,55,55,  9,2,1,4,2,1.0,1,1,9,93,125,3,53,59,430, 8, 3,10, 8, 45,,5,6,1,1,1,138,227,1169,93,,235,7,0000,19,4988,80,,57,436,46,9,
88WN02821, 88805803,88,80,X5803,2,58,58,  9,2,2,5,7,1.0,1,1,1,93,128,1,51,48,335, 9, 3,10, 9, 44,,7,8,1,1,1,123,198,1164,92,,266,,0000,19,4363,80,,45,366,45,2,53
88WN02822, 88805804,88,80,X5804,3,58,58,  9,2,2,5,3,1.0,1,1,1,93,128,18,75,60,410,10, 3, 9, 8, 42,,5,6,2,1,1,128,198,1164,97,,253,,0000,19,4363,80,,57,431,45,7,
88WN02823, 88805805,88,80,X5805,1,71,30,711,4,2,0,3,3.0,3,3,1,93,128,8,74,85,606, 7, 3, 8, 8, 42,240,5,6,2,1,1,155,220,1276,,,,,1012,03,8110,02,,80,568,71,1,93
