UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN02792,73909228,73,1,9228,9,98,22,5269,42,4,,5,3,54,114,1,4,55,2,72,06,03,09,07,044,5,4,6,3,,2,90,0065,95,521,52,,77,8,1,3,166,126,,3,3,2,
73WN02793,73909229,73,2,9229,9,98,02,2991,42,4,,5,5,54,114,2,1,52,1,70,06,03,06,07,047,2,4,5,2,,2,90,0009,95,523,52,,78,8,3,3,168,104,,,4,2,
73WN02794,73909230,73,1,9230,9,98,02,2991,42,4,,5,5,54,114,1,1,52,1,80,05,03,06,10,044,7,4,6,3,,2,90,0009,95,605,60,,78,8,5,3,183,110,,,4,2,
73WN02795,73909231,73,2,9231,9,99,03,2330,62,6,,1,2,54,114,1,1,53,3,66,05,03,08,06,040,22,4,5,2,,2,90,0010,95,495,49,,73,8,5,3,157,96,,,2,1,
73WN02796,73909232,73,1,9232,9,97,01,5590,18,1,,1,2,54,114,1,6,51,3,78,05,03,09,08,043,7,4,5,2,,8,90,0008,95,591,59,,78,8,1,3,171,106,,3,2,1,
73WN02797,73909233,73,2,9233,9,98,08,4987,42,4,,3,3,53,113,1,1,52,1,58,04,03,08,08,037,3,4,5,2,,2,90,0015,95,425,42,,78,8,5,3,164,100,,2,3,3,
73WN02798,73909234,73,3,9234,9,98,08,4987,42,4,,4,3,54,114,1,1,52,3,23,15,03,15,13,024,,2,3,2,,2,90,0015,95,135,13,,78,8,5,9,,76,,3,3,3,
73WN02799,73909235,73,2,9235,9,97,12,5756,18,1,,1,2,53,113,1,1,54,1,45,08,03,12,10,026,21,3,3,1,,8,90,0042,95,306,30,,78,8,6,3,123,104,,,2,1,
73WN02800,73909236,73,1,9236,9,99,08,1534,62,6,,1,3,53,113,2,2,53,2,86,03,03,06,06,046,11,5,6,2,,2,90,0015,95,669,66,,73,8,9,3,185,104,,3,3,1,
73WN02801,73909238,73,1,9238,9,99,24,2703,62,6,,1,2,53,113,1,1,56,2,86,09,03,05,08,047,11,5,6,2,,2,90,0080,95,641,64,,74,8,1,3,162,136,,3,2,1,
73WN02802,73909239,73,2,9239,9,97,16,6206,18,1,,1,2,53,113,1,1,54,1,60,08,03,10,09,038,12,3,4,2,,8,90,0046,95,455,45,,77,8,5,3,143,86,,,2,1,
73WN02803,73909240,73,2,9240,9,99,29,9153,61,6,,1,6,53,113,1,1,56,2,77,05,03,06,06,052,7,4,5,2,,1,90,0084,95,572,57,,73,8,2,3,171,124,,,4,1,
73WN02804,73909241,73,1,9241,9,97,12,6021,18,1,,3,2,53,113,1,1,54,2,83,07,03,08,09,040,22,3,4,2,,8,90,0042,95,651,65,,77,8,1,3,167,94,,3,2,3,
73WN02805,73909243,73,1,9243,9,97,09,8367,14,1,,5,7,53,113,1,7,51,1,60,05,03,12,11,041,14,5,7,3,,4,90,0016,95,439,43,,78,8,9,3,169,104,,3,5,2,
