UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN01649,101112914,01,R2914,11,2,12,07,87,9,3,2,6.0,6,4,1,107,218,111,2,8.0,41,62,0.486,66,1,1,,,0,C,.,,,R0532,11,S5524,10,12,3,93,262,8,6,93,2.24,123.0,3,76,0,,0,0,,,0.029,0.0,,,,,,0.0213,
01WN01650,101112915,01,R2915,11,1,12,07,87,9,3,2,6.0,6,4,1,107,218,111,10,9.6,58,76,0.598,81,1,1,,,0,C,.,,,R0532,11,S5524,10,12,1,,0,8,4,100,2.24,123.0,1,78,0,,0,0,,,0.029,0.0,,,,,,0.0213,Ctrl
01WN01651,101112916,01,R2916,11,2,12,43,87,8,2,2,5.0,5,4,1,107,218,111,18,10.4,49,66,0.501,71,1,1,,,0,C,.,e.0,ENTR,R0532,11,S7232,10,12,1,,0,5,5,101,1.84,124.9,1,78,0,,0,0,,,0.017,0.0,,,,,,0.0378,Ctrl
01WN01652,101112917,01,R2917,11,2,12,43,87,8,2,2,5.0,5,4,1,107,218,111,3,10.5,48,70,0.536,75,1,1,,,0,C,.,e.1,,R0532,11,S7232,10,12,1,,0,5,5,105,1.84,124.9,1,76,0,,0,0,,,0.017,0.0,,,,,,0.0378,Ctrl
01WN01653,101112924,01,R2924,11,1,10,07,22,8,2,2,3.0,3,3,1,108,218,110,17,12.3,43,59,0.425,63,1,1,,,0,M,.,,,R0044,11,S9416,10,10,3,93,243,5,5,80,1.58,100.6,3,65,0,,0,0,,,0.053,0.0,,,,,,0.0,X
01WN01654,101112925,01,R2925,11,2,10,07,22,8,2,2,3.0,3,3,1,108,218,110,18,12.5,65,90,0.705,97,1,1,,,0,M,22,,,R0044,11,S9416,10,10,2,92,263,5,5,110,1.58,100.6,2,101,104,,0,0,,,0.053,0.0,,,,,,0.0,Sale
01WN01655,101112926,01,R2926,11,3,11,07,14,6,2,1,3.0,3,3,1,108,218,110,14,13.3,70,93,0.725,100,1,1,,,0,R,.,,ENTR,R0248,11,S9673,10,11,3,93,262,3,2,118,1.87,119.8,3,115,0,,0,0,,,0.076,0.0,,,,,,0.0,
01WN01656,101112929,01,R2929,11,3,11,07,11,5,1,1,2.0,2,2,1,109,218,109,2,13.1,56,89,0.696,97,1,1,,,0,R,.,,,R0831,11,R0227,11,11,3,93,262,1,1,108,1.49,96.3,3,105,0,,0,0,,,0.097,0.0,,,,,,0.0,
01WN01657,101112931,01,R2931,11,3,18,07,m.3,5,1,1,1.0,1,1,2,112,220,108,4,9.8,46,70,0.557,77,1,1,,,0,4,.,,,R0000,11,R1094,11,12,3,93,262,1,1,100,1.78,117.1,3,75,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN01658,101112932,01,R2932,11,3,18,07,m.4,7,2,1,1.0,1,1,2,113,220,107,1,8.1,48,72,0.597,80,1,1,,,0,2,.,,WEAK,R0000,11,R1197,11,11,3,93,262,3,2,103,1.88,120.4,3,85,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN01659,101112934,01,R2934,11,3,18,07,m.1,8,2,1,1.0,1,1,2,113,220,107,13,8.4,47,68,0.557,75,1,1,,,0,4,.,,,R0000,11,R1194,11,12,3,93,262,3,2,98,1.88,116.7,3,75,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN01660,101112935,01,R2935,11,2,18,07,m.4,5,1,1,1.0,1,1,2,113,220,107,6,10.2,46,64,0.503,71,1,1,,,0,4,29,,,R0000,11,R1099,11,13,2,92,263,1,1,96,1.78,118.6,2,77,78,,0,0,,,0.0,0.0,,,,,,0.0,Sale
