UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN03287, 83944915,83,94,4915,1,30,30,,2,2,5,5, 10,1,1,4,96,128,9,67,43,284, 7, 3,13,11, 47,138,6,7,1,1,2,137,197,1140,93,,  0,,0000,02,3110,02,4,41,329,70,3,55,0,
83WN03288, 83944916,83,94,4916,3,37,37,,1,1,1,1, 10,1,1,4,96,128,14,117,75,495, 7, 3, 8, 7, 45,  0,4,6,1,1,1,146,210,1145,93,,  0,,0000,02,3499,94,4,71,449,14,3,0,0,
83WN03289, 83944917,83,94,4917,2,31,31,,1,1,1,1, 10,1,1,4,96,128,10,96,72,488, 6, 4, 9, 7, 52,  0,5,7,1,1,1,149,153,850,,,  0,,0000,02,4270,19,4,68,462,11,,73,82,
83WN03290, 83944919,83,94,4919,1,47,55,471,3,2,8,6, 50,5,4,1,96,131,9,99,76,505, 7, 3,10, 8, 44,263,6,7,2,1,2,150,231,1331,,,  0,,3003,94,5861,93,8,70,477,45,1,86,0,
83WN03291, 83944920,83,94,4920,2,47,55,471,3,2,8,4, 50,5,4,1,96,131,19,119,86,566, 6, 3, 8, 6, 62,  0,6,7,2,1,1,170,231,1331,92,,  0,,3003,94,5861,93,8,80,557,45,2,92,95,075
83WN03292, 83944921,83,94,4921,2,33,33,,1,1,1,1, 10,1,1,4,96,128,15,121,82,546, 8, 4, 8, 6, 49,  0,6,7,1,1,1,145,145,810,,,  0,,0000,02,0045,63,4,78,525,61,,86,87,
83WN03293, 83944922,83,94,4922,2,46,52,463,3,2,8,4, 50,5,4,1,96,131,17,87,87,598, 4, 3, 8, 7, 55,  0,6,7,2,1,1,178,235,1404,97,,  0,,3276,94,6450,93,8,80,588,44,7,0,0,
83WN03294, 83944923,83,94,4923,2,46,52,463,3,2,8,6, 50,5,4,1,96,131,17,73,86,601, 4, 3,10, 7, 50,  0,5,7,2,1,1,181,235,1404,92,,  0,,3276,94,6450,93,8,79,617,44,2,91,96,069
83WN03295, 83944924,83,94,4924,2,46,52,464,3,2,8,5, 20,2,2,2,96,133,18,115,91,598, 4, 3,10, 6, 58,  0,6,7,2,1,1,191,227,1394,97,,  0,,3367,94,1735,94,8,83,635,44,7,0,0,
83WN03296, 83944925,83,94,4925,2,46,52,464,3,2,8,5, 20,2,2,2,96,133,17,101,74,480, 5, 3,10, 9, 36,  0,6,7,2,1,1,162,227,1394,93,28,  0,,3367,94,1735,94,8,68,516,44,3,75,88,
