UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00774,53,2,7153,3,62,571,6341,3,17,,1,3,75,135,1,3,05,1,91,10,05,06,07,037,11,2,2,1,36,2,2,,594,07,,17,1,1,,5,,1,141,108,,2,13,0,3
53WN00775,53,2,7155,3,62,621,5996,3,17,,1,4,74,134,1,3,06,1,78,10,03,06,08,034,14,2,2,1,30,3,4,1,507,08,,17,1,1,,5,,1,136,100,,1,,0,4
53WN00776,53,2,7156,3,62,591,5937,3,17,,1,4,74,134,2,3,05,1,91,11,03,06,05,041,11,2,3,2,29,4,3,2,590,08,,17,1,1,,5,,1,141,120,,1,,0,4
53WN00777,53,1,7157,3,70,710,5607,3,17,,1,5,74,134,1,1,06,1,95,10,03,06,09,043,14,2,2,1,22,2,5,,596,08, 5,17,1,1,,2,5,1,149,152,,1,,0,4
53WN00778,53,2,7158,3,71,730,6432,3,17,,5,3,74,134,1,1,05,1,66,09,03,07,08,029,12,2,2,1,28,2,3,1,430,08, 4,17,5,2,,2,,1,135,84,,1,,0,3
53WN00779,53,1,7159,3,70,730,6432,3,17,,5,3,74,134,1,3,06,1,75,13,03,07,09,030,13,2,2,1,30,2,2,,478,08, 4,17,5,2,,2,1,1,124,110,,3,10,0,3
53WN00780,53,1,7160,3,71,730,5836,3,17,,5,5,74,134,1,4,06,1,89,10,03,06,09,038,12,2,2,1,21,2,2,,575,08, 5,17,5,2,,2,1,1,158,120,,1,,0,4
53WN00781,53,1,7161,3,70,730,5836,3,17,,5,5,74,134,1,7,07,1,94,13,03,06,08,039,12,2,2,1,38,2,3,,628,08, 6,17,5,2,,2,1,1,146,98,,1,,0,4
53WN00782,53,2,7162,3,63,670,1211,2,13,,1,3,74,134,1,3,06,1,67,10,03,06,09,040,11,2,2,1,28,2,3,1,436,08,16,17,1,1,,6,,1,132,86,,1,,0,3
53WN00783,53,2,7163,3,71,740,5629,3,17,,1,5,74,134,1,3,06,1,90,10,03,05,06,043,11,2,3,2,28,2,4,1,575,08, 5,17,1,1,,2,,1,149,130,,1,,0,4
53WN00784,53,1,7164,3,71,740,6429,3,17,,3,3,74,134,1,7,10,1,73,09,03,07,10,027,12,2,2,1,25,1,2,,475,08, 4,17,3,3,,2,3,1,133,94,,1,,0,3
53WN00785,53,2,7165,3,70,710,5953,3,17,,1,4,74,134,1,1,06,1,88,09,07,07,07,037,11,2,2,1,28,2,2,,566,08, 5,17,1,1,,2,,1,136,122,,2,13,0,4
53WN00786,53,1,7166,3,71,740,6547,3,17,,1,2,74,134,1,4,07,1,94,09,03,06,08,044,12,2,3,2,30,3,4,,610,08, 6,17,1,1,,2,5,1,166,122,,1,,0,2
53WN00787,53,1,7167,3,71,740,6196,3,17,,5,4,74,134,1,5,06,1,82,11,03,07,09,027,12,1,2,2,26,2,3,,546,08, 5,17,5,2,,2,2,1,139,88,,1,,0,4
53WN00788,53,2,7168,3,70,740,6196,3,17,,5,4,74,134,1,1,07,1,70,09,03,09,10,033,12,2,2,1,22,2,2,,470,08, 4,17,5,2,,2,,1,147,70,,3,66,0,4
53WN00789,53,1,7169,3,71,730,5400,3,17,,5,6,74,134,1,5,08,1,81,11,03,07,09,025,9,1,2,2,30,2,2,,548,08, 5,17,5,2,,2,1,1,136,76,,1,,0,4
53WN00790,53,2,7170,3,71,730,5400,3,17,,5,6,74,134,1,3,07,1,77,12,03,08,08,037,14,2,2,1,27,3,3,1,524,08, 5,17,5,2,,2,,1,137,68,,1,,0,4
53WN00791,53,1,7172,3,71,720,6309,3,17,,1,3,73,133,1,7,07,1,80,10,05,06,08,037,9,2,2,1,25,2,3,,519,09, 5,17,1,1,,2,3,1,130,110,,1,,0,3
53WN00792,53,2,7173,3,70,710,6025,3,17,,1,4,73,133,2,3,06,2,70,13,03,06,07,045,12,2,2,1,22,2,4,,439,09, 4,17,1,1,,2,,1,119,116,,2,34,0,4
53WN00793,53,2,7174,3,71,720,5398,3,17,,1,6,73,133,1,4,06,1,79,10,03,06,07,033,13,2,2,1,21,3,3,1,520,, 5,17,1,1,,2,,1,134,98,,1,,0,4
53WN00794,53,2,7176,3,70,740,5903,3,17,,1,5,73,133,1,1,07,1,91,08,03,07,07,035,13,2,2,1,22,3,4,1,588,09, 5,17,1,1,,2,,1,158,128,,1,,0,4
53WN00795,53,2,7178,3,70,730,6262,3,17,,3,3,73,133,1,1,07,1,74,14,03,08,08,036,13,2,2,1,33,2,3,1,493,09, 4,17,3,3,,2,,1,123,84,,1,,0,3
53WN00796,53,2,7180,3,62,621,5647,3,17,,1,5,73,133,1,1,05,1,87,09,03,04,05,040,14,2,2,1,27,4,3,2,565,09,,17,1,1,,5,,1,146,118,,1,,0,4
53WN00797,53,2,7181,3,70,720,6296,3,17,,1,3,73,133,1,3,05,1,75,09,03,05,07,045,12,2,2,1,27,2,4,2,490,09, 4,17,1,1,,2,,1,143,98,,1,,0,3
