UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00076,104050843,04,H0843,05,1,83,30,02P,9,3,2,4.0,4,4,1,91,216,125,19,9.0,0,77,0.544,74,1,1,,,0,W,.,,"HAIRY, X",A8647,04,01328,00,88,3,93,259,8,4,96,2.36,142.2,3,94,,,0.034,
04WN00077,104050844,04,H0844,05,3,83,30,02P,9,3,2,4.0,4,4,1,91,216,125,8,7.5,0,83,0.604,80,1,1,,,0,W,.,,"HAIRY, URI.",A8647,04,01328,00,88,3,93,275,8,6,0,2.36,142.2,3,96,,,0.034,
04WN00078,104050845,04,H0845,05,2,82,30,15P,9,3,2,3.0,3,3,1,92,216,124,24,8.1,0,71,0.507,69,1,1,,,0,C,  6,,RECORD,A8766,04,A8844,04,84,2,92,267,8,7,91,2.6,123.9,2,91,90,,0.061,
04WN00079,104050846,04,H0846,05,1,82,30,15P,9,3,2,3.0,3,3,1,92,216,124,13,11.0,0,87,0.613,85,1,1,,,0,C,.,,,A8766,04,A8844,04,84,3,93,259,8,3,93,2.6,123.9,3,100,,,0.061,
04WN00080,104050849,04,H0849,05,2,82,30,22P,9,3,2,2.0,2,2,1,92,216,124,21,4.8,0,66,0.494,64,1,1,,,0,C,.,,RAT,A8879,04,A9545,04,81,3,93,275,8,7,91,2.24,130.3,3,80,,,0.06,
04WN00081,104050850,04,H0850,05,2,82,30,22P,9,3,2,2.0,2,2,1,92,216,124,18,9.2,0,84,0.603,82,1,1,,,0,C,.,e10,,A8879,04,A9545,04,81,1,,,8,3,100,2.24,130.3,1,102,99,,0.06,
04WN00082,104050851,04,H0851,05,3,83,30,04P,5,1,1,3.0,3,3,1,92,216,124,10,9.3,0,87,0.627,84,1,1,,,0,W,.,,"BAD EYE, X",A9232,04,A8198,04,82,3,93,275,1,1,0,2.17,137.1,3,90,,,0.045,
04WN00083,104050852,04,H0852,05,1,83,30,03P,8,2,2,2.0,2,2,1,92,216,124,6,10.2,0,93,0.668,90,1,1,,,0,W,.,,,A7199,04,A9026,04,84,3,93,259,5,5,99,2.24,131.1,3,101,,,0.043,
04WN00084,104050853,04,H0853,05,2,83,30,03P,8,2,2,2.0,2,2,1,92,216,124,12,9.1,0,88,0.636,85,1,1,,,0,W,.,e12,4TEATS,A7199,04,A9026,04,84,1,,,5,5,102,2.24,131.1,1,101,99,,0.043,
04WN00085,104050854,04,H0854,05,1,83,30,04P,9,3,2,6.0,6,4,1,92,216,124,18,9.2,0,80,0.571,78,1,1,,,0,W,.,,,A9232,04,A5711,04,82,3,93,259,8,4,95,2.05,135.8,3,92,,,0.046,
04WN00086,104050855,04,H0855,05,2,83,30,04P,9,3,2,6.0,6,4,1,92,216,124,15,7.4,0,71,0.513,69,1,1,,,0,W,  6,,BRITCHY,A9232,04,A5711,04,82,2,92,267,8,6,96,2.05,135.8,2,88,85,,0.046,
04WN00087,104050857,04,H0857,05,1,82,30,16P,3,4,2,4.0,4,4,1,92,216,124,8,8.0,0,79,0.573,77,1,1,,,0,C,.,,,A9442,04,A7755,04,88,3,93,259,8,5,95,2.73,136.0,3,87,,,0.05,
04WN00088,104050858,04,H0858,05,1,82,30,16P,3,4,2,4.0,4,4,1,92,216,124,17,7.4,0,84,0.618,82,1,1,3,,0,C,.,,H3,A9442,04,A7755,04,88,3,93,259,8,5,97,2.73,136.0,3,99,,,0.05,
