UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00793,58,2,9240,3,65,690,6760,3,17,,1,7,79,139,1,1,08,1,93,10,05,08,07,037,16,2,2,1,,3248,2,,590,59,17,62,5,0,1,138,110,,,5,1,1,0,
58WN00794,58,1,9241,3,65,590,7804,3,17,,1,4,79,139,2,7,10,1,96,15,03,06,09,044,11,2,3,2,,4774,1,,600,60,17,62,5,0,1,129,126,,3,4,1,1,0,
58WN00795,58,1,9242,3,72,929,8524,3,17,,1,2,79,139,1,4,05,1,72,13,04,09,08,038,16,2,2,1,,8523,3,,458,45,17,72,3,8,1,109,84,1,,2,1,1,0,
58WN00796,58,2,9244,3,65,650,7839,3,17,,3,4,79,139,1,1,06,1,82,10,05,08,07,040,13,2,2,1,,3112,2,,532,53,17,62,5,2,1,131,80,,,4,3,3,0,
58WN00797,58,1,9245,3,65,650,7839,3,17,,4,4,79,139,1,6,07,1,96,09,06,08,09,036,16,2,3,2,,3112,2,,627,62,17,62,5,7,1,145,88,,3,4,3,3,0,
58WN00798,58,2,9247,3,70,720,7642,3,17,,3,4,79,139,1,1,05,1,74,10,03,09,10,033,16,1,2,2,,8431,3,,476,47,17,70,2,6,1,134,78,,,4,3,3,0,
58WN00799,58,1,9248,3,72,875,7113,3,17,,4,6,79,139,1,5,07,1,77,11,04,09,08,030,13,2,2,1,,8441,3,,489,48,17,71,3,9,1,124,90,,,4,3,3,0,
58WN00800,58,2,9249,3,72,875,7113,3,17,,3,6,79,139,1,1,06,2,83,10,05,08,07,039,16,2,2,1,,8441,3,,531,53,17,71,3,1,1,139,92,,,4,3,3,0,
58WN00801,58,2,9250,3,66,550,8258,3,17,,5,3,79,139,1,4,08,1,63,10,03,10,09,038,14,2,2,1,,4377,1,,396,39,17,65,5,6,1,131,80,,2,3,5,2,0,
58WN00802,58,1,9251,3,66,550,8258,3,17,,5,3,79,139,1,4,10,2,57,11,03,12,10,034,14,2,2,1,,4377,1,,345,34,17,65,5,5,1,116,90,,3,3,5,2,0,
58WN00803,58,1,9252,3,72,885,6915,3,17,,3,6,79,139,1,7,09,1,81,10,03,09,09,041,16,2,2,1,,8636,3,,511,51,17,71,3,1,1,140,100,,,4,3,3,0,
58WN00804,58,2,9253,3,72,885,6915,3,17,,4,6,79,139,1,3,10,1,56,09,03,10,10,041,14,1,2,2,,8636,3,,345,34,17,71,3,5,1,127,80,,,4,3,3,0,
58WN00805,58,1,9254,3,70,750,6957,3,17,,1,6,79,139,1,5,08,1,102,09,06,07,07,040,14,2,2,1,,9172,3,,649,64,17,70,2,9,1,146,118,,3,4,1,1,0,
58WN00806,58,1,9255,3,70,730,7637,3,17,,5,4,79,139,2,3,09,2,75,12,04,10,10,032,16,1,2,2,,8959,3,,476,47,17,70,2,6,1,124,88,,3,4,5,2,0,
58WN00807,58,1,9256,3,70,730,7637,3,17,,5,4,79,139,1,1,08,2,71,10,04,10,10,031,16,2,2,1,,8959,3,,455,45,17,70,2,5,1,129,78,,3,4,5,2,0,
58WN00808,58,2,9257,3,70,720,6237,3,17,,1,8,79,139,1,4,05,4,88,10,03,06,06,043,13,2,2,1,,8431,3,,571,57,17,70,2,1,1,141,86,,,5,1,1,0,
58WN00809,58,1,9258,3,70,740,7106,3,17,,1,6,88,148,1,2,08,2,93,10,04,09,11,046,16,2,2,1,,8936,3,,535,53,17,70,2,5,7,152,138,,,4,1,1,0,-
58WN00810,58,2,9259,3,70,720,8478,3,17,,1,2,79,139,1,4,08,1,72,10,03,09,10,037,16,2,2,1,,8431,3,,459,45,17,70,2,9,1,136,82,,,2,1,1,0,
58WN00811,58,2,9260,3,65,580,7538,3,17,,1,4,79,139,1,4,06,1,69,11,04,08,08,042,14,1,2,2,,4645,1,,433,43,17,62,5,3,1,118,88,,2,4,1,1,0,
