UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00209,79192367,79,2,2367,19,1,10,102,9633,,5,3,3,66,126,1,1,,2,56,07,03,10,09,049,9,3,5,178,9,18,0464,19,361,864,2,2,151,105,32,3,6,,2,2
79WN00210,79192369,79,2,2369,19,1,11,112,9634,,3,3,3,67,127,1,1,,2,73,08,03,10,07,035,2,3,4,178,9,18,1172,19,487,919,6,3,144,111,,3,2,,2,1
79WN00211,79192371,79,1,2371,19,1,12,800,8195,202,7,5,5,66,126,1,2,,2,84,07,03,08,06,034,2,3,5,194,9,18,0410,19,587,783,3,2,144,100,93,4,2,,3,1
79WN00212,79192372,79,1,2372,19,1,13,132,8967,158,5,4,4,66,126,1,7,,2,69,08,04,10,09,034,13,3,4,163,9,18,1178,19,450,786,6,2,132,123,93,4,4,,2,2
79WN00213,79192373,79,2,2373,19,1,13,132,8967,,5,4,4,66,126,1,2,,1,61,07,03,10,09,047,1,4,5,163,9,18,1178,19,407,786,6,2,151,97,92,4,6,,2,2
79WN00214,79192374,79,1,2374,19,1,13,133,0016,286,1,3,3,66,126,1,4,,1,82,08,04,09,09,033,7,2,4,144,9,19,1149,19,547,808,6,2,139,131,,3,1,,1,1
79WN00215,79192375,79,1,2375,19,1,10,104,7545,212,8,6,6,66,126,1,2,,2,74,05,03,09,08,048,1,5,6,177,9,18,0421,19,514,1027,2,2,171,92,,4,5,,3,2
79WN00216,79192376,79,1,2376,19,1,10,104,7545,201,8,6,6,66,126,1,6,,2,70,06,03,10,08,031,5,1,3,177,9,18,0421,19,483,1027,2,2,150,92,93,4,5,,3,2
79WN00217,79192378,79,2,2378,19,1,12,810,1024,,1,2,2,66,126,1,1,,2,69,06,03,10,09,033,3,1,3,154,9,19,0721,19,448,804,3,2,144,126,,2,1,,1,1
79WN00218,79192379,79,1,2379,19,1,10,103,0750,164,5,2,2,66,126,1,4,,1,70,08,03,10,08,033,9,4,5,164,9,19,0435,19,489,910,2,2,158,84,93,2,6,,2,2
79WN00219,79192380,79,1,2380,19,1,10,103,0750,125,5,2,2,66,126,1,2,,1,63,12,03,11,09,031,14,3,4,164,9,19,0435,19,419,910,2,2,110,102,93,2,4,,2,2
79WN00220,79192382,79,2,2382,19,1,12,920,9865,,3,3,3,66,126,1,1,,1,53,11,03,11,10,028,1,2,3,161,9,18,0644,19,362,732,3,2,106,74,,3,2,,2,1
79WN00221,79192383,79,1,2383,19,1,10,102,0534,142,1,2,2,66,126,1,1,,2,78,09,05,10,07,035,12,2,3,154,9,19,0464,19,528,808,2,2,122,115,93,2,1,,1,1
79WN00222,79192384,79,1,2384,19,1,10,104,6927,190,3,7,7,66,126,1,2,,2,83,08,03,08,08,043,8,3,5,195,9,18,0421,19,557,938,2,2,149,128,,5,2,,2,1
79WN00223,79192387,79,1,2387,19,1,10,103,8497,182,3,5,5,67,127,1,1,,1,51,07,03,11,11,031,7,2,3,156,9,18,0435,19,310,661,2,3,129,116,93,4,2,,2,1
79WN00224,79192388,79,2,2388,19,1,11,113,7295,,5,6,6,66,126,1,1,,2,75,08,03,09,06,043,15,2,4,166,9,18,0567,19,504,1059,6,2,147,115,,4,5,,2,2
79WN00225,79192389,79,2,2389,19,1,11,113,7295,,5,6,6,66,126,1,1,,1,67,09,03,10,10,028,15,3,4,166,9,18,0567,19,451,1059,6,2,134,102,,4,5,,2,2
79WN00226,79192390,79,2,2390,19,1,12,910,0931,,1,2,2,66,126,1,3,,1,69,13,07,10,08,042,8,4,6,154,9,19,0633,19,476,804,3,2,98,90,92,2,1,,1,1
79WN00227,79192391,79,1,2391,19,1,10,103,7280,120,4,6,6,64,124,1,2,,1,52,10,03,11,10,038,1,3,5,,9,18,0435,19,345,,2,9,,92,,4,2,,2,1
79WN00228,79192392,79,2,2392,19,1,12,820,9237,,5,4,4,66,126,1,1,,1,66,09,03,10,08,033,4,2,3,148,9,18,0991,19,450,807,3,2,130,93,97,4,5,,2,2
79WN00229,79192393,79,1,2393,19,1,12,820,9237,104,5,4,4,66,126,1,2,,1,62,07,05,10,07,030,5,3,4,148,9,18,0991,19,406,807,3,2,127,109,,4,5,,2,2
79WN00230,79192394,79,1,2394,19,1,11,113,7690,177,1,6,6,65,125,1,1,,2,83,08,03,10,09,036,7,2,4,133,9,18,0567,19,557,785,6,2,142,134,,4,1,,1,1
79WN00231,79192395,79,2,2395,19,1,12,890,8997,,5,4,4,59,119,1,1,,2,58,09,03,11,10,041,2,2,3,163,9,18,0573,19,409,895,3,8,141,93,,4,6,,2,2
79WN00232,79192396,79,1,2396,19,1,12,890,8997,183,5,4,4,59,119,1,4,,2,83,08,03,12,10,038,2,2,3,163,9,18,0573,19,600,895,3,8,159,116,,4,4,,2,2
79WN00233,79192397,79,2,2397,19,1,10,102,9796,,3,3,3,65,125,1,1,,2,79,07,03,09,08,039,2,5,6,178,9,18,0464,19,548,988,2,2,155,105,,3,2,,2,1
79WN00234,79192399,79,1,2399,19,1,10,103,8915,102,5,4,4,66,126,1,1,,1,45,07,03,12,12,031,1,2,3,191,9,18,0435,19,259,946,2,3,137,124,,4,5,,2,2
79WN00235,79192400,79,1,2400,19,1,10,103,8915,238,5,4,4,65,125,1,7,,2,94,07,07,10,08,032,4,2,3,191,9,18,0435,19,662,946,2,2,155,112,,4,5,,2,2
79WN00236,79192401,79,1,2401,19,1,12,900,8559,109,5,5,5,65,125,1,2,,2,51,14,03,11,10,035,2,2,4,169,9,18,1003,19,318,693,3,2,99,113,,4,5,,2,2
79WN00237,79192402,79,2,2402,19,1,12,900,8559,,5,5,5,65,125,1,1,,1,63,09,03,11,09,031,3,3,5,169,9,18,1003,19,423,693,3,2,128,101,,4,5,,2,2
