UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN02189,103819377,03,Z9377,81,1,97,97,972,5,1,1,3.0,3,3,B,100,219,119,2,14.5,0,129,0.962,130,6,1,,,0,.,.,,ENTR*2,Z6098,81,Z6154,81,97,1,,,1,1,113,1.69,119.4,1,125,,,21,31,,0.092,,,,,,,,
03WN02190,103819378,03,Z9378,81,2,00,00,-2-,8,2,2,7.0,7,5,2,100,225,125,16,11.3,57,81,0.558,78,1,1,,,2,X,GET,,BUSHY,00000,00,T5411,44,41,Z,93,255,5,5,109,2.11,152.2,Z,86,94,,18,28,,0.0,,,,,,,,PPL
03WN02191,103819379,03,Z9379,81,2,00,00,-2-,8,2,2,7.0,7,5,2,100,225,125,7,10.1,63,88,0.623,85,1,1,,,2,X,GET,nd+,,00000,00,T5411,44,41,1,,,5,5,115,2.11,152.2,1,102,,,15,27,,0.0,,,,,,,,JxT
03WN02192,103819380,03,Z9380,81,3,00,31,-4-,8,2,2,6.0,6,4,2,100,225,125,3,11.2,58,85,0.59,82,1,1,,,0,X,GET,,,A7553,04,S8194,10,11,3,93,260,5,5,0,1.84,120.0,3,90,,,19,31,,0.001,,,,,,,,W.
03WN02193,103819381,03,Z9381,81,2,00,01,-4-,8,2,2,6.0,6,4,2,100,225,125,1,11.3,61,85,0.59,82,1,1,,,0,X,GET,e.1,,T7939,44,S8194,10,11,1,,,5,5,104,1.84,120.0,1,91,,,17,29,,0.0,,,,,,,,JxR
03WN02194,103819382,03,Z9382,81,3,00,02,-1-,8,2,2,7.0,7,5,2,100,225,125,15,8.6,54,77,0.547,74,1,1,,,2,X,.,,ENTR*2,T7925,44,T5775,44,42,3,93,260,5,6,0,1.74,116.2,3,86,,,0,0,,0.02,,,,,,,,W.
03WN02195,103819383,03,Z9383,81,2,00,02,-1-,8,2,2,7.0,7,5,2,100,225,125,4,10.6,50,86,0.603,83,1,1,,,2,X,.,nd7,4TEATS,T7925,44,T5775,44,42,1,,,5,4,104,1.74,116.2,1,92,,,0,0,,0.02,,,,,,,,JxT
03WN02196,103819384,03,Z9384,81,2,00,80,52N,5,1,1,5.5,5,4,3,100,219,119,1,13.1,99,116,0.865,117,5,1,,,0,N,.,e.6,,Z0000,81,A4913,04,73,1,,,1,1,0,1.83,129.3,1,128,,,0,0,,0.0,,,,,,,,SxP
03WN02197,103819385,03,Z9385,81,2,00,01,-1-,5,1,1,2.0,2,2,2,100,225,125,8,12.9,74,95,0.657,92,1,1,,,0,X,.,e.2,NICE,T8164,44,R2839,11,10,1,,,1,1,111,1.69,113.5,1,99,,,18,27,,0.0,,,,,,,,JxR
03WN02198,103819387,03,Z9387,81,2,00,32,-5-,8,2,1,3.0,3,3,2,100,225,125,8,8.7,64,90,0.65,87,1,1,,,0,X,.,nd8,,T7341,44,A7770,04,81,1,,,3,2,104,2.02,103.0,1,104,,,0,0,,0.0,,,,,,,,JxP
03WN02199,103819388,03,Z9388,81,2,00,31,-3-,8,2,2,4.0,4,4,2,100,225,125,15,10.6,64,87,0.611,84,1,1,,,0,X,.,,BLK.NECK,A7659,04,R0621,11,13,Z,93,255,5,5,102,1.8,104.5,Z,97,97,,19,27,,0.001,,,,,,,,PPL
