UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
10PE00294,10,05,H5847,05,H3858,05,H2462,30,2010055847,2008053858,2006052462
10PE00295,10,05,H5848,05,H3967,05,H5372,30,2010055848,2008053967,2009055372
10PE00296,10,05,H5849,05,H4357,05,H5251,30,2010055849,2008054357,2009055251
10PE00297,10,05,H5850,05,H4357,05,H5251,30,2010055850,2008054357,2009055251
10PE00298,10,05,H5851,05,H4164,04,A9715,30,2010055851,2008054164,2002049715
10PE00299,10,05,H5852,05,H4164,04,A9715,30,2010055852,2008054164,2002049715
10PE00300,10,05,H5853,05,H4164,04,A9715,30,2010055853,2008054164,2002049715
10PE00301,10,05,H5854,05,H4386,05,H3469,30,2010055854,2008054386,2007053469
10PE00302,10,05,H5855,05,H4386,05,H3469,30,2010055855,2008054386,2007053469
10PE00303,10,05,H5856,05,H4386,05,H3747,30,2010055856,2008054386,2008053747
10PE00304,10,05,H5857,05,H4386,05,H3747,30,2010055857,2008054386,2008053747
10PE00305,10,05,H5858,05,H3872,05,H3934,30,2010055858,2008053872,2008053934
10PE00306,10,05,H5859,05,H3872,05,H3934,30,2010055859,2008053872,2008053934
10PE00307,10,05,H5860,05,H3858,05,H3405,30,2010055860,2008053858,2007053405
10PE00308,10,05,H5861,05,H3858,05,H3405,30,2010055861,2008053858,2007053405
10PE00309,10,05,H5862,05,H3858,05,H3405,30,2010055862,2008053858,2007053405
10PE00310,10,05,H5863,05,H4186,05,H4201,30,2010055863,2008054186,2008054201
10PE00311,10,05,H5864,05,H4186,05,H4201,30,2010055864,2008054186,2008054201
10PE00312,10,05,H5865,05,H4155,05,H1747,30,2010055865,2008054155,2005051747
10PE00313,10,05,H5866,05,H4155,05,H1747,30,2010055866,2008054155,2005051747
10PE00314,10,05,H5867,00,00712,05,H4438,30,2010055867,2007000712,2008054438
10PE00315,10,05,H5868,00,00712,05,H4438,30,2010055868,2007000712,2008054438
10PE00316,10,05,H5869,05,H3872,05,H3001,30,2010055869,2008053872,2007053001
10PE00317,10,05,H5870,05,H3872,05,H3001,30,2010055870,2008053872,2007053001
10PE00318,10,05,H5871,05,H3872,05,H3001,30,2010055871,2008053872,2007053001
10PE00319,10,05,H5872,05,H4186,05,H1627,30,2010055872,2008054186,2005051627
10PE00320,10,05,H5873,05,H4386,05,H4549,30,2010055873,2008054386,2008054549
10PE00321,10,05,H5874,05,H4386,05,H4549,30,2010055874,2008054386,2008054549
