UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01286,S3525,2022-02-10,41,75.0,165,,70,7.0
22SH01287,S3526,2022-02-10,41,68.5,151,,90,9.0
22SH01288,S3530,2022-02-10,41,56.0,123,,60,6.0
22SH01289,S3537,2022-02-11,42,71.0,156,,70,7.0
22SH01290,S3541,2022-02-11,42,85.0,187,,90,9.0
22SH01291,S3543,2022-02-10,41,58.5,129,,60,6.0
22SH01292,S3547,2022-02-10,41,57.5,127,,60,6.0
22SH01293,S3551,2022-02-10,41,62.0,136,,70,7.0
22SH01294,S3554,2022-02-11,42,69.5,153,,80,8.0
22SH01295,S3558,2022-02-10,41,62.5,138,,60,6.0
22SH01296,S3570,2022-02-10,41,66.5,146,,90,9.0
22SH01297,S3587,2022-02-10,41,67.0,147,,90,9.0
22SH01298,S3588,2022-02-10,41,58.0,128,,90,9.0
22SH01299,S3591,2022-02-10,41,59.0,130,,50,5.0
22SH01300,S3594,2022-02-10,41,64.5,142,,80,8.0
22SH01301,S3599,2022-02-10,41,67.0,147,,60,6.0
22SH01302,S3604,2022-02-10,41,62.5,138,,80,8.0
22SH01303,S3611,2022-02-10,41,66.0,145,,70,7.0
22SH01304,S3614,2022-02-10,41,67.5,149,,60,6.0
22SH01305,S3619,2022-02-10,41,70.5,155,,90,9.0
22SH01306,S3623,2022-02-10,41,64.5,142,,80,8.0
22SH01307,S3629,2022-02-10,41,71.0,156,,70,7.0
22SH01308,S3636,2022-02-10,41,61.5,135,,60,6.0
22SH01309,S3644,2022-02-10,41,72.0,158,,80,8.0
22SH01310,S3645,2022-02-10,41,71.0,156,,70,7.0
22SH01311,S3647,2022-02-10,41,60.0,132,,70,7.0
22SH01312,S3665,2022-02-10,41,57.5,127,,70,7.0
22SH01313,S3668,2022-02-10,41,60.5,133,,80,8.0
22SH01314,S3684,2022-02-11,42,67.0,147,,70,7.0
22SH01315,S3686,2022-02-10,41,67.0,147,,70,7.0
22SH01316,S3690,2022-02-10,41,64.5,142,,60,6.0
22SH01317,S3692,2022-02-10,41,67.0,147,,70,7.0
22SH01318,S3700,2022-02-11,42,73.0,161,,60,6.0
22SH01319,S3706,2022-02-10,41,76.5,168,,90,9.0
22SH01320,S3713,2022-02-10,41,67.0,147,,60,6.0
22SH01321,S3722,2022-02-10,41,68.5,151,,70,7.0
22SH01322,S3723,2022-02-10,41,57.5,127,,70,7.0
22SH01323,S3724,2022-02-10,41,59.0,130,,70,7.0
22SH01324,S3726,2022-02-11,42,74.0,163,,90,9.0
22SH01325,S3728,2022-02-10,41,59.5,131,,70,7.0
22SH01326,S3733,2022-02-10,41,64.0,141,,70,7.0
22SH01327,S3737,2022-02-10,41,68.5,151,,60,6.0
22SH01328,S3739,2022-02-11,42,65.5,144,,70,7.0
22SH01329,S3740,2022-02-10,41,70.0,154,,60,6.0
22SH01330,S3746,2022-02-10,41,63.5,140,,70,7.0
