UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00193,A0916,2021-02-11,62,136,60,6.0,YA
21SH00194,A0918,2021-02-11,62,136,70,7.0,YA
21SH00195,A0920,2021-02-11,69,152,50,5.0,YA
21SH00196,A0925,2021-02-11,80,175,70,7.0,YA
21SH00197,A0938,2021-02-11,49,107,70,7.0,YA
21SH00198,A0942,2021-02-11,62,136,60,6.0,YA
21SH00199,A0947,2021-02-11,73,161,70,7.0,YA
21SH00200,A0950,2021-02-11,65,142,60,6.0,YA
21SH00201,A0954,2021-02-11,69,152,50,5.0,YA
21SH00202,A0961,2021-02-11,64,141,50,5.0,YA
21SH00203,A0962,2021-02-11,61,133,40,4.0,YAA
21SH00204,A0964,2021-02-11,60,132,50,5.0,YA
21SH00205,A0967,2021-02-11,76,166,70,7.0,YA
21SH00206,A0970,2021-02-11,58,127,60,6.0,YA
21SH00207,A0974,2021-02-11,70,154,60,6.0,YA
21SH00208,A0979,2021-02-11,58,127,50,5.0,YA
21SH00209,A0980,2021-02-11,63,138,70,7.0,YA
21SH00210,A0985,2021-02-11,75,164,60,6.0,YA
21SH00211,A0989,2021-02-11,78,172,50,5.0,YA
21SH00212,A0990,2021-02-11,75,164,70,7.0,YA
21SH00213,A0991,2021-02-11,67,147,50,5.0,YA
21SH00214,A0993,2021-02-11,84,185,70,7.0,YA
21SH00215,A0996,2021-02-11,56,122,60,6.0,YA
21SH00216,A0997,2021-02-11,61,134,50,5.0,YA
21SH00217,A0998,2021-02-11,69,151,70,7.0,YA
21SH00218,A0999,2021-02-11,64,140,60,6.0,YA
21SH00219,A1000,2021-02-11,68,149,50,5.0,YA
21SH00220,A1002,2021-02-11,71,156,60,6.0,YA
21SH00221,A1003,2021-02-11,75,164,60,6.0,YA
21SH00222,A1004,2021-02-11,81,177,60,6.0,YA
21SH00223,A1005,2021-02-11,70,153,50,5.0,YA
21SH00224,A1008,2021-02-11,66,145,70,7.0,YA
21SH00225,A1010,2021-02-11,69,152,80,8.0,YA
21SH00226,A1011,2021-02-11,58,127,60,6.0,YA
21SH00227,A1012,2021-02-11,55,121,50,5.0,YAA
21SH00228,A1016,2021-02-11,69,151,60,6.0,YA
21SH00229,A1022,2021-02-11,68,149,60,6.0,YA
21SH00230,A1023,2021-02-11,63,138,50,5.0,YA
21SH00231,A1024,2021-02-11,85,187,50,5.0,YA
