UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH01297,T4411,1,0,11.0,110,,50,02,Mature Ram,0,
14SH01298,H5934,1,0,9.0,90,,50,30,Mature Ram,0,
14SH01299,K4696,1,0,14.0,140,,50,06,Mature Ram,0,
14SH01300,R8988,1,0,14.6,146,,50,07,Mature Ram,0,
14SH01301,K4793,1,0,13.2,132,,50,06,Mature Ram,0,
14SH01302,H6969,1,0,8.0,80,,50,30,Mature Ram,0,
14SH01303,K4875,1,0,12.4,124,,50,06,Mature Ram,0,
14SH01304,H7588,1,0,9.0,90,,50,30,Mature Ram,0,
14SH01305,T4136,1,0,13.0,130,,50,02,Mature Ram,0,
14SH01306,K4848,1,0,14.2,142,,50,06,Mature Ram,0,
14SH01307,T4208,1,0,12.8,128,,50,02,Mature Ram,0,
14SH01308,T4249,1,0,12.4,124,,50,02,Mature Ram,0,
14SH01309,T4387,1,0,13.4,134,,50,02,Mature Ram,0,
14SH01310,Z1650,1,0,5.0,50,,50,CM,CM  Yrlng Ram,0,
14SH01311,T5045,1,0,5.2,52,,50,02,Yrlng Ram,0,
14SH01312,T5233,1,0,5.0,50,,50,02,Yrlng Ram,0,
14SH01313,H8070,1,0,6.0,60,,50,30,Yrlng Ram,0,
14SH01314,K4966,1,0,7.4,74,,50,06,Yrlng Ram,0,
14SH01315,R9757,1,0,8.0,80,,50,07,Yrlng Ram,0,
14SH01316,R9597,1,0,6.4,64,,50,07,Yrlng Ram,0,
14SH01317,K4958,1,0,4.6,46,,50,06,Yrlng Ram,0,
14SH01318,H8327,1,0,4.4,44,,50,30,Yrlng Ram,0,
14SH01319,T4776,1,0,7.2,72,,50,02,Yrlng Ram,0,
14SH01320,R9600,1,0,6.4,64,,50,07,Yrlng Ram,0,
14SH01321,H8002,1,0,4.8,48,,50,30,Yrlng Ram,0,
14SH01322,T4884,1,0,7.2,72,,50,02,Yrlng Ram,0,
14SH01323,Z1581,1,0,7.6,76,,50,CM,CM  Yrlng Ram,0,
14SH01324,H8420,1,0,6.0,60,,50,30,Yrlng Ram,0,
14SH01325,R9949,1,0,4.4,44,,50,07,Yrlng Ram,0,
14SH01326,H8137,1,0,7.6,76,,50,30,Yrlng Ram,0,
14SH01327,H8210,1,0,6.6,66,,50,30,Yrlng Ram,0,
14SH01328,K4969,1,0,5.8,58,,50,06,Yrlng Ram,0,
14SH01329,H8288,1,0,4.2,42,,50,30,Yrlng Ram,0,
14SH01330,R9928,1,0,6.6,66,,50,07,Yrlng Ram,0,
14SH01331,T5269,1,0,4.6,46,,50,02,Yrlng Ram,0,
14SH01332,H8202,1,0,5.4,54,,50,30,Yrlng Ram,0,
14SH01333,R9746,1,0,6.2,62,,50,07,Yrlng Ram,0,
14SH01334,R9734,1,0,6.6,66,,50,07,Yrlng Ram,0,
14SH01335,H8175,1,0,7.2,72,,50,30,Yrlng Ram,0,
14SH01336,R9572,1,0,6.2,62,,50,07,Yrlng Ram,0,
14SH01337,R9656,1,0,7.2,72,,50,07,Yrlng Ram,0,
14SH01338,H8052,1,0,6.8,68,,50,30,Yrlng Ram,0,
14SH01339,R9829,1,0,5.8,58,,50,07,Yrlng Ram,0,
14SH01340,H8311,1,0,4.8,48,,50,30,Yrlng Ram,0,
14SH01341,Z1715,1,0,4.8,48,,50,CM,CM  Yrlng Ram,0,
14SH01342,H8376,1,0,5.4,54,,50,30,Yrlng Ram,0,
14SH01343,Z1598,1,0,5.8,58,,50,CM,CM  Yrlng Ram,0,
14SH01344,H8290,1,0,4.4,44,,50,30,Yrlng Ram,0,
14SH01345,H8066,1,0,5.2,52,,50,30,Yrlng Ram,0,
14SH01346,K4942,1,0,6.8,68,,50,06,Yrlng Ram,0,
14SH01347,Z1823,1,0,5.4,54,,50,CM,CM  Yrlng Ram,0,
14SH01348,T4725,1,0,6.8,68,,50,02,Yrlng Ram,0,
14SH01349,T5198,1,0,6.2,62,,50,02,Yrlng Ram,0,
14SH01350,T5017,1,0,4.6,46,,50,02,Yrlng Ram,0,
14SH01351,R9647,1,0,7.4,74,,50,07,Yrlng Ram,0,
14SH01352,R9713,1,0,4.8,48,,50,07,Yrlng Ram,0,
14SH01353,H8061,1,0,4.0,40,,50,30,Yrlng Ram,0,
14SH01354,T5035,1,0,6.0,60,,50,02,Yrlng Ram,0,
14SH01355,H8387,1,0,4.4,44,,50,30,Yrlng Ram,0,
14SH01356,Z1563,1,0,8.2,82,,50,CM,CM  Yrlng Ram,0,
14SH01357,T4948,1,0,10.0,100,,50,02,Yrlng Ram,0,
14SH01358,H8273,1,0,5.8,58,,50,30,Yrlng Ram,0,
14SH01359,T4732,1,0,7.8,78,,50,02,Yrlng Ram,0,
14SH01360,R9922,1,0,6.6,66,,50,07,Yrlng Ram,0,
14SH01361,R9596,1,0,6.8,68,,50,07,Yrlng Ram,0,
14SH01362,K4964,1,0,5.2,52,,50,06,Yrlng Ram,0,
14SH01363,T4825,1,0,7.6,76,,50,02,Yrlng Ram,0,
14SH01364,R9573,1,0,7.4,74,,50,07,Yrlng Ram,0,
14SH01365,K4955,1,0,5.2,52,,50,06,Yrlng Ram,0,
14SH01366,T5227,1,0,8.4,84,,50,02,Yrlng Ram,0,
