UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
17SH00300,H9357,3.6,36,47,30,,1.0
17SH00301,H9358,7.0,70,47,30,,1.0
17SH00302,H9359,5.0,50,47,30,,1.0
17SH00303,H9360,5.8,58,47,30,,1.0
17SH00304,H9361,7.0,70,47,30,,1.0
17SH00305,H9362,5.0,50,47,30,,1.0
17SH00306,H9370,6.4,64,47,30,,1.0
17SH00307,H9371,8.8,88,47,30,,1.0
17SH00308,H9374,9.2,92,47,30,,1.0
17SH00309,H9378,4.4,44,47,30,,1.0
17SH00310,H9380,5.2,52,47,30,,1.0
17SH00311,H9383,5.2,52,47,30,,1.0
17SH00312,H9384,6.8,68,47,30,,1.0
17SH00313,H9385,6.4,64,47,30,,1.0
17SH00314,H9389,6.0,60,47,30,,1.0
17SH00315,H9393,6.4,64,47,30,,1.0
17SH00316,H9396,7.4,74,47,30,,1.0
17SH00317,H9403,4.8,48,47,30,,1.0
17SH00318,H9405,4.6,46,47,30,,1.0
17SH00319,H9408,6.6,66,47,30,,1.0
17SH00320,H9411,7.4,74,47,30,,1.0
17SH00321,H9412,5.0,50,47,30,,1.0
17SH00322,H9414,5.8,58,47,30,,1.0
17SH00323,H9415,4.6,46,47,30,,1.0
17SH00324,H9416,1.4,14,47,30,,1.0
17SH00325,H9418,5.6,56,47,30,,1.0
17SH00326,H9419,7.6,76,47,30,,1.0
17SH00327,H9420,6.0,60,47,30,,1.0
17SH00328,H9421,7.0,70,47,30,,1.0
17SH00329,H9422,9.4,94,47,30,,1.0
17SH00330,H9423,6.0,60,47,30,,1.0
17SH00331,H9424,5.0,50,47,30,,1.0
17SH00332,H9429,5.8,58,47,30,,1.0
17SH00333,H9430,8.8,88,47,30,,1.0
17SH00334,H9432,2.6,26,47,30,,1.0
17SH00335,H9435,4.2,42,47,30,,1.0
17SH00336,H9436,3.4,34,47,30,,1.0
17SH00337,H9437,5.0,50,47,30,,1.0
17SH00338,H9438,7.0,70,47,30,,1.0
17SH00339,H9439,5.0,50,47,30,,1.0
17SH00340,H9442,6.2,62,47,30,,1.0
17SH00341,H9443,8.2,82,47,30,,1.0
17SH00342,H9444,8.8,88,47,30,,1.0
17SH00343,H9448,3.8,38,47,30,,1.0
17SH00344,H9452,7.2,72,47,30,,1.0
17SH00345,H9455,5.0,50,47,30,,1.0
17SH00346,H9460,6.0,60,47,30,,1.0
17SH00347,H9464,8.4,84,47,30,,1.0
17SH00348,H9465,4.8,48,47,30,,1.0
17SH00349,H9470,5.8,58,47,30,,1.0
17SH00350,H9471,5.8,58,47,30,,1.0
17SH00351,H9472,5.4,54,47,30,,1.0
17SH00352,H9480,6.6,66,47,30,,1.0
17SH00353,H9482,4.2,42,47,30,,1.0
17SH00354,H9486,4.4,44,47,30,,1.0
17SH00355,H9487,5.8,58,47,30,,1.0
17SH00356,H9488,7.4,74,47,30,,1.0
17SH00357,H9497,4.8,48,47,30,,1.0
17SH00358,H9498,4.8,48,47,30,,1.0
17SH00359,H9501,4.8,48,47,30,,1.0
17SH00360,H9504,5.4,54,47,30,,1.0
17SH00361,H9505,3.4,34,47,30,,1.0
17SH00362,H9508,6.8,68,47,30,,1.0
17SH00363,H9510,5.4,54,47,30,,1.0
17SH00364,H9512,6.2,62,47,30,,1.0
17SH00365,H9516,3.6,36,47,30,,1.0
17SH00366,H9519,7.8,78,47,30,,1.0
17SH00367,H9525,3.6,36,47,30,,1.0
17SH00368,H9527,6.8,68,47,30,,1.0
17SH00369,H9528,7.0,70,47,30,,1.0
17SH00370,H9535,5.8,58,47,30,,1.0
17SH00371,H9537,5.0,50,47,30,,1.0
17SH00372,H9544,3.4,34,47,30,,1.0
17SH00373,H9548,4.2,42,47,30,,1.0
17SH00374,H9549,6.6,66,47,30,,1.0
17SH00375,H9551,3.0,30,47,30,,1.0
17SH00376,H9553,4.8,48,47,30,,1.0
17SH00377,K5090,6.6,66,121,06,,6.0
17SH00378,K5091,7.8,78,46,06,,6.0
17SH00379,K5092,7.4,74,121,06,,6.0
17SH00380,K5093,8.6,86,46,06,,6.0
17SH00381,K5094,8.4,84,121,06,,6.0
17SH00382,K5095,8.2,82,46,06,,6.0
17SH00383,K5096,6.8,68,46,06,,6.0
17SH00384,K5097,6.6,66,46,06,,6.0
17SH00385,K5098,8.4,84,121,06,,6.0
17SH00386,K5099,9.2,92,121,06,,6.0
17SH00387,K5100,8.6,86,46,06,,6.0
17SH00388,K5101,8.4,84,46,06,,6.0
17SH00389,K5102,8.4,84,46,06,,6.0
17SH00390,K5103,6.2,62,46,06,,6.0
17SH00391,K5104,8.6,86,121,06,,6.0
17SH00392,K5105,7.6,76,121,06,,6.0
17SH00393,K5106,7.8,78,121,06,,6.0
17SH00394,K5107,7.6,76,46,06,,6.0
17SH00395,K5108,6.4,64,121,06,,6.0
17SH00396,K5109,6.4,64,46,06,,6.0
17SH00397,K5110,8.0,80,121,06,,6.0
17SH00398,K5111,8.8,88,121,06,,6.0
17SH00399,K5112,6.8,68,121,06,,6.0
17SH00400,K5113,7.8,78,121,06,,6.0
17SH00401,K5114,5.2,52,46,06,,6.0
17SH00402,K5115,7.4,74,121,06,,6.0
17SH00403,K5116,7.0,70,46,06,,6.0
17SH00404,K5118,7.0,70,121,06,,6.0
17SH00405,K5119,8.4,84,46,06,,6.0
17SH00406,K5120,7.6,76,46,06,,6.0
17SH00407,K5121,8.2,82,46,06,,6.0
17SH00408,K5122,6.2,62,46,06,,6.0
17SH00409,K5123,8.0,80,121,06,,6.0
17SH00410,K5124,9.0,90,121,06,,6.0
17SH00411,K5125,6.8,68,121,06,,6.0
17SH00412,K5126,8.0,80,46,06,,6.0
17SH00413,K5127,8.4,84,121,06,,6.0
17SH00414,L0044,4.4,44,47,PC,,7.0
17SH00415,L0228,5.2,52,47,PC,,7.0
17SH00416,L0380,6.6,66,47,PC,,6.0
17SH00417,L0399,8.8,88,47,PC,,6.0
17SH00418,L0461,8.0,80,47,PC,,6.0
17SH00419,L0558,8.6,86,47,PC,,5.0
17SH00420,L0602,8.6,86,47,PC,,5.0
17SH00421,L0630,7.2,72,47,PC,,5.0
17SH00422,L0700,9.2,92,47,PC,,5.0
17SH00423,L0715,6.0,60,47,PC,,5.0
17SH00424,L0719,9.8,98,47,PC,,5.0
17SH00425,L0735,7.4,74,47,PC,,5.0
17SH00426,L0762,8.4,84,47,PC,,5.0
17SH00427,L0838,8.0,80,47,PC,,5.0
17SH00428,L0920,8.8,88,47,PC,,5.0
17SH00429,L0937,7.8,78,47,PC,,5.0
17SH00430,L1001,7.0,70,47,PC,,4.0
17SH00431,L1006,7.8,78,47,PC,,4.0
17SH00432,L1080,7.8,78,47,PC,,4.0
17SH00433,L1136,11.0,110,47,PC,,4.0
17SH00434,L1151,8.6,86,47,PC,,4.0
17SH00435,L1191,8.6,86,47,PC,,4.0
17SH00436,L1225,8.8,88,47,PC,,4.0
17SH00437,L1309,6.0,60,47,PC,,4.0
17SH00438,L1339,10.0,100,47,PC,,4.0
17SH00439,L1397,6.0,60,47,PC,,4.0
17SH00440,L1418,7.2,72,47,PC,,4.0
17SH00441,L1441,9.8,98,47,PC,,4.0
17SH00442,L1464,6.6,66,47,PC,,4.0
17SH00443,L1514,7.6,76,47,PC,,4.0
17SH00444,L1517,7.6,76,47,PC,,3.0
17SH00445,L1519,7.0,70,47,PC,,3.0
17SH00446,L1520,7.8,78,47,PC,,3.0
17SH00447,L1521,5.6,56,47,PC,,3.0
17SH00448,L1524,6.2,62,47,PC,,3.0
17SH00449,L1528,8.2,82,47,PC,,3.0
17SH00450,L1532,9.6,96,47,PC,,3.0
17SH00451,L1542,7.0,70,47,PC,,3.0
17SH00452,L1544,7.2,72,47,PC,,3.0
17SH00453,L1546,8.6,86,47,PC,,3.0
17SH00454,L1549,8.4,84,47,PC,,3.0
17SH00455,L1552,9.6,96,47,PC,,3.0
17SH00456,L1553,8.8,88,47,PC,,3.0
17SH00457,L1562,4.6,46,47,PC,,3.0
