UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00141,2003114168,11,R4168,14.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00142,2003449451,44,T9451,13.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00143,2004051246,05,H1246,6.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00144,2004643073,64,K3073,11.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00145,2004114347,11,R4347,11.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00146,2004051166,05,H1166,7.0,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00147,2004050948,05,H0948,6.6,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00148,2004449908,44,T9908,8.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00149,2004450003,45,T0003,8.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00150,2004051254,05,H1254,7.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00151,2004114425,11,R4425,8.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00152,2004050920,05,H0920,5.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00153,2004449856,44,T9856,8.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00154,2004643015,64,K3015,8.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00155,2004643195,64,K3195,11.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00156,2004450198,45,T0198,7.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00157,2004051139,05,H1139,5.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00158,2004450105,45,T0105,7.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00159,2004643138,64,K3138,10.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00160,2004643045,64,K3045,8.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00161,2004050994,05,H0994,7.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00162,2004450121,45,T0121,7.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00163,2004450175,45,T0175,7.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00164,2004114344,11,R4344,9.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00165,2004051140,05,H1140,6.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00166,2004114348,11,R4348,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00167,2004114729,11,R4729,9.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00168,2004449944,44,T9944,7.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00169,2004643193,64,K3193,10.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00170,2004643071,64,K3071,12.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00171,2004114349,11,R4349,9.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00172,2004051082,05,H1082,6.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00173,2004051083,05,H1083,6.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00174,2004450111,45,T0111,8.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00175,2004114631,11,R4631,7.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00176,2004450192,45,T0192,11.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00177,2004643216,64,K3216,12.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00178,2004643005,64,K3005,10.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00179,2004114406,11,R4406,8.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00180,2004643105,64,K3105,7.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00181,2004643044,64,K3044,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00182,2004643108,64,K3108,8.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00183,2004051228,05,H1228,8.0,56,6,1,2005-03-15,74,YRLG RAM,Y,
05SH00184,2004643111,64,K3111,10.0,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00185,2004050792,05,H0792,5.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00186,2004051060,05,H1060,4.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00187,2004643025,64,K3025,7.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00188,2004449917,44,T9917,9.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00189,2004051026,05,H1026,5.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00190,2004114405,11,R4405,9.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00191,2004450093,45,T0093,7.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00192,2004115067,11,R5067,7.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00193,2004643017,64,K3017,9.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00194,2004051289,05,H1289,5.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00195,2004051182,05,H1182,5.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00196,2004449993,44,T9993,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00197,2004051112,05,H1112,6.2,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00198,2004114255,11,R4255,9.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00199,2004114357,11,R4357,8.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00200,2004114365,11,R4365,11.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00201,2004450055,45,T0055,9.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00202,2004643134,64,K3134,8.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00203,2004643050,64,K3050,12.4,56,6,1,2005-03-15,74,YRLG RAM,Y,
05SH00204,2004051244,05,H1244,6.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00205,2004051007,05,H1007,6.2,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00206,2004114375,11,R4375,9.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00207,2004450076,45,T0076,7.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00208,2004114795,11,R4795,7.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00209,2004050900,05,H0900,7.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00210,2004449788,44,T9788,6.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00211,2004450174,45,T0174,9.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00212,2004643168,64,K3168,9.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00213,2004051158,05,H1158,7.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00214,2004643049,64,K3049,10.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00215,2004450096,45,T0096,8.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00216,2004449967,44,T9967,7.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00217,2004114334,11,R4334,9.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00218,2004450151,45,T0151,6.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00219,2004114441,11,R4441,9.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00220,2004050773,05,H0773,7.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00221,2004450064,45,T0064,6.6,62,3,1,2005-03-15,74,YRLG RAM,Y,ORCHITIS
05SH00222,2004449897,44,T9897,9.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00223,2004114280,11,R4280,10.0,64,2,1,2005-03-15,74,YRLG RAM,Y,
05SH00224,2004050928,05,H0928,5.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00225,2004643012,64,K3012,11.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00226,2004450032,45,T0032,8.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00227,2004051243,05,H1243,7.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
