UID,ID9,YR,BRD,ETAG,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
94SH00166, 91635289,91,63,K5289,2,61,220,4.1,9.0,58,5,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00167, 88198743,88,19,S8743,2,11,227,5.5,12.1,56,6,,75,1994-03-16,1994-04-29,2,,94,07,6.0
94SH00168, 91635508,91,63,K5508,2,62,184,5.1,11.2,58,5,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00169, 90100640,90,10,S0640,2,13,186,4.1,9.0,60,4,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00170, 91101349,91,10,S1349,2,10,191,3.7,8.2,64,2,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00171, 91635180,91,63,K5180,2,62,199,4.7,10.4,54,7,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00172, 92636426,92,63,K6426,2,68,160,2.7,6.0,58,5,,75,1994-03-16,1994-05-24,5,,94,06,2.0
94SH00173, 91101521,91,10,S1521,2,10,168,4.1,9.0,62,3,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00174, 90100420,90,10,S0420,2,12,147,3.5,7.7,60,4,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00175, 92102828,92,10,S2828,2,10,143,3.3,7.3,60,4,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00176, 87633010,87,63,K3010,2,60,215,3.7,8.2,60,4,,75,1994-03-16,1994-04-25,1,,94,06,7.0
94SH00177, 90100828,90,10,S0828,2,10,171,3.7,8.2,62,3,,75,1994-03-16,1994-05-04,1,,94,07,4.0
94SH00178, 92102492,92,10,S2492,2,13,164,3.5,7.7,62,3,,75,1994-03-16,1994-04-25,1,,94,07,2.0
94SH00179, 92635853,92,63,K5853,2,61,171,3.5,7.7,60,4,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00180, 91102112,91,10,S2112,2,10,144,3.5,7.7,62,3,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00181, 92636396,92,63,K6396,2,61,178,4.1,9.0,60,4,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00182, 88199430,88,19,S9430,2,12,0,2.3,5.1,64,2,,75,1994-03-16,,,,94,07,6.0
94SH00183, 89199833,89,19,S9833,2,12,155,3.3,7.3,62,3,,75,1994-03-16,1994-05-04,1,,94,07,5.0
94SH00184, 92102499,92,10,S2499,2,13,159,3.1,6.8,64,2,,75,1994-03-16,1994-04-19,1,,94,07,2.0
94SH00185, 87198584,87,19,S8584,2,13,176,3.5,7.7,62,3,,75,1994-03-16,1994-04-19,2,,94,07,6.5
94SH00186, 92636148,92,63,K6148,2,68,191,3.5,7.7,56,6,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00187, 88198757,88,19,S8757,2,12,194,3.7,8.2,62,3,,75,1994-03-16,1994-04-19,1,,94,07,6.0
94SH00188, 92103094,92,10,S3094,2,10,125,3.0,6.6,60,4,,75,1994-03-16,1994-05-09,2,,94,07,2.0
94SH00189, 87198147,87,19,S8147,2,11,192,3.8,8.4,60,4,,75,1994-03-16,1994-04-19,2,,94,07,7.0
94SH00190, 92103149,92,10,S3149,2,10,139,3.5,7.7,62,3,,75,1994-03-16,1994-05-04,1,,94,42,2.0
94SH00191, 90100946,90,10,S0946,2,10,161,3.7,8.2,60,4,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00192, 91102032,91,10,S2032,2,10,202,3.3,7.3,64,2,,75,1994-03-16,1994-05-10,5,,94,07,3.0
94SH00193, 89199962,89,19,S9962,2,13,189,4.5,9.9,64,2,,75,1994-03-16,1994-04-19,2,,94,07,5.0
94SH00194, 90100357,90,10,S0357,2,11,183,4.3,9.5,62,3,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00195, 92102775,92,10,S2775,2,11,144,3.5,7.7,64,2,,75,1994-03-16,1994-05-16,1,,94,42,2.0
94SH00196, 92636192,92,63,K6192,2,61,161,3.6,7.9,56,6,MISSED or DUP,75,1994-03-16,1994-04-29,2,,94,06,2.0
94SH00197, 92636515,92,63,K6515,2,60,173,3.8,8.4,56,6,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00198, 88199237,88,19,S9237,2,13,176,3.9,8.6,58,5,,75,1994-03-16,1994-04-19,2,,94,07,6.0
94SH00199, 92102697,92,10,S2697,2,10,150,3.2,7.1,60,4,,75,1994-03-16,1994-05-09,2,,94,07,2.0
94SH00200, 91635591,91,63,K5591,2,62,231,4.4,9.7,58,5,,75,1994-03-16,1994-04-19,2,,94,06,3.0
94SH00201, 92103308,92,10,S3308,2,12,177,4.0,8.8,64,2,,75,1994-03-16,1994-04-19,2,,94,07,2.0
94SH00202, 91101659,91,10,S1659,2,12,140,4.1,9.0,60,4,,75,1994-03-16,1994-05-04,1,,94,42,3.0
94SH00203, 91102057,91,10,S2057,2,13,138,3.8,8.4,58,5,,75,1994-03-16,1994-04-25,1,,94,42,3.0
94SH00204, 92635952,92,63,K5952,2,68,163,3.9,8.6,56,6,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00205, 89199581,89,19,S9581,2,10,149,3.2,7.1,62,3,,75,1994-03-16,1994-04-25,1,,94,07,5.0
94SH00206, 92636190,92,63,K6190,2,68,176,3.3,7.3,62,3,,75,1994-03-16,1994-05-04,1,,94,06,2.0
94SH00207, 91101359,91,10,S1359,2,12,130,4.9,10.8,58,5,,75,1994-03-16,1994-05-25,1,,94,42,3.0
94SH00208, 90100427,90,10,S0427,2,13,170,3.7,8.2,62,3,,75,1994-03-16,1994-04-29,2,,94,07,4.0
