original_id10,hx_id10,birth_year,breed,etag
1947606594,HX00001654,1947,60,6594
1947661327,HX00001655,1947,66,1327
1947661328,HX00001656,1947,66,1328
1947661333,HX00001657,1947,66,1333
1947661336,HX00001658,1947,66,1336
1947671474,HX00001659,1947,67,1474
1947671475,HX00001660,1947,67,1475
1947671480,HX00001661,1947,67,1480
1947671491,HX00001662,1947,67,1491
1947671496,HX00001663,1947,67,1496
1947671497,HX00001664,1947,67,1497
1947671498,HX00001665,1947,67,1498
1947671509,HX00001666,1947,67,1509
1947671511,HX00001667,1947,67,1511
1947671514,HX00001668,1947,67,1514
1947680821,HX00001669,1947,68,0821
1947680831,HX00001670,1947,68,0831
1947680843,HX00001671,1947,68,0843
1947680854,HX00001672,1947,68,0854
1947680856,HX00001673,1947,68,0856
1947680863,HX00001674,1947,68,0863
1947680867,HX00001675,1947,68,0867
1947680869,HX00001676,1947,68,0869
1947680875,HX00001677,1947,68,0875
1947680885,HX00001678,1947,68,0885
1947680892,HX00001679,1947,68,0892
1947690403,HX00001680,1947,69,0403
1947910106,HX00001681,1947,91,0106
1947910107,HX00001682,1947,91,0107
1947910109,HX00001683,1947,91,0109
1948101428,HX00001684,1948,10,1428
1948101430,HX00001685,1948,10,1430
1948101434,HX00001686,1948,10,1434
1948101441,HX00001687,1948,10,1441
1948101633,HX00001688,1948,10,1633
1948101634,HX00001689,1948,10,1634
1948101635,HX00001690,1948,10,1635
1948101636,HX00001691,1948,10,1636
1948101637,HX00001692,1948,10,1637
1948101638,HX00001693,1948,10,1638
1948112494,HX00001694,1948,11,2494
1948112500,HX00001695,1948,11,2500
1948112510,HX00001696,1948,11,2510
1948112514,HX00001697,1948,11,2514
1948112516,HX00001698,1948,11,2516
1948112518,HX00001699,1948,11,2518
1948112520,HX00001700,1948,11,2520
1948112522,HX00001701,1948,11,2522
1948112523,HX00001702,1948,11,2523
1948112526,HX00001703,1948,11,2526
1948112527,HX00001704,1948,11,2527
1948112531,HX00001705,1948,11,2531
1948112532,HX00001706,1948,11,2532
1948112533,HX00001707,1948,11,2533
1948112538,HX00001708,1948,11,2538
1948112540,HX00001709,1948,11,2540
1948112543,HX00001710,1948,11,2543
1948112545,HX00001711,1948,11,2545
1948112546,HX00001712,1948,11,2546
1948112550,HX00001713,1948,11,2550
1948112551,HX00001714,1948,11,2551
1948112554,HX00001715,1948,11,2554
1948112555,HX00001716,1948,11,2555
1948112560,HX00001717,1948,11,2560
1948112561,HX00001718,1948,11,2561
1948112568,HX00001719,1948,11,2568
1948112571,HX00001720,1948,11,2571
1948112572,HX00001721,1948,11,2572
1948112573,HX00001722,1948,11,2573
1948112575,HX00001723,1948,11,2575
1948112577,HX00001724,1948,11,2577
1948112579,HX00001725,1948,11,2579
1948112580,HX00001726,1948,11,2580
1948112584,HX00001727,1948,11,2584
1948112585,HX00001728,1948,11,2585
1948112590,HX00001729,1948,11,2590
1948112594,HX00001730,1948,11,2594
1948112603,HX00001731,1948,11,2603
1948112607,HX00001732,1948,11,2607
1948112608,HX00001733,1948,11,2608
1948112612,HX00001734,1948,11,2612
1948112619,HX00001735,1948,11,2619
1948112620,HX00001736,1948,11,2620
1948112625,HX00001737,1948,11,2625
1948112626,HX00001738,1948,11,2626
1948112634,HX00001739,1948,11,2634
1948112635,HX00001740,1948,11,2635
1948112636,HX00001741,1948,11,2636
1948112638,HX00001742,1948,11,2638
1948112639,HX00001743,1948,11,2639
1948112640,HX00001744,1948,11,2640
1948112642,HX00001745,1948,11,2642
1948112643,HX00001746,1948,11,2643
1948112648,HX00001747,1948,11,2648
1948112649,HX00001748,1948,11,2649
1948112651,HX00001749,1948,11,2651
1948112655,HX00001750,1948,11,2655
1948112656,HX00001751,1948,11,2656
1948112676,HX00001752,1948,11,2676
1948112677,HX00001753,1948,11,2677
1948112678,HX00001754,1948,11,2678
1948112687,HX00001755,1948,11,2687
1948112703,HX00001756,1948,11,2703
1948112709,HX00001757,1948,11,2709
1948112711,HX00001758,1948,11,2711
