UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,ID10,SIREID10,DAMID10,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
02PE00182,102049075,100047302,100047214,02,04,A9075,04,A7302,04,A7214,30,2002049075,2000047302,2000047214,0,0
02PE00183,102049076, 99046934,100047371,02,04,A9076,04,A6934,04,A7371,30,2002049076,1999046934,2000047371,0,0
02PE00184,102049077, 99046934,100047371,02,04,A9077,04,A6934,04,A7371,30,2002049077,1999046934,2000047371,0,0
02PE00185,102049078,100047133, 99046212,02,04,A9078,04,A7133,04,A6212,30,2002049078,2000047133,1999046212,0,0
02PE00186,102049079,100047133, 99046212,02,04,A9079,04,A7133,04,A6212,30,2002049079,2000047133,1999046212,0,0
02PE00187,102049080, 99046501, 97814545,02,04,A9080,04,A6501,81,Z4545,80,2002049080,1999046501,1997814545,0,0
02PE00188,102049081, 99046501, 97814545,02,04,A9081,04,A6501,81,Z4545,80,2002049081,1999046501,1997814545,0,0
02PE00189,102049082, 99046501, 97814545,02,04,A9082,04,A6501,81,Z4545,80,2002049082,1999046501,1997814545,0,0
02PE00190,102049083,100047506,100047265,02,04,A9083,04,A7506,04,A7265,30,2002049083,2000047506,2000047265,0,0
02PE00191,102049084,100047506,100047265,02,04,A9084,04,A7506,04,A7265,30,2002049084,2000047506,2000047265,0,0
02PE00192,102049085, 99046642,101048277,02,04,A9085,04,A6642,04,A8277,30,2002049085,1999046642,2001048277,0,0
02PE00193,102049086, 99046641, 98008202,02,04,A9086,04,A6641,00, 8202,30,2002049086,1999046641,1998008202,0,0
02PE00194,102049087, 99046641, 98008202,02,04,A9087,04,A6641,00, 8202,30,2002049087,1999046641,1998008202,0,0
02PE00195,102049088, 99046641, 96043708,02,04,A9088,04,A6641,04,A3708,30,2002049088,1999046641,1996043708,0,0
02PE00196,102049089, 99046641, 96043708,02,04,A9089,04,A6641,04,A3708,30,2002049089,1999046641,1996043708,0,0
02PE00197,102049090, 99046761,101048812,02,04,A9090,04,A6761,04,A8812,30,2002049090,1999046761,2001048812,0,0
02PE00198,102049091, 99046761,101048812,02,04,A9091,04,A6761,04,A8812,30,2002049091,1999046761,2001048812,0,0
02PE00199,102049092,100047302, 97814396,02,04,A9092,04,A7302,81,Z4396,80,2002049092,2000047302,1997814396,0,0
02PE00200,102049093,100047302, 97814396,02,04,A9093,04,A7302,81,Z4396,80,2002049093,2000047302,1997814396,0,0
02PE00201,102049094, 99046761,101048692,02,04,A9094,04,A6761,04,A8692,30,2002049094,1999046761,2001048692,0,0
02PE00202,102049095, 99046761,101048692,02,04,A9095,04,A6761,04,A8692,30,2002049095,1999046761,2001048692,0,0
02PE00203,102049096,100047199, 98045529,02,04,A9096,04,A7199,04,A5529,30,2002049096,2000047199,1998045529,0,0
02PE00204,102049097,100047199, 98045529,02,04,A9097,04,A7199,04,A5529,30,2002049097,2000047199,1998045529,0,0
02PE00205,102049098, 99046925,101817229,02,04,A9098,04,A6925,81,Z7229,80,2002049098,1999046925,2001817229,0,0
02PE00206,102049099,100047355, 97814408,02,04,A9099,04,A7355,81,Z4408,80,2002049099,2000047355,1997814408,0,0
02PE00207,102049100,100047355, 97814408,02,04,A9100,04,A7355,81,Z4408,80,2002049100,2000047355,1997814408,0,0
02PE00208,102049101,100047355, 97814408,02,04,A9101,04,A7355,81,Z4408,80,2002049101,2000047355,1997814408,0,0
02PE00209,102049102,100047401,100047575,02,04,A9102,04,A7401,04,A7575,30,2002049102,2000047401,2000047575,0,0
02PE00210,102049103,100047328, 98045160,02,04,A9103,04,A7328,04,A5160,30,2002049103,2000047328,1998045160,0,0
02PE00211,102049104,100047328, 98045160,02,04,A9104,04,A7328,04,A5160,30,2002049104,2000047328,1998045160,0,0
02PE00212,102049105,100047328, 98045160,02,04,A9105,04,A7328,04,A5160,30,2002049105,2000047328,1998045160,0,0
02PE00213,102049106, 99046641, 97044368,02,04,A9106,04,A6641,04,A4368,30,2002049106,1999046641,1997044368,0,0
02PE00214,102049107, 99046641, 97044368,02,04,A9107,04,A6641,04,A4368,30,2002049107,1999046641,1997044368,0,0
02PE00215,102049108, 99046827,101048595,02,04,A9108,04,A6827,04,A8595,30,2002049108,1999046827,2001048595,0,0
02PE00216,102049109, 99046827,101048595,02,04,A9109,04,A6827,04,A8595,30,2002049109,1999046827,2001048595,0,0
02PE00217,102049110,100047302, 99046618,02,04,A9110,04,A7302,04,A6618,30,2002049110,2000047302,1999046618,0,0
02PE00218,102049111, 99046934, 98045128,02,04,A9111,04,A6934,04,A5128,30,2002049111,1999046934,1998045128,0,0
02PE00219,102049112, 99046911,100000102,02,04,A9112,04,A6911,00,00102,30,2002049112,1999046911,2000000102,0,0
02PE00220,102049113, 99046911,100000102,02,04,A9113,04,A6911,00,00102,30,2002049113,1999046911,2000000102,0,0
02PE00221,102049114, 99046925,101048870,02,04,A9114,04,A6925,04,A8870,30,2002049114,1999046925,2001048870,0,0
02PE00222,102049115, 99046925,101048870,02,04,A9115,04,A6925,04,A8870,30,2002049115,1999046925,2001048870,0,0
02PE00223,102049116,101048325,100047096,02,04,A9116,04,A8325,04,A7096,30,2002049116,2001048325,2000047096,0,0
02PE00224,102049117,101048325,100047096,02,04,A9117,04,A8325,04,A7096,30,2002049117,2001048325,2000047096,0,0
