UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00185,50113153,48910110,46111979,1950113153,1948910110,1946111979,50,11,3153,48,91,0110,46,11,1979
50PE00186,50113046,48910110,46111996,1950113046,1948910110,1946111996,50,11,3046,48,91,0110,46,11,1996
50PE00187,50113047,48910110,46111996,1950113047,1948910110,1946111996,50,11,3047,48,91,0110,46,11,1996
50PE00188,50113187,48910110,46112020,1950113187,1948910110,1946112020,50,11,3187,48,91,0110,46,11,2020
50PE00189,50113188,48910110,46112020,1950113188,1948910110,1946112020,50,11,3188,48,91,0110,46,11,2020
50PE00190,50113194,48910110,46112021,1950113194,1948910110,1946112021,50,11,3194,48,91,0110,46,11,2021
50PE00191,50113115,48910110,46112060,1950113115,1948910110,1946112060,50,11,3115,48,91,0110,46,11,2060
50PE00192,50113116,48910110,46112060,1950113116,1948910110,1946112060,50,11,3116,48,91,0110,46,11,2060
50PE00193,50113149,48910110,46112127,1950113149,1948910110,1946112127,50,11,3149,48,91,0110,46,11,2127
50PE00194,50113150,48910110,46112127,1950113150,1948910110,1946112127,50,11,3150,48,91,0110,46,11,2127
50PE00195,50113059,48910110,47112230,1950113059,1948910110,1947112230,50,11,3059,48,91,0110,47,11,2230
50PE00196,50113133,48910110,47112237,1950113133,1948910110,1947112237,50,11,3133,48,91,0110,47,11,2237
50PE00197,50113051,48910110,47112241,1950113051,1948910110,1947112241,50,11,3051,48,91,0110,47,11,2241
50PE00198,50113106,48910110,47112247,1950113106,1948910110,1947112247,50,11,3106,48,91,0110,47,11,2247
50PE00199,50113107,48910110,47112247,1950113107,1948910110,1947112247,50,11,3107,48,91,0110,47,11,2247
50PE00200,50113043,48910110,47112332,1950113043,1948910110,1947112332,50,11,3043,48,91,0110,47,11,2332
50PE00201,50113044,48910110,47112332,1950113044,1948910110,1947112332,50,11,3044,48,91,0110,47,11,2332
50PE00202,50113165,48910110,47112365,1950113165,1948910110,1947112365,50,11,3165,48,91,0110,47,11,2365
50PE00203,50113207,48910110,47112386,1950113207,1948910110,1947112386,50,11,3207,48,91,0110,47,11,2386
50PE00204,50113065,48910110,47112433,1950113065,1948910110,1947112433,50,11,3065,48,91,0110,47,11,2433
50PE00205,50113048,48910110,48112518,1950113048,1948910110,1948112518,50,11,3048,48,91,0110,48,11,2518
50PE00206,50113042,48910110,48112571,1950113042,1948910110,1948112571,50,11,3042,48,91,0110,48,11,2571
50PE00207,50113114,48910110,48112572,1950113114,1948910110,1948112572,50,11,3114,48,91,0110,48,11,2572
50PE00208,50113251,48910110,48112687,1950113251,1948910110,1948112687,50,11,3251,48,91,0110,48,11,2687
50PE00209,50113142,48910110,48112709,1950113142,1948910110,1948112709,50,11,3142,48,91,0110,48,11,2709
50PE00210,50113135,48910110,48112721,1950113135,1948910110,1948112721,50,11,3135,48,91,0110,48,11,2721
50PE00211,50176489,48910110,45174865,1950176489,1948910110,1945174865,50,17,6489,48,91,0110,45,17,4865
50PE00212,50176490,48910110,45174865,1950176490,1948910110,1945174865,50,17,6490,48,91,0110,45,17,4865
50PE00213,50176432,48910110,45174981,1950176432,1948910110,1945174981,50,17,6432,48,91,0110,45,17,4981
50PE00214,50176434,48910110,47175423,1950176434,1948910110,1947175423,50,17,6434,48,91,0110,47,17,5423
50PE00215,50176421,48910110,47175500,1950176421,1948910110,1947175500,50,17,6421,48,91,0110,47,17,5500
50PE00216,50113225,47112232,43111173,1950113225,1947112232,1943111173,50,11,3225,47,11,2232,43,11,1173
50PE00217,50113226,47112232,43111173,1950113226,1947112232,1943111173,50,11,3226,47,11,2232,43,11,1173
