UID,LAMB,SIRE,DAM
55PE00742,55142658,51131604,48139405
55PE00743,55142659,52140781,53141234
55PE00744,55142660,53141348,47139169
55PE00745,55142661,52140549,53141059
55PE00746,55142662,53140935,49130135
55PE00747,55142663,53141209,52140605
55PE00748,55142664,53141008,51140318
55PE00749,55142665,53141008,51140318
55PE00750,55142666,53140939,49130128
55PE00751,55142667,53140939,49130128
55PE00752,55142668,52140528,53141403
55PE00753,55142669,51131604,53141487
55PE00754,55142670,53177166,49130612
55PE00755,55142671,52140412,51140099
55PE00756,55142672,52140511,51140056
55PE00757,55142673,52140511,51140056
55PE00758,55142674,52140549,49130150
55PE00759,55142675,52140549,49130150
55PE00760,55142676,53141505,51131814
55PE00761,55142677,53141505,51131814
55PE00762,55142678,52140412,51131915
55PE00763,55142679,52140412,51131915
55PE00764,55142680,51140069,51140138
55PE00765,55142681,51140069,51140138
55PE00766,55142682,52140396,48139217
55PE00767,55142683,52140396,48139217
55PE00768,55142684,53140939,52140481
55PE00769,55142685,51910116,49130658
55PE00770,55142686,52140781,52140496
55PE00771,55142687,52140511,53140928
55PE00772,55142688,52140511,52140630
55PE00773,55142689,53141209,51131586
