UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00386,1950130868,1947138959,1948139639,1950130868,07,8959,9639
EEPE00387,1950130869,1948139913,1943135887,1950130869,07,9913,5887
EEPE00388,1950130870,1948139263,1947138613,1950130870,07,9263,8613
EEPE00389,1950130871,1949130561,1946138236,1950130871,07,0561,8236
EEPE00390,1950130872,1948139539,1948139401,1950130872,07,9539,9401
EEPE00391,1950130873,1948139819,1947139125,1950130873,07,9819,9125
EEPE00392,1950130874,1948139360,1946138211,1950130874,07,9360,8211
EEPE00393,1950130875,1948139757,1946137815,1950130875,07,9757,7815
EEPE00394,1950130876,1948139757,1946137815,1950130876,07,9757,7815
EEPE00395,1950130877,1948112740,1945137226,1950130877,07,2740,7226
