UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00221,07,05,H3145,05,H1159,05,H2093,30,2007053145,2004051159,2005052093
07PE00222,07,05,H3146,05,H1159,05,H2093,30,2007053146,2004051159,2005052093
07PE00223,07,05,H3147,05,H1159,05,H2093,30,2007053147,2004051159,2005052093
07PE00224,07,05,H3148,05,H1063,05,H2462,30,2007053148,2004051063,2006052462
07PE00225,07,05,H3149,05,H1063,05,H2462,30,2007053149,2004051063,2006052462
07PE00226,07,05,H3150,05,H1823,05,H1855,30,2007053150,2005051823,2005051855
07PE00227,07,05,H3151,64,K3500,04,A9641,33,2007053151,2005643500,2002049641
07PE00228,07,05,H3152,05,H1797,05,H1160,30,2007053152,2005051797,2004051160
07PE00229,07,05,H3153,05,H1797,05,H1160,30,2007053153,2005051797,2004051160
07PE00230,07,05,H3154,05,H1063,05,H2258,30,2007053154,2004051063,2006052258
07PE00231,07,05,H3155,05,H1063,05,H2258,30,2007053155,2004051063,2006052258
07PE00232,07,05,H3156,05,H1823,05,H1957,30,2007053156,2005051823,2005051957
07PE00233,07,05,H3157,05,H1823,05,H1957,30,2007053157,2005051823,2005051957
07PE00234,07,05,H3158,05,H1914,05,H1808,30,2007053158,2005051914,2005051808
07PE00235,07,05,H3159,05,H1852,05,H1764,30,2007053159,2005051852,2005051764
07PE00236,07,05,H3160,05,H1852,05,H1764,30,2007053160,2005051852,2005051764
07PE00237,07,05,H3161,05,H1823,05,H1547,30,2007053161,2005051823,2005051547
07PE00238,07,05,H3162,05,H0596,05,H2276,30,2007053162,2003050596,2006052276
07PE00239,07,05,H3163,05,H1063,05,H2687,30,2007053163,2004051063,2006052687
07PE00240,07,05,H3164,05,H1063,05,H2687,30,2007053164,2004051063,2006052687
07PE00241,07,05,H3165,05,H0471,05,H1123,30,2007053165,2003050471,2004051123
07PE00242,07,05,H3166,05,H0471,05,H1123,30,2007053166,2003050471,2004051123
07PE00243,07,05,H3167,05,H1611,05,H2454,30,2007053167,2005051611,2006052454
07PE00244,07,05,H3168,05,H1611,05,H2454,30,2007053168,2005051611,2006052454
07PE00245,07,05,H3169,05,H1311,04,A8770,30,2007053169,2004051311,2001048770
07PE00246,07,05,H3170,05,H1311,04,A8770,30,2007053170,2004051311,2001048770
07PE00247,07,05,H3171,05,H1311,04,A8770,30,2007053171,2004051311,2001048770
07PE00248,07,05,H3172,05,H1063,05,H2334,30,2007053172,2004051063,2006052334
07PE00249,07,05,H3173,05,H1063,05,H2334,30,2007053173,2004051063,2006052334
07PE00250,07,05,H3174,05,H1311,05,H0987,30,2007053174,2004051311,2004050987
07PE00251,07,05,H3175,05,H1311,05,H0987,30,2007053175,2004051311,2004050987
07PE00252,07,05,H3176,05,H1311,05,H1830,30,2007053176,2004051311,2005051830
07PE00253,07,05,H3177,05,H1311,05,H1830,30,2007053177,2004051311,2005051830
07PE00254,07,05,H3178,05,H1311,05,H1830,30,2007053178,2004051311,2005051830
07PE00255,07,05,H3179,05,H1852,05,H0877,30,2007053179,2005051852,2004050877
07PE00256,07,05,H3180,05,H1852,05,H0877,30,2007053180,2005051852,2004050877
07PE00257,07,05,H3181,05,H0471,05,H1579,30,2007053181,2003050471,2005051579
07PE00258,07,05,H3182,05,H0471,05,H1579,30,2007053182,2003050471,2005051579
07PE00259,07,05,H3183,05,H1823,05,H1342,30,2007053183,2005051823,2004051342
07PE00260,07,05,H3184,05,H1823,05,H1342,30,2007053184,2005051823,2004051342
07PE00261,07,05,H3185,05,H1823,05,H1342,30,2007053185,2005051823,2004051342
07PE00262,07,05,H3186,64,K3071,04,A6723,33,2007053186,2004643071,1999046723
07PE00263,07,05,H3187,64,K3071,04,A6723,33,2007053187,2004643071,1999046723
07PE00264,07,05,H3188,05,H0471,05,H1684,30,2007053188,2003050471,2005051684
07PE00265,07,05,H3189,05,H0471,05,H1684,30,2007053189,2003050471,2005051684
07PE00266,07,05,H3190,05,H1852,05,H2063,30,2007053190,2005051852,2005052063
07PE00267,07,05,H3191,05,H1852,05,H2063,30,2007053191,2005051852,2005052063
07PE00268,07,05,H3192,05,H1914,05,H1546,30,2007053192,2005051914,2005051546
07PE00269,07,05,H3193,05,H1914,05,H1546,30,2007053193,2005051914,2005051546
07PE00270,07,05,H3194,05,H0471,05,H0891,30,2007053194,2003050471,2004050891
07PE00271,07,05,H3195,05,H1159,04,A8916,30,2007053195,2004051159,2002048916
07PE00272,07,05,H3196,05,H1159,04,A8916,30,2007053196,2004051159,2002048916
07PE00273,07,05,H3197,05,H1159,05,H1431,30,2007053197,2004051159,2005051431
07PE00274,07,05,H3198,05,H1159,05,H1431,30,2007053198,2004051159,2005051431
07PE00275,07,05,H3199,05,H0773,05,H1421,30,2007053199,2004050773,2005051421
07PE00276,07,05,H3200,05,H0773,05,H1421,30,2007053200,2004050773,2005051421
07PE00277,07,05,H3201,05,H1159,04,A8226,30,2007053201,2004051159,2001048226
07PE00278,07,05,H3202,05,H0596,05,H2824,30,2007053202,2003050596,2006052824
07PE00279,07,05,H3203,05,H0596,05,H2824,30,2007053203,2003050596,2006052824
07PE00280,07,05,H3204,05,H1823,05,H1474,30,2007053204,2005051823,2005051474
07PE00281,07,05,H3205,05,H2022,05,H2245,30,2007053205,2005052022,2006052245
07PE00282,07,05,H3206,05,H2022,05,H2245,30,2007053206,2005052022,2006052245
