UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
03IN00258,1996043270,A3270,04,A3270,96,2,73,1,30,742,157204,153104,.,,,,6,.,*,,0,0,0,,71,0328,.,,.,7.0,VOLVULUS,,,,0,0,0,2003
03IN00259,1996043275,A3275,04,A3275,96,2,81,1,30,01,073304,974303,.,,,,6,.,3,,146,0,0,,76,0909,M,,.,7.0,"X, LUNGER",,,,0,0,0,2003
03IN00260,1996043293,A3293,04,A3293,96,2,82,1,30,29,069704,401803,.,,,,3,.,3,,154,162,2,,93,1022,C,,.,7.0,THIN,,,4370,0,0,0,2003
03IN00261,1996043297,A3297,04,A3297,96,2,81,1,30,01,073304,108904,.,,,,3,F-1,5,,137,0,0,,93,0602,M,,.,7.0,"X, LAME, THIN",,,984,0,0,0,2003
03IN00262,1996043337,A3337,04,A3337,96,2,81,1,30,04,094204,372203,.,,,,2, 35,3,,150,157,4,,92,0918,M,,.,7.0,,,,4540,0,0,0,2003
03IN00263,1996043357,A3357,04,A3357,96,2,73,1,30,741,164504,154404,.,,,,3,.,3,,128,128,2,,93,1022,.,,.,7.0,"LUNGER,X",,,4384,0,0,0,2003
03IN00264,1996043388,A3388,04,A3388,96,2,81,1,30,02,142304,968503,.,,,,3,.,3,,170,173,4,,93,1022,M,,.,7.0,"X, BAG, AGE",,,4373,0,0,0,2003
03IN00265,1996043432,A3432,04,A3432,96,2,81,1,30,01,073304,526303,.,,,,3,.,5,,184,0,0,,93,0602,M,,.,7.0,"X, THIN, CLA",,,1000,0,0,0,2003
03IN00266,1996043464,A3464,04,A3464,96,2,81,1,30,03,104004,071104,.,,,,3,.,3,,201,170,7,,93,1022,M,,.,7.0,ABS.R.NECK,,,4379,0,0,0,2003
03IN00267,1996043481,A3481,04,A3481,96,2,81,1,30,02,142304,851603,.,,,,3,F-2,4,,163,152,2,,93,1022,M,,.,7.0,,,,4934,0,0,0,2003
03IN00268,1996043546,A3546,04,A3546,96,2,82,1,30,27,139904,872503,.,,,,3,F-1,4,,153,155,2,,93,1022,C,,.,7.0,LTS,,,4947,0,0,0,2003
03IN00269,1996043551,A3551,04,A3551,96,2,81,1,30,01,073304,910203,.,,,,2, 34,1,,151,176,2,,92,0918,M,,.,7.0,OK,,,4534,0,0,0,2003
03IN00270,1996043553,A3553,04,A3553,96,2,82,1,30,30,076004,079904,.,,,,2, 34,1,,180,174,3,,92,0918,C,,.,7.0,PROLIFIC,,,4536,0,0,0,2003
03IN00271,1996043587,A3587,04,A3587,96,2,82,1,30,23,101504,782103,.,,,,3,F-2,4,,164,147,3,,93,1022,C,,.,7.0,L.EYE 9/02,,,4938,0,0,0,2003
03IN00272,1996043604,A3604,04,A3604,96,2,82,1,30,23,101504,485103,.,,,,3,.,1,,151,160,2,,93,1022,C,,.,7.0,TEETH,,,4334,0,0,0,2003
03IN00273,1996043637,A3637,04,A3637,96,2,82,1,30,21,081104,567503,.,,,,3,.,3,,151,163,2,,93,1022,C,,.,7.0,NICE,,,4388,0,0,0,2003
03IN00274,1996043675,A3675,04,A3675,96,2,73,2,30,9,169304,628403,.,,,,2, 35,3,,163,156,2,,92,0918,.,,.,6.5,,,,4541,0,0,0,2003
03IN00275,1996043679,A3679,04,A3679,96,2,73,2,30,1,152804,819803,.,,,,3,F-1,4,,170,171,2,,93,1022,.,,.,6.5,HAIRY,,,4935,0,0,0,2003
03IN00276,1996043703,A3703,04,A3703,96,2,73,2,30,1,152804,794203,.,,,,3,.,2,,191,173,2,,93,1022,.,,.,6.5,TEETH,,,4267,0,0,0,2003
03IN00277,1996043729,A3729,04,A3729,96,2,73,2,30,7,167804,817203,.,,,,7,.,3,,0,0,0,,97,0602,.,,.,6.5,"FLT,MSG 6/2",,,,0,0,0,2003
03IN00278,1996043734,A3734,04,A3734,96,2,73,2,30,1,152804,135104,.,,,,2, 34,3,,168,167,2,,92,0918,.,,.,6.5,,,,4532,0,0,0,2003
03IN00279,1996043762,A3762,04,A3762,96,2,73,2,30,8,171904,956503,.,,,,3,F-2,4,,132,130,3,,93,1022,.,,.,6.5,OK,,,4941,0,0,0,2003
03IN00280,1996043789,A3789,04,A3789,96,2,73,2,30,3,159504,465903,.,,,,3,F-1,4,,143,150,3,,93,1022,.,,.,6.5,,,,4931,0,0,0,2003
03IN00281,1996043836,A3836,04,A3836,96,2,73,2,30,9,169304,446303,.,,,,6,F-2,*,,0,0,0,,50,0430,.,,.,6.5,"X,THIN,CL",,,,0,0,0,2003
03IN00282,1996043854,A3854,04,A3854,96,2,73,2,30,1,152804,461703,.,,,,2, 35,1,,178,147,4,,92,0918,.,,.,6.5,,,,4537,0,0,0,2003
03IN00283,1996043867,A3867,04,A3867,96,2,73,2,30,8,171904,936703,.,,,,3,.,1,,173,173,11,,93,1022,.,,.,6.5,"R.SPOILED,X",,,4301,0,0,0,2003
03IN00284,1996043881,A3881,04,A3881,96,2,73,2,30,6,163804,025804,.,,,,3,.,3,,149,146,4,,93,1022,.,,.,6.5,GAUNT,,,4395,0,0,0,2003
03IN00285,1996043932,A3932,04,A3932,96,2,73,2,30,10,159404,518503,.,,,,3,.,3,,164,172,4,,93,1022,.,,.,6.5,"THIN, GRAY",,,4380,0,0,0,2003
03IN00286,1996043952,A3952,04,A3952,96,2,73,2,30,9,169304,594103,.,,,,3,F-1,4,,141,144,2,,93,1022,.,,.,6.5,,,,4943,0,0,0,2003
03IN00287,1996043953,A3953,04,A3953,96,2,73,2,30,9,169304,594103,.,,,,2, 35,1,,155,155,2,,92,0918,.,,.,6.5,WILD OLD,,,4538,0,0,0,2003
03IN00288,1996043969,A3969,04,A3969,96,2,73,2,30,6,163804,940003,.,,,,6,.,*,,0,0,0,,50,0512,.,,.,6.5,"C-SEC,CLA,X",,,,0,0,0,2003
03IN00289,1997044081,A4081,04,A4081,97,2,81,1,30,02,209604,185504,.,,,,3,.,1,,168,146,2,,76,1022,M,,.,6.0,"X, SICK",,,4253,0,0,0,2003
03IN00290,1997044096,A4096,04,A4096,97,2,82,1,30,28,199904,192004,.,,,,1,.,2,,169,158,4,C,,,C,15P,1,6.0,NICE TEATS,,,,0,0,0,2003
03IN00291,1997044111,A4111,04,A4111,97,2,81,1,30,03,214604,231304,.,,,,1,.,1,,136,153,3,C,,,M,21P,1,6.0,,,,,0,0,0,2003
03IN00292,1997044128,A4128,04,A4128,97,2,81,1,30,03,214604,225204,.,,,,6,.,*,,0,0,0,,04,0115,M,,.,6.0,,,,,0,0,0,2003
03IN00293,1997044129,A4129,04,A4129,97,2,73,1,30,743,258104,273904,.,,,,3,.,*,,0,0,0,,93,0407,.,,.,6.0,"MLTS,SW.BAG",,,931,0,0,0,2003
03IN00294,1997044133,A4133,04,A4133,97,2,81,1,30,02,209604,097504,.,,,,1,.,2,,135,136,2,,,,M,22,3,6.0,,,,,0,0,0,2003
03IN00295,1997044134,A4134,04,A4134,97,2,81,1,30,02,209604,097504,.,,,,1,.,2,,145,151,2,,,,M,23,3,6.0,,,,,0,0,0,2003
03IN00296,1997044241,A4241,04,A4241,97,2,73,1,30,744,266204,263804,.,,,,3,.,H,,176,180,2,,93,1022,.,,.,6.0,"RUPTURE, X",,,4387,0,0,0,2003
03IN00297,1997044261,A4261,04,A4261,97,2,81,1,30,03,214604,986303,.,,,,3,.,1,,136,157,11,,93,1022,M,,.,6.0,DYSTOCIA,,,4275,0,0,0,2003
03IN00298,1997044263,A4263,04,A4263,97,2,81,1,30,01,199404,229204,.,,,,1,.,1,,168,158,2,C,,,M,16P,1,6.0,DIARRHEA,,,,0,0,0,2003
03IN00299,1997044267,A4267,04,A4267,97,2,82,1,30,25,207404,202104,.,,,,1,.,2,,156,157,2,W,,,C,04P,1,6.0,PNEU.,,,,0,0,0,2003
03IN00300,1997044282,A4282,04,A4282,97,2,82,1,30,23,211704,006804,.,,,,1,.,1,,186,171,2,W,,,.,02P,1,6.0,OK PINK,U,,,0,0,0,2003
03IN00301,1997044343,A4343,04,A4343,97,2,81,1,30,03,214604,254604,.,,,,1,.,3,,178,176,2,,,,M,24,3,6.0,NICE,,,,0,0,0,2003
03IN00302,1997044345,A4345,04,A4345,97,2,73,1,30,741,269804,278104,.,,,,1,.,1,,148,158,2,,,,.,25,3,6.0,,,,,0,0,0,2003
03IN00303,1997044368,A4368,04,A4368,97,2,73,1,30,742,274604,266604,.,,,,1,F-2,4,,134,127,2,X,,,.,UTE,U,6.0,,U,,,0,0,0,2003
03IN00304,1997044378,A4378,04,A4378,97,2,81,1,30,03,214604,520203,.,,,,6,.,*,,0,0,0,,76,0125,M,,.,6.0,DYSTOCIA,,,,0,0,0,2003
03IN00305,1997044399,A4399,04,A4399,97,2,73,1,30,744,266204,269604,.,,,,6,F-1,*,,0,0,0,,50,0316,.,,.,6.0,"4""ABS.BRISKET",,,,0,0,0,2003
03IN00306,1997044427,A4427,04,A4427,97,2,81,1,30,01,199404,687303,.,,,,7,.,1,,176,0,0,,97,0909,M,,.,6.0,,,,,0,0,0,2003
03IN00307,1997044453,A4453,04,A4453,97,2,81,1,30,03,214604,012904,.,,,,3,.,5,,190,0,0,,93,0602,M,,.,6.0,"X, THIN, CLA",,,988,0,0,0,2003
03IN00308,1997044457,A4457,04,A4457,97,2,73,1,30,744,266204,258004,.,,,,O,OVX,5,,233,0,0,X,,,.,O,O,6.0,LOW PROD.,,,,0,0,0,2003
03IN00309,1997044462,A4462,04,A4462,97,2,73,1,30,742,274604,274704,.,,,,6,.,1,,157,0,0,,76,0623,.,,.,6.0,"THIN,OPP,CL",,,,0,0,0,2003
03IN00310,1997044476,A4476,04,A4476,97,2,81,1,30,01,199404,996603,.,,,,1,.,1,,181,195,2,W,,,M,01P,1,6.0,SUCK1SIDE,,,,0,0,0,2003
03IN00311,1997044477,A4477,04,A4477,97,2,73,1,30,742,274604,270104,.,,,,1,.,2,,155,158,4,W,,,.,03P,1,6.0,THIN,,,,0,0,0,2003
03IN00312,1997044481,A4481,04,A4481,97,2,82,1,30,24,219104,133104,.,,,,1,.,2,,153,157,5,C,,,C,22P,1,6.0,DYSTOCIA,,,,0,0,0,2003
03IN00313,1997044491,A4491,04,A4491,97,2,81,1,30,01,199404,015204,.,,,,1,.,3,,210,202,2,C,,,M,23P,1,6.0,"FAT,LTS",,,,0,0,0,2003
