UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03045,2009055440,H5440,05,H5440,09,2,,1,30,49,H2171,05,H2401,05,,,,1,,D,,96,154,1,,,,,65,2,1.0,,,,0,1,,0.061,,2010
10IN03046,2009055456,H5456,05,H5456,09,2,,1,30,49,H2171,05,H1572,05,,,,1,,1,,108,141,2,,,,,73,2,1.0,,,,0,1,,0.05,,2010
10IN03047,2009055074,H5074,05,H5074,09,2,,1,30,e24,H2304,05,H3772,05,,,,1,,1,,76,100,2,,97,1121,,67,2,1.0,,,,0,1,,0.033,,2010
10IN03048,2009054676,H4676,05,H4676,09,2,,1,30,52,H3271,05,H3395,05,,,,1,,2,,93,136,9,,93,1019,,,,1.0,,,,9943,1,,0.057,,2010
10IN03049,2009055004,H5004,05,H5004,09,2,,1,30,52,H3271,05,H0896,05,,,,1,,2,,83,113,2,,,,,68,2,1.0,,,,0,1,,0.053,,2010
10IN03050,2009055465,H5465,05,H5465,09,2,,1,30,54,H3693,05,H1241,05,,,,1,,D,,114,143,1,,,,,73,2,1.0,,,,0,1,,0.05,,2010
10IN03051,2009054769,H4769,05,H4769,09,2,,1,30,50,H2789,05,H1619,05,,,,1,,D,,120,158,1,,,,,57,2,1.0,,,,0,1,,0.04,,2010
10IN03052,2009055140,H5140,05,H5140,09,2,,1,30,e23,H2490,05,H3805,05,,,,1,,D,,102,145,1,,,,,68,2,1.0,,,,0,1,,0.051,,2010
10IN03053,2009055050,H5050,05,H5050,09,2,,1,30,52,H3271,05,H3649,05,,,,1,,D,,100,147,1,,,,,58,2,1.0,,,,0,1,,0.062,,2010
10IN03054,2009055038,H5038,05,H5038,09,2,,1,30,62,H3669,05,H3658,05,,,,1,,2,,97,133,2,,,,,65,2,1.0,,,,0,1,,0.046,,2010
