UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
12IN00077,2007052952,H2952,05,H2952,07,2,00,1,33,43,K3132,64,A8404,04,7,,,6,RN,H,Y,187,0,0,,13,0728,X,,,5.0,Wolf kill,CxP,Albmn,0,1,,0.0,,2012
12IN00078,2007052985,H2985,05,H2985,07,2,00,1,33,44,K3346,64,A9599,04,7,,,1,RN,H,Y,156,198,2,,,,X,BRT,5,5.0,.,CxP,,0,1,,0.0,,2012
12IN00079,2007052987,H2987,05,H2987,07,2,00,1,33,42,K3073,64,A8380,04,7,,,1,RN,D,Y,200,221,1,,,,X,BRT,5,5.0,.,CxP,,0,1,,0.0,,2012
12IN00080,2007052998,H2998,05,H2998,07,2,00,1,33,42,K3073,64,H0912,05,7,,,1,RN,H,Y,161,180,2,,,,X,BRT,5,5.0,.,CxP,Albmn,0,1,,0.0,,2012
12IN00081,2007053002,H3002,05,H3002,07,2,88,1,30,09,H1914,05,H1787,05,7,,,1,.,1,.,171,180,2,,,,L,54,2,5.0,.,Life,,0,1,,0.05,,2012
12IN00082,2007053022,H3022,05,H3022,07,2,88,1,30,01,H0471,05,H1178,05,7,,,1,.,1,.,132,147,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.038,,2012
12IN00083,2007053026,H3026,05,H3026,07,2,88,1,30,06,H1797,05,H1134,05,7,,,1,.,2,Y,195,195,2,,16,1029,L,53,2,5.0,.,Life,,0,1,,0.033,,2012
12IN00084,2007053038,H3038,05,H3038,07,2,88,1,30,02,H0773,05,H1006,05,7,,,1,PTH,1,.,167,167,2,,,,L,54,2,5.0,.,Life,,0,1,,0.048,,2012
12IN00085,2007053044,H3044,05,H3044,07,2,00,1,33,45,K3500,64,P0336,05,7,,,1,RN,H,Y,173,221,2,,,,X,BRT,5,5.0,.,CxP,Albmn,0,1,,0.0,,2012
12IN00086,2007053056,H3056,05,H3056,07,2,88,1,30,08,H1311,05,H2189,05,7,,,1,.,2,.,175,0,0,,01,0904,L,,,5.0,.,Life,,0,1,,0.044,,2012
12IN00087,2007053070,H3070,05,H3070,07,2,88,1,30,02,H0773,05,P0076,05,7,,,1,.,1,N,138,0,0,,97,0909,L,,,5.0,.,Life,,0,1,,0.044,,2012
12IN00088,2007053104,H3104,05,H3104,07,2,88,1,30,03,H1159,05,H2163,05,7,,,1,.,2,.,139,173,2,,,,L,53,2,5.0,.,Life,,0,1,,0.053,,2012
12IN00089,2007053133,H3133,05,H3133,07,2,88,1,30,09,H1914,05,H0990,05,7,,,1,.,1,.,119,144,2,,,,L,BRT,5,5.0,Britchy,Life,,0,1,,0.049,,2012
12IN00090,2007053137,H3137,05,H3137,07,2,88,1,30,03,H1159,05,H1180,05,7,,,6,PTH,2,.,0,0,0,,05,0426,L,,,5.0,Pneumonia Too,Life,,0,1,,0.045,,2012
12IN00091,2007053146,H3146,05,H3146,07,2,88,1,30,03,H1159,05,H2093,05,7,,,1,.,2,N,151,166,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.053,,2012
12IN00092,2007053160,H3160,05,H3160,07,2,88,1,30,05,H1852,05,H1764,05,7,,,1,.,1,.,126,154,2,,,,L,59,2,5.0,.,Life,,0,1,,0.054,,2012
12IN00093,2007053194,H3194,05,H3194,07,2,88,1,30,01,H0471,05,H0891,05,7,,,1,.,2,.,194,202,3,,,,L,57,2,5.0,BIG LAMB,Life,,0,1,,0.042,,2012
12IN00094,2007053225,H3225,05,H3225,07,2,88,1,30,08,H1311,05,H1240,05,7,,,1,.,H,.,218,211,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.075,,2012
12IN00095,2007053266,H3266,05,H3266,07,2,88,1,30,03,H1159,05,H0873,05,7,,,1,.,1,.,144,170,2,,,,L,53,2,5.0,.,Life,,0,1,,0.044,,2012
12IN00096,2007053340,H3340,05,H3340,07,2,88,1,30,06,H1797,05,P0317,05,7,,,6,.,,.,0,0,0,,13,0307,L,,,5.0,Unspecified,Life,,0,1,,0.037,,2012
12IN00097,2007053345,H3345,05,H3345,07,2,88,1,30,03,H1159,05,A9359,04,7,,,1,.,2,.,137,165,2,,,,L,53,2,5.0,4TEATS,Life,,0,1,,0.059,,2012
12IN00098,2007053348,H3348,05,H3348,07,2,88,1,30,09,H1914,05,A8310,04,7,,,3,PTH,2,.,161,192,2,,93,1024,L,,,5.0,JAW5,Life,,11324,1,,0.051,,2012
12IN00099,2007053359,H3359,05,H3359,07,2,88,1,30,06,H1797,05,H1518,05,7,,,6,PTH,,.,0,0,0,,67,0229,L,,,5.0,Thin,Life,,0,1,,0.067,,2012
12IN00100,2007053387,H3387,05,H3387,07,2,88,1,30,09,H1914,05,H1730,05,7,,,1,.,2,.,123,0,0,,01,0904,L,,,5.0,.,Life,,0,1,,0.043,,2012
12IN00101,2007053389,H3389,05,H3389,07,2,88,1,30,09,H1914,05,H1869,05,7,,,1,.,D,.,156,176,1,,,,L,BRT,5,5.0,.,Life,,0,1,,0.05,,2012
12IN00102,2007053425,H3425,05,H3425,07,2,88,1,30,01,H0471,05,H1261,05,7,,,1,.,2,.,151,177,1,,,,L,BRT,5,5.0,HAIRY,Life,Albmn,0,1,,0.058,,2012
12IN00103,2007053437,H3437,05,H3437,07,2,88,1,30,05,H1852,05,H1393,05,7,,,1,.,2,N,136,132,5,,,,L,BRT,5,5.0,.,Life,,0,1,,0.051,,2012
12IN00104,2007053440,H3440,05,H3440,07,2,88,1,30,04,H1823,05,H1544,05,7,,,1,.,1,N,152,161,2,,93,1024,L,,,5.0,.,Life,,11440,1,,0.048,,2012
12IN00105,2007053454,H3454,05,H3454,07,2,88,1,30,01,H0471,05,H0419,05,7,,,1,.,1,N,142,156,4,,,,L,59,2,5.0,NUFLOR,Life,,0,1,,0.051,,2012
12IN00106,2007053458,H3458,05,H3458,07,2,88,1,30,06,H1797,05,H1525,05,7,,,1,PTH,2,.,172,154,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.048,,2012
12IN00107,2007053467,H3467,05,H3467,07,2,88,1,30,02,H0773,05,H1177,05,7,,,6,.,H,.,158,0,0,,13,0728,L,,,5.0,Wolf kill,Life,,0,1,,0.068,,2012
12IN00108,2007053483,H3483,05,H3483,07,2,88,1,30,09,H1914,05,H0883,05,7,,,1,.,1,Y,163,157,2,,,,L,54,2,5.0,.,Life,,0,1,,0.057,,2012
12IN00109,2007053490,H3490,05,H3490,07,2,88,1,30,05,H1852,05,H1968,05,7,,,1,.,2,.,167,182,2,,,,L,58,2,5.0,.,Life,,0,1,,0.034,,2012
12IN00110,2007053491,H3491,05,H3491,07,2,88,1,30,05,H1852,05,H1968,05,7,,,1,PTH,2,.,140,168,2,,,,L,53,2,5.0,RUNT,Life,,0,1,,0.034,,2012
12IN00111,2007053493,H3493,05,H3493,07,2,88,1,30,05,H1852,05,A9119,04,7,,,1,PTH,1,.,169,175,2,,,,L,57,2,5.0,.,Life,,0,1,,0.048,,2012
12IN00112,2007053499,H3499,05,H3499,07,2,88,1,30,03,H1159,05,A8198,04,7,,,1,.,2,.,150,163,2,,,,L,53,2,5.0,4TEATS,Life,,0,1,,0.057,,2012
12IN00113,2007053512,H3512,05,H3512,07,2,88,1,30,06,H1797,05,H1770,05,7,,,1,PTH,1,N,183,0,0,,01,0903,L,,,5.0,.,Life,,0,1,,0.062,,2012
12IN00114,2007053514,H3514,05,H3514,07,2,88,1,30,04,H1823,05,H1443,05,7,,,1,.,2,.,185,170,5,,,,L,59,2,5.0,.,Life,Albmn,0,1,,0.057,,2012
12IN00115,2007053526,H3526,05,H3526,07,2,88,1,30,06,H1797,05,H2018,05,7,,,1,.,2,N,110,151,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.045,,2012
12IN00116,2007053528,H3528,05,H3528,07,2,88,1,30,06,H1797,05,H2018,05,7,,,1,.,1,.,145,134,2,,97,1009,L,53,2,5.0,.,Life,,0,1,,0.045,,2012
12IN00117,2007053552,H3552,05,H3552,07,2,88,1,30,03,H1159,05,H0834,05,7,,,O,OVX,D,Y,167,0,0,,,,L,,,5.0,.,Life,,0,1,,0.051,,2012
12IN00118,2007053571,H3571,05,H3571,07,2,88,1,30,e31,H2022,05,H2194,05,7,,,1,.,2,Y,144,170,2,,,,L,54,2,5.0,FIRM2,Life,,0,1,,0.045,,2012
12IN00119,2007053604,H3604,05,H3604,07,2,88,1,30,08,H1311,05,A8295,04,7,,,1,.,1,.,151,167,2,,,,L,54,2,5.0,.,Life,,0,1,,0.047,,2012
12IN00120,2007053622,H3622,05,H3622,07,2,88,1,30,04,H1823,05,H0755,05,7,,,1,.,2,.,191,180,3,,,,L,BRT,5,5.0,GAUNT,Life,,0,1,,0.054,,2012
12IN00121,2007053638,H3638,05,H3638,07,2,88,1,30,05,H1852,05,H1603,05,7,,,1,.,2,.,127,141,2,,,,L,53,2,5.0,.,Life,,0,1,,0.051,,2012
12IN00122,2007053649,H3649,05,H3649,07,2,88,1,30,05,H1852,05,H1223,05,7,,,1,.,1,N,138,148,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.058,,2012
12IN00123,2007053658,H3658,05,H3658,07,2,88,1,30,08,H1311,05,H1806,05,7,,,1,.,2,.,150,175,2,,,,L,BRT,5,5.0,.,Life,,0,1,,0.04,,2012
12IN00124,2007053681,H3681,05,H3681,07,2,88,1,30,02,H0773,05,H2175,05,7,,,1,.,2,.,145,164,2,,,,L,54,2,5.0,.,Life,,0,1,,0.047,,2012
12IN00125,2007053708,H3708,05,H3708,07,2,88,1,30,06,H1797,05,H1557,05,7,,,1,PTH,2,.,146,180,4,,,,L,BRT,5,5.0,GAUNT,Life,,0,1,,0.046,,2012
12IN00126,2007053723,H3723,05,H3723,07,2,88,1,30,e34,H1063,05,H2664,05,7,,,1,.,2,.,124,139,2,,,,L,55,2,5.0,.,Life,,0,1,,0.057,,2012
12IN00127,2007053727,H3727,05,H3727,07,2,88,1,30,e31,H2022,05,H2498,05,7,,,1,.,2,N,183,184,6,,,,L,54,2,5.0,.,Life,,0,1,,0.045,,2012
12IN00128,2008053747,H3747,05,H3747,08,2,88,1,30,P06,H2601,05,H2790,05,,,,6,.,,,0,0,0,,01,0220,,,,4.0,.,,Albmn,0,1,,0.037,,2012
12IN00129,2008053794,H3794,05,H3794,08,2,83,1,30,P08,H2362,05,A9359,04,,,,7,.,,,0,0,0,,97,0201,,,,4.0,4TEATS,,,0,1,,0.047,,2012
