UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,DB1,C19,Y5A,C21,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,C4243,FONO,FOPU,TRT2,DB2,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,YR
77LA00115,1977-04-10,2,P5926,01,1,71, 26,P3359,01,30,0,,1,,30,,1,30,,1,100,7,,0,4,,,,589701,+,,1,P4760,01,1,74,71,,1,,1,2,80,15,,,1,77
77LA00116,1977-04-10,1,,01,,71, 26,P3359,01,30,0,,,,30,,1,30,,1,100,7,,0,4,,1,,,,,1,P4760,01,0,0,71,,0,,0,0,45,0,,,2,77
77LA00117,1977-04-05,3,P5787,01,1,70, 21,P3380,01,30,0,,1,,30,,1,30,,1,95,8,,0,3,,,,,,,1,P4761,01,1,74,70,,1,,1,2,100,10,,,1,77
77LA00118,1977-04-05,3,P5788,01,,70, 21,P3380,01,30,0,,1,,30,,1,30,,1,95,8,,0,3,,,,,,,1,P4761,01,0,59,70,,1,,0,0,103,10,,,2,77
77LA00119,1977-04-02,3,P5697,01,1,70, 22,P3419,01,30,0,,1,,30,,1,30,,1,92,8,,0,3,,,,,,,1,P4370,01,1,63,70,,1,,1,2,109,10,,,1,77
77LA00120,1977-04-02,2,P5698,01,,70, 22,P3419,01,30,0,,1,,30,,1,30,,1,92,8,,0,3,,,,,,,1,P4370,01,0,54,70,,1,,0,0,92,10,,,2,77
77LA00121,1977-03-11,2,P5564,01,1,00,000,P3478,01,30,0,,1,,25,,1,00,3,3,70,5,,0,3,,,,,,,1,00000,00,1,86,70,0,1,,1,1,96,10,,,1,77
77LA00122,1977-04-14,3,P6039,01,1,71, 26,P3483,01,30,0,,1,,25,,1,30,,1,104,5,,0,4,,,,,,,1,P4760,01,1,83,71,,1,,1,1,121,10,59,,1,77
77LA00123,1977-04-11,3,P5978,01,1,70, 21,P3508,01,30,0,,1,,25,,1,30,,1,101,8,,0,3,,,,,,,1,P4761,01,1,73,70,,1,,1,2,81,10,,,1,77
77LA00124,1977-04-11,3,P5979,01,,70, 21,P3508,01,30,0,,1,,25,,1,30,,1,101,8,,0,3,,,,,,,1,P4761,01,0,68,70,,1,,0,0,89,10,,,2,77
77LA00125,1977-04-03,2,P5721,01,1,71, 22,P3591,01,30,0,,1,,25,,1,30,,1,93,8,,0,3,,,,,,,1,P4370,01,1,64,71,,1,,1,2,75,10,,,1,77
77LA00126,1977-04-03,3,P5722,01,,71, 22,P3591,01,30,0,,1,,25,,1,30,,1,93,8,,0,3,,,,,,,1,P4370,01,0,66,71,,1,,0,0,90,10,,,2,77
77LA00127,1977-04-06,1,,01,1,70, 21,P3660,01,30,0,,,,20,,1,30,,1,96,1,,0,4,,1,,057419,+,,1,P4761,01,1,0,70,,0,,1,1,50,5,,,1,77
77LA00128,1977-04-11,3,P5963,01,1,70, 22,P3771,01,30,0,,,,20,,1,30,,1,101,8,,230,3,,7,,,,,1,P4370,01,1,0,70,,1,97,1,2,90,0,,,1,77
77LA00129,1977-04-11,2,P5964,01,,70, 22,P3771,01,30,0,,1,,20,,1,30,,1,101,8,,0,3,,,,,,,1,P4370,01,0,84,70,,1,,0,0,96,10,,,2,77
77LA00130,1977-03-29,2,P5608,01,1,71, 22,P3822,01,30,0,,1,,20,,1,30,,1,88,8,,0,2,,,,,,,1,P4370,01,1,53,71,,1,,1,2,70,10,,,1,77
77LA00131,1977-03-29,2,P5609,01,,71, 22,P3822,01,30,0,,1,,20,,1,30,,1,88,8,,0,2,,,,,,,1,P4370,01,0,65,71,,1,,0,0,60,10,,,2,77
