UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
86LA02815,1986-04-14,3,X1785,80,1,45,441,T6059,43,1,07,30,1,1,55,,1,104,5,,0,3,,,02,,,X0466,80,1,72,43,8,1,,1,1,10.1,10,,1,1,86
86LA02816,1986-04-15,1,T7759,43,1,41,414,T6061,43,1,16,30,1,1,02,,1,105,8,,0,3,,,02,,,T7239,43,1,73,41,6,1,,1,2,10.6,10,,1,1,86
86LA02817,1986-04-15,2,T7760,43,,41,414,T6061,43,1,16,30,1,1,02,,1,105,8,,0,3,,,02,,,T7239,43,0,72,41,6,1,,0,0,10.4,10,,1,2,86
86LA02818,1986-04-12,2,X1603,80,1,44,004,T6077,43,3,,30,1,1,52,,1,102,8,,0,3,,,02,,,M6008,95,1,65,49,8,1,,1,2,9.7,10,,,1,86
86LA02819,1986-04-12,2,X1604,80,,44,004,T6077,43,3,,30,1,1,52,,1,102,8,,0,3,,,02,,,M6008,95,0,71,49,8,1,,0,0,9.3,10,,,2,86
86LA02820,1986-04-24,2,T8154,43,1,41,412,T6082,43,1,,30,1,2,02,,1,114,8,,0,3,,,02,,,T6983,43,1,71,41,6,1,,1,2,10.4,10,,,1,86
86LA02821,1986-04-24,2,T8155,43,,41,412,T6082,43,1,,30,1,1,02,,1,114,8,,0,3,,,02,,,T6983,43,0,67,41,6,1,,0,0,9.7,10,,,2,86
86LA02822,,,,,1,45,441,T6084,43,,,30,,,55,,,0,,,0,,,,02,,,X0466,80,0,0,49,8,0,,0,0,0.0,0,,,1,86
86LA02823,,,,,1,43,434,T6088,43,,,30,,,02,,,0,,2,0,,,,02,,,01499,UC,1,0,43,6,0,,0,0,0.0,0,,3,1,86
86LA02824,1986-05-10,2,T8473,43,1,43,431,T6091,43,,,30,1,1,02,,1,130,5,2,0,3,,,02,,,T7619,43,1,89,43,6,1,,1,1,13.4,10,,3,1,86
86LA02825,1986-04-13,1,T7721,43,1,40,403,T6103,43,3,,30,1,1,02,,1,103,8,,0,3,,,02,,,T6533,43,1,66,40,2,1,,1,2,14.4,10,,,1,86
86LA02826,1986-04-13,1,T7722,43,,40,403,T6103,43,3,,30,1,1,02,,1,103,8,,0,3,,,02,,,T6533,43,0,49,40,2,1,,0,0,13.0,10,,,2,86
86LA02827,1986-04-27,2,T8240,43,1,40,401,T6104,43,1,17,30,1,1,02,,1,117,8,,0,2,,,02,,,T6668,43,1,56,40,2,1,,1,2,10.6,10,21,4,1,86
86LA02828,1986-04-27,1,T8241,43,,40,401,T6104,43,1,17,30,,1,02,,1,117,8,,118,2,,3,02,,&,T6668,43,0,0,40,2,1,93,0,0,11.4,0,,4,2,86
86LA02829,1986-04-20,1,T7990,43,1,42,892,T6109,43,5,,30,1,1,02,,1,110,8,,0,2,,,02,,,T6792,43,1,55,42,3,1,,1,2,8.9,10,,,1,86
86LA02830,1986-04-20,1,T7991,43,,42,892,T6109,43,5,,30,,1,02,,1,110,8,,111,2,,3,02,,&,T6792,43,0,0,42,3,1,93,0,0,6.6,0,,,2,86
86LA02831,,,,,1,43,436,T6114,43,,,30,,,02,,,0,,2,0,,,,02,,,02586,UC,1,0,43,6,0,,0,0,0.0,0,,3,1,86
86LA02832,1986-04-13,1,X1647,80,1,45,441,T6119,43,1,15,30,1,1,55,,1,103,8,,0,5,,,02,,,X0466,80,1,71,40,8,1,,1,2,10.2,10,,4,1,86
86LA02833,1986-04-13,1,X1648,80,,45,441,T6119,43,1,15,30,1,1,55,,1,103,8,,0,5,,,02,,,X0466,80,0,79,40,8,1,,0,0,11.9,10,,4,2,86
86LA02834,1986-04-23,1,T8115,43,1,40,402,T6122,43,1,,30,1,1,02,,1,113,8,,0,3,,,02,,,T6935,43,1,84,40,2,1,,1,2,8.9,10,,,1,86
86LA02835,1986-04-23,1,T8116,43,,40,402,T6122,43,1,,30,1,1,02,,1,113,8,,0,3,,,02,,,T6935,43,0,61,40,2,1,,0,0,9.1,10,,,2,86
86LA02836,1986-04-23,2,X2681,80,1,44,003,T6128,43,4,13,30,1,1,52,,1,113,9,,0,2,,,02,,,M6045,95,1,66,49,8,1,,1,3,9.2,10,,2,1,86
86LA02837,1986-04-23,3,X2682,80,,44,003,T6128,43,4,13,30,1,1,52,,1,113,9,,0,2,,,02,,,M6045,95,0,58,49,8,1,,0,0,8.3,10,14,2,2,86
86LA02838,1986-04-23,3,X2683,80,,44,003,T6128,43,4,13,30,,1,52,,1,113,9,,114,2,,3,02,,&,M6045,95,0,0,49,8,1,93,0,0,7.3,0,,2,3,86
86LA02839,1986-04-11,2,X1543,80,1,44,002,T6129,43,4,10,30,1,1,52,,1,101,8,,0,5,,,02,,,M6108,95,1,74,49,8,1,,1,2,10.5,10,,1,1,86
86LA02840,1986-04-11,2,X1544,80,,44,002,T6129,43,4,10,30,1,1,52,,1,101,8,,0,5,,,02,,,M6108,95,0,82,49,8,1,,0,0,10.2,10,,1,2,86
86LA02841,1986-04-16,1,T7824,43,1,41,413,T6145,43,4,10,30,,1,02,,1,106,8,,135,4,,6,02,,,T7388,43,1,0,41,6,1,48,1,2,11.4,0,,1,1,86
86LA02842,1986-04-16,2,T7825,43,,41,413,T6145,43,4,10,30,1,1,02,,3,106,8,,0,4,,,02,,,T7388,43,0,81,41,6,1,,0,0,10.5,10,,1,2,86
