UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00068,60,2,,10,1,69,238,1966,10,1,,,4,,1,07,,1,100,8,,0,1,,,,,,,0,0,1,0,5318,1,11,,69,4,,,6.6,,5,48,&,2,1,1,2,1,0,1960-04-09
60LA00069,60,1,2424,10,1,69,228,1967,10,1,,5,4,,1,07,,1,101,8,,0,4,,,,,,,0,0,4,0,4239,1,14,94,69,4,,2,11.6,,,,&,1,1,1,2,1,10,1960-04-10
60LA00070,60,1,2425,10,1,69,228,1967,10,1,,5,4,,1,07,,2,101,8,,0,4,,,,,,,0,0,4,0,4239,1,14,77,69,4,,2,11.0,,,,&,2,1,1,2,1,10,1960-04-10
60LA00071,60,2,2347,10,1,69,288,1972,10,1,,1,4,,1,07,,1,86,5,,0,4,,,,,,,0,0,4,0,2775,1,14,81,69,4,,1,11.0,,,,&,1,1,1,1,1,10,1960-03-26
60LA00072,60,1,2363,10,1,69,248,1974,10,1,,1,4,,1,07,,1,91,5,,115,5,,,,5280,14,+,0,0,1,0,4073,1,11,,69,4,,,13.6,,6,,&,1,1,1,1,1,0,1960-03-31
60LA00073,60,1,2469,10,1,69,198,1979,10,1,,5,4,,1,07,,1,112,8,,0,5,,,,,,,0,0,1,0,5223,1,11,66,69,4,,2,10.0,,,,&,1,1,1,2,1,10,1960-04-21
60LA00074,60,1,2470,10,1,69,198,1979,10,1,,5,4,,1,07,,1,112,8,,0,5,,,,,,,0,0,1,0,5223,1,11,82,69,4,,2,11.0,,,,&,2,1,1,2,1,10,1960-04-21
60LA00075,60,1,2472,10,1,69,218,1990,10,1,,1,4,,1,07,,1,113,5,,0,4,,,,,,,0,0,1,0,5188,1,11,90,69,4,,3,13.2,,,,&,1,1,1,1,1,10,1960-04-22
60LA00076,60,1,2460,10,1,69,660,1996,10,1,,5,3,,2,07,,1,108,8,,0,5,,,,,,,0,0,4,0,4174,1,14,79,69,5,,2,10.2,,,,&,1,1,1,2,1,10,1960-04-17
60LA00077,60,1,2461,10,1,69,660,1996,10,1,,5,3,,1,07,,1,108,8,,0,5,,,,,,,0,0,4,0,4174,1,14,54,69,5,,2,9.4,,,,&,2,1,1,2,1,10,1960-04-17
60LA00078,60,1,2405,10,1,69,640,1999,10,1,,,3,,1,07,,1,98,8,2,230,3,,,,,,,0,0,4,0,1857,1,14,,69,5,,,8.6,,7,,&,1,1,1,2,1,0,1960-04-07
60LA00079,60,2,2406,10,1,69,640,1999,10,1,,3,3,,1,07,,1,98,8,2,0,3,,,,,,,0,0,4,0,1857,1,14,85,69,5,,1,9.0,,,,&,2,1,1,2,1,10,1960-04-07
60LA00080,60,1,2422,10,1,69,550,2000,10,1,,5,3,,1,07,,2,101,8,3,0,3,,,,,,,0,0,1,0,4899,1,11,77,69,5,,2,10.4,,,,&,1,1,1,2,1,10,1960-04-10
60LA00081,60,2,2423,10,1,69,550,2000,10,1,,5,3,,1,07,,1,101,8,3,0,3,,,,,,,0,0,1,0,4899,1,11,60,69,5,,2,7.4,1,,02,&,2,1,1,2,1,10,1960-04-10
60LA00082,60,2,2352,10,1,69,550,2001,10,1,,5,3,09,1,07,,1,88,8,2,0,4,,,,,,,0,0,1,0,4899,1,11,73,69,5,,1,7.0,,,,&,1,1,1,2,1,10,1960-03-28
60LA00083,60,2,2353,10,1,69,550,2001,10,1,,5,3,,1,07,,1,88,8,2,0,4,,,,,,,0,0,1,0,4899,1,11,59,69,5,,1,5.8,,,,&,2,1,1,2,1,10,1960-03-28
60LA00084,60,2,2358,10,1,69,580,2003,10,1,,5,3,,1,07,,1,90,8,,0,3,,,,,,,0,0,1,0,5171,1,11,58,69,5,,1,7.4,,,,&,1,1,1,2,1,10,1960-03-30
60LA00085,60,1,2359,10,1,69,580,2003,10,1,,5,3,,1,07,,1,90,8,,0,3,,,,,,,0,0,1,0,5171,1,11,74,69,5,,1,7.8,,,,&,2,1,1,2,1,10,1960-03-30
60LA00086,60,1,2370,10,1,69,640,2005,10,1,,,3,,1,07,,1,93,8,1,230,4,,,,,,,0,0,4,0,1857,1,14,,69,5,,,10.6,,7,,&,1,1,1,2,1,0,1960-04-02
60LA00087,60,2,2371,10,1,69,640,2005,10,1,,3,3,,1,07,,1,93,8,1,0,4,,,,,,,0,0,4,0,1857,1,14,74,69,5,,1,10.8,,,,&,2,1,1,2,1,10,1960-04-02
60LA00088,60,2,2381,10,1,69,560,2012,10,1,,1,3,,1,07,,1,94,5,,0,4,,,,,,,0,0,1,0,4645,1,11,79,69,5,,1,11.0,,,,&,1,1,1,1,1,10,1960-04-03
60LA00089,60,1,2402,10,1,69,600,2017,10,1,,3,3,,1,07,,1,98,8,,0,4,,,,,,,0,0,1,0,5177,1,11,74,69,5,,1,9.0,,,,&,1,1,1,2,1,10,1960-04-07
60LA00090,60,1,2403,10,1,69,600,2017,10,1,,,3,,1,07,,1,98,8,,0,4,,,,,,,0,0,1,0,5177,1,11,,69,5,,,8.4,,6,,&,2,1,1,2,1,0,1960-04-07
