UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA01477,1981-04-03,1,S3499,19,,10,102,S0514,19,07,,1,,40,,1,07,,1,93,8,,0,3,,,,,,,S2502,19,0,70,10,2,1,,0,0,108,10,,,2,81
81LA01478,,,,19,1,13,133,S0518,19,07,,,,40,,,07,,,0,,,0,,,,,,,,S2872,19,1,0,13,6,0,,0,0,,0,,,1,81
81LA01479,,,,19,1,11,112,S0523,19,07,,,,40,,,07,,,0,,,0,,,,,,,,S3197,19,1,0,11,6,0,,0,0,,0,,,1,81
81LA01480,1981-03-29,,,19,1,11,111,S0526,19,07,,,,40,,,07,,,88,2,,0,0,21,0,,710479,+,,S2957,19,1,0,11,6,0,,1,2,,5,,,1,81
81LA01481,1981-03-29,,,19,,11,111,S0526,19,07,,,,40,,,07,,,88,2,,0,0,,0,,,,,S2957,19,0,0,11,6,0,,0,0,,0,,,2,81
81LA01482,1981-04-04,1,,19,1,12,891,S0528,19,07,,,,40,,1,07,,1,94,4,,94,3,,1,,,,,S2547,19,1,0,12,3,0,44,1,2,098,0,,,1,81
81LA01483,1981-04-04,1,,19,,12,891,S0528,19,07,,,,40,,1,07,,1,94,4,,94,3,,1,,,,,S2547,19,0,0,12,3,0,44,0,0,113,0,,,2,81
81LA01484,1981-04-07,1,S3676,19,1,13,131,S0531,19,07,,1,,40,,1,07,,1,97,5,,0,3,,,,,,,S2663,19,1,89,13,6,1,,1,1,141,10,,,1,81
81LA01485,1981-03-31,1,S3356,19,1,12,901,S0533,19,07,,1,,40,,1,07,,1,90,5,,0,2,,,,,,,S2072,19,1,73,12,3,1,,1,1,113,10,,,1,81
81LA01486,,,,19,1,10,103,S0534,19,07,,,,40,,,07,,,0,,,0,,,,,,,,S2482,19,0,0,10,2,0,,0,0,,0,,,1,81
81LA01487,1981-04-09,1,S3755,19,1,10,102,S0535,19,07,,1,,40,,1,07,,1,99,8,,0,4,,,,,,,S2502,19,1,72,10,2,1,,1,2,102,10,,,1,81
81LA01488,1981-04-09,2,S3756,19,,10,102,S0535,19,07,,1,,40,,1,07,,1,99,8,,0,4,,,,,,,S2502,19,0,35,10,2,1,,0,0,069,10,,,2,81
81LA01489,1981-03-22,2,X6386,79,1,,,S0550,19,07,,1,,40,,5,10,,2,81,7,,0,3,,,,,,,00000,97,1,66,07,9,1,,1,2,092,10,,,1,81
81LA01490,1981-03-22,3,,79,,,,S0550,19,07,,,,40,,5,10,,1,81,7,,81,3,,1,,,,,00000,97,0,0,07,9,0,44,0,0,097,0,,,2,81
81LA01491,1981-04-04,1,S3508,19,1,11,114,S0551,19,07,,1,,40,,1,07,,1,94,8,,0,3,,,,,,,S2922,19,1,71,11,6,1,,1,2,094,10,,,1,81
