UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA01723,00,S7866,10,10,22,00000,97,3.0,07,97,,,1,0,n,.,0410,101,9,0,,0.0,5,,,,00,10,0,101,27,,,"KETOSIS, DEAD","IMM,CLR5",,,.,V,1,1000,2,1,1,3,0,0,0.0,0,,0,0,,2000-04-10,,0.0
00LA01724,00,S7866,10,10,22,00000,97,3.0,07,97,,,1,0,n,.,0410,101,9,0,,0.0,5,,,,00,10,0,101,27,,,,"IMM,CLR5",,,.,V,2,1000,2,0,0,0,0,0,0.0,0,,0,0,,2000-04-10,,0.0
00LA01725,00,S7866,10,10,22,00000,97,3.0,07,97,,,1,0,n,.,0410,101,9,0,,0.0,5,,,,00,10,0,101,27,,,,"IMM,CLR5",,,.,V,3,1000,2,0,0,0,0,0,0.0,0,,0,0,,2000-04-10,,0.0
00LA01726,00,S7950,10,12,89,S9599,10,3.0,07,07,,,1,0,n,C,0410,101,8,3,3,11.4,1,1,R1783,11,12,07,,0,,,,,PINK,,,.,J,2,1800,,0,0,0,1,1,1.0,88,1,65,181,1,2000-04-10,Y,0.049
00LA01727,00,S7950,10,12,89,S9599,10,3.0,07,07,,,1,0,n,C,0410,101,8,3,2,10.1,1,1,R1782,11,12,07,,0,,,,,,,,.,J,1,1800,,1,1,2,1,1,1.0,72,1,56,181,1,2000-04-10,Y,0.049
00LA01728,00,T5660,44,ID,41T,00064,00,4.0,02,02,,,1,I,n,I,0410,101,8,1,1,10.0,1,1,T7779,44,ID,02,,0,,,,NO BAG,,,,.,J,1,1625,,1,1,2,1,1,1.0,84,1,57,181,1,2000-04-10,Y,0.0
00LA01729,00,T5660,44,ID,41T,00064,00,4.0,02,02,,,1,I,n,I,0410,101,8,1,2,10.0,1,1,T7780,44,ID,02,3,103,93,,8,,GAUNT,,,.,J,2,1625,,0,0,0,1,0,0.0,0,,0,0,,2000-04-10,,0.0
00LA01730,00,T6460,44,ID,42T,T5505,44,2.0,02,02,,,1,I,n,I,0410,101,5,2,2,6.0,1,1,T7781,44,ID,02,6,103,85,A7079,+,,"WEAK,VETS",,,.,J,1,1500,,1,1,1,1,0,0.5,0,,0,0,,2000-04-10,,0.004
00LA01731,00,T6608,44,ID,41T,00064,00,2.0,02,02,,,1,I,n,I,0410,101,5,2,1,10.8,1,1,T7778,44,ID,02,6,103,21,,,"WILD,JUMPER",SEV.SCOURS,,,.,J,1,1500,,1,1,1,1,0,0.0,0,,0,0,,2000-04-10,,0.0
00LA01732,00,Z3911,81,97,971,Z3677,81,3.0,97,97,,,1,0,n,.,0411,102,8,3,1,11.5,6,1,Z6374,81,97,97,7,224,97,,,,,,,.,Y,2,1020,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.084
00LA01733,00,Z3911,81,97,971,Z3677,81,3.0,97,97,,,1,0,n,.,0411,102,8,3,2,10.9,6,2,Z6373,81,97,97,,0,,,,,SCOURS,,,.,Y,1,1020,,1,1,2,1,1,1.0,106,,0,0,B,2000-04-11,Y,0.084
