UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
03LA00082,03,R2432,11,13,-3-,A7198,04,2.0,2,43,30,1,0,y,X,0330,89,8,4,2,10.3,1,1,Z8597,81,00,31,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,77,1,63.5,177,1,2003-03-30,0.0
03LA00083,03,R2513,11,13,-2-,A7460,04,2.0,2,43,30,1,0,y,X,0331,90,5,3,3,11.2,1,1,Z8606,81,00,31,,,,,,,,,,.,J,1,....,,1,1,1,1,1,1.0,89,1,78.0,177,1,2003-03-31,0.0
03LA00084,03,R2728,11,12,-2-,A7460,04,2.0,2,07,30,1,0,y,X,0330,89,8,4,3,9.4,1,1,Z8593,81,00,31,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,61,1,47.0,177,1,2003-03-30,0.0
03LA00085,03,R2728,11,12,-2-,A7460,04,2.0,2,07,30,1,0,y,X,0330,89,8,4,2,9.2,1,1,Z8594,81,00,31,,,,,,,HAIRY,,,.,J,2,....,,,,0,1,1,1.0,62,1,50.0,177,1,2003-03-30,0.0
03LA00086,03,S9210,10,10,-5-,T0000,44,5.0,5,07,02,2,0,y,X,0330,89,2,1,,0.0,,,,,00,01,0,89,27,,,"X, ABORT, M1",,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-30,0.0
03LA00087,03,S9210,10,10,-5-,T0000,44,5.0,5,07,02,2,0,y,X,0330,89,2,1,,0.0,,,,,00,01,0,89,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-30,0.0
03LA00088,03,T8370,44,ID,41T,09221,00,2.0,2,02,02,1,I,n,I,0330,89,8,4,1,9.5,1,1,T9441,44,ID,02,6,89,46,,,,46,,,.,J,2,....,,,,0,1,0,0.0,0,0,0.0,0,1,2003-03-30,0.0
03LA00089,03,T8370,44,ID,41T,09221,00,2.0,2,02,02,1,I,n,I,0330,89,8,4,2,9.8,1,1,T9440,44,ID,02,,,,,,FLT,ENTR,,,.,J,1,....,,1,1,2,1,1,1.0,93,1,75.0,177,1,2003-03-30,0.0
03LA00090,03,T8433,44,41,-5-,T0000,44,2.0,2,02,02,2,2,y,X,0331,90,2,1,,0.0,,,,,00,02,0,90,27,,,MSG 5/21/03,,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-31,0.0
03LA00091,03,T8433,44,41,-5-,T0000,44,2.0,2,02,02,2,2,y,X,0331,90,2,1,,0.0,,,,,00,02,0,90,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-31,0.0
03LA00092,03,T8456,44,41,-2-,T7305,44,2.0,2,02,02,1,2,y,X,0331,90,8,3,3,10.8,1,1,Z8620,81,00,02,,,,,,FLT,,,,.,J,1,....,,1,1,2,1,1,1.0,101,1,85.0,177,1,2003-03-31,0.071
03LA00093,03,T8456,44,41,-2-,T7305,44,2.0,2,02,02,1,2,y,X,0331,90,8,3,3,9.9,1,1,Z8621,81,00,02,6,118,23,,,,,,,.,J,2,....,,,,0,1,0,0.0,0,0,0.0,0,1,2003-03-31,0.071
03LA00094,03,T8576,44,42,-2-,T7305,44,2.0,2,02,02,1,2,y,X,0330,89,5,3,2,13.0,1,1,Z8583,81,00,02,,,,,,,NICE,,,.,J,1,....,,1,1,1,1,1,1.0,97,1,77.0,177,1,2003-03-30,0.021
03LA00095,03,T8748,44,41,-2-,A7460,04,2.0,2,02,30,1,2,y,X,0331,90,5,2,2,12.5,1,1,Z8617,81,00,32,,,,,,,,,,.,J,1,....,,1,1,1,1,1,1.0,90,1,76.5,177,1,2003-03-31,0.001
03LA00096,03,Z4777,81,97,971,00093,00,5.0,5,97,97,1,0,n,.,0330,89,8,5,1,13.2,6,1,Z8600,81,97,97,,,,,,,ENTR*2,,,.,J,2,....,,,,0,1,1,1.0,111,1,0.0,0,B,2003-03-30,0.0
03LA00097,03,Z4777,81,97,971,00093,00,5.0,5,97,97,1,0,n,.,0330,89,8,5,1,12.8,6,2,Z8599,81,97,97,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,103,1,0.0,0,B,2003-03-30,0.0
