UID,YR,SEX,LAMB,LB1,DATE,SIRE,BRWT,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
51LA00494,51,1,0325,2,428,0450,10.2,2,0512,2,29,5,2,1,4,1,36,360,1,6,0,,,6492,40,+,,13,,,,,14,,36,1,20,,,,,118,13,1,1,1,1,0,1951-04-28,49,49,07
51LA00495,51,2,1953,2,412,0271,11.2,2,0520,2,23,5,2,3,1,1,45,450,1,,0,,,,,,,13,,,,,13,,45,1,12,,58,,,102,13,1,1,1,1,10,1951-04-12,49,49,07
51LA00496,51,,,,510,9987,0.0,2,0521,2,,,2,,,,82,504,1,,0,,,,,,,13,,-,,,14,,25,7,13,,,50,,130,13,1,0,0,0,0,1951-05-10,49,49,07
51LA00497,51,2,1773,2,409,0872,10.6,2,0525,2,22,5,2,1,4,1,46,460,1,,0,,,,,,,13,,,,,13,,46,1,11,,66,,,99,13,1,1,1,1,10,1951-04-09,49,50,07
51LA00498,51,2,0262,2,421,0054,7.4,2,0528,2,20,5,2,1,4,1,49,490,1,7,230,,,,,,,13,,,,,14,,49,1,13,,,,,111,13,1,1,1,1,0,1951-04-21,49,49,07
51LA00499,51,2,1508,2,403,9987,8.2,2,0532,2,32,5,2,1,3,1,50,500,1,6,0,,,,,,,13,,,,,13,,50,1,18,,,,,93,13,1,1,1,1,0,1951-04-03,49,49,07
51LA00500,51,2,6891,3,526,0000,10.0,,0547,2,0,5,2,1,4,1,00,280,1,,0,,,,,,,13,,,,,17,,28,0,19,2,58,07,,146,17,1,1,1,1,10,1951-05-26,49,49,07
51LA00501,51,,,,526,0543,0.0,2,0547,2,25,,2,,,,28,280,1,,0,,,,,,,13,,-,,,14,,28,1,19,1,,,,146,13,1,0,0,0,0,1951-05-26,49,49,07
51LA00502,51,1,0308,2,427,2594,9.2,1,0548,2,,5,2,1,2,1,82,214,1,,0,,,,,,,13,,,,,14,,22,7,17,,76,21,,117,11,1,1,1,1,10,1951-04-27,49,48,07
51LA00503,51,1,1652,2,406,0271,9.6,2,0553,2,23,5,2,1,2,1,45,450,1,,0,,,,,,04,13,,,,,13,,45,1,13,,56,,,96,13,1,1,1,1,10,1951-04-06,49,49,07
51LA00504,51,1,1879,2,411,0848,7.4,2,0555,2,19,8,2,1,2,2,40,401,1,6,0,,,6706,17,+,,13,,,,,13,,40,1,14,,,,,101,13,1,1,2,1,0,1951-04-11,49,50,07
51LA00505,51,1,1880,2,411,0848,5.4,2,0555,2,19,8,2,1,2,2,40,401,2,6,0,,,,,,,13,,,,,13,,40,1,14,,,,,101,13,1,1,2,1,0,1951-04-11,49,50,07
51LA00506,51,1,1624,2,406,0378,11.0,2,0557,2,26,5,2,1,4,1,45,451,1,,0,,,,,,,13,,,,,13,,45,1,22,,78,,,96,13,1,1,1,1,10,1951-04-06,49,49,07
51LA00507,51,2,0091,2,416,0636,10.8,2,0560,2,,5,2,1,5,1,82,255,1,,0,,,,,,,13,,,,,14,,40,7,08,,84,25,,106,13,1,1,1,1,10,1951-04-16,49,49,07
51LA00508,51,2,0316,2,427,0445,7.0,2,0564,2,27,5,2,1,2,1,49,491,1,7,230,,,,,,,13,,,,,14,,49,1,22,,,,,117,13,1,1,1,1,0,1951-04-27,49,49,07
51LA00509,51,,,,521,0000,0.0,,0565,2,0,0,2,,0,,00,470,1,0,0,,,,,,,13,,,,,14,,47,0,18,2,,07,,141,17,1,1,1,0,0,1951-05-21,49,49,07
51LA00510,51,,,,521,0206,0.0,2,0565,2,24,,2,,,,47,470,1,,0,,,,,,,13,,-,,,14,,47,1,18,1,,,,141,13,1,0,0,0,0,1951-05-21,49,49,07
51LA00511,51,,,,510,0664,0.0,2,0577,2,26,,2,,,,51,510,1,,0,,,,,,,13,,-,,,14,,51,1,14,,,,,130,13,1,0,0,0,0,1951-05-10,49,49,07
51LA00512,51,2,1807,2,410,0664,10.6,2,0578,2,,5,2,1,4,1,82,514,1,,0,,,,,,,13,,,,,13,,44,7,04,,71,51,,100,13,1,1,1,1,10,1951-04-10,49,49,07
51LA00513,51,1,1570,2,405,0561,7.2,2,0583,2,24,5,2,1,2,1,40,400,1,,0,,,,,,,13,,,,,13,,40,1,19,,72,,,95,13,1,1,1,1,10,1951-04-05,49,49,07
51LA00514,51,2,1801,2,409,0606,7.2,2,0586,2,18,5,2,2,3,2,26,260,1,,0,,,,,,,13,,,,,13,,26,1,05,,54,,,99,13,1,1,1,1,10,1951-04-09,49,49,07
51LA00515,51,1,6889,3,525,0000,8.0,,0590,2,0,5,2,1,4,1,00,470,1,,0,,,,,,,13,,,,,17,,47,0,08,2,54,07,,145,17,1,1,1,1,10,1951-05-25,49,49,07
51LA00516,51,,,,525,0206,0.0,2,0590,2,24,,2,,,,47,470,1,,0,,,,,,,13,,-,,,14,,47,1,08,1,,,,145,13,1,0,0,0,0,1951-05-25,49,49,07
51LA00517,51,2,1959,2,413,0450,6.8,2,0608,2,30,5,2,1,1,1,36,360,1,6,0,,,,,,,13,,,,,13,,36,1,17,,,,,103,13,1,1,1,1,0,1951-04-13,49,49,07
51LA00518,51,1,0303,2,426,0686,9.6,2,0610,2,,5,2,1,4,1,82,445,1,,0,,,,,,,13,,,,,14,,40,7,19,,88,44,,116,13,1,1,1,1,10,1951-04-26,49,49,07
51LA00519,51,1,1670,2,407,9389,9.0,2,0612,2,20,5,2,1,4,1,29,290,1,,0,,,,,,,13,,,,,13,,29,1,22,,59,,,97,13,1,1,1,1,10,1951-04-07,49,48,07
51LA00520,51,1,6871,3,517,0000,11.8,,0620,2,0,5,2,1,4,1,00,540,1,,0,,,,,,,13,,,,,17,,54,0,06,2,73,07,,137,17,1,1,1,1,10,1951-05-17,49,49,07
51LA00521,51,,,,517,0346,0.0,2,0620,2,23,,2,,,,54,540,1,,0,,,,,,,13,,-,,,14,,54,1,06,1,,,,137,13,1,0,0,0,0,1951-05-17,49,49,07
51LA00522,51,1,1752,2,408,9693,7.4,2,0627,2,11,5,2,1,3,1,42,420,1,,0,,,,,,,13,,,,,13,,42,1,13,,75,,,98,13,1,1,1,1,10,1951-04-08,49,48,07
51LA00523,51,2,1696,2,407,9263,10.4,2,0635,2,22,5,2,1,3,1,25,250,1,,0,2,,,,,16,13,,,,,13,,25,1,09,,72,,,97,13,1,1,1,1,10,1951-04-07,49,48,07
51LA00524,51,,,,510,9389,0.0,2,0641,2,20,,2,,,,29,290,1,,0,,,,,,,13,,-,,,14,,29,1,19,,,,,130,13,1,0,0,0,0,1951-05-10,49,48,07
51LA00525,51,1,1556,2,405,0686,9.0,2,0642,2,18,5,2,1,4,1,44,441,1,,0,,,,,,,13,,,,,13,,44,1,04,,91,,,95,13,1,1,1,1,10,1951-04-05,49,49,07
51LA00526,51,1,1954,2,412,0323,8.0,2,0645,2,17,5,2,1,4,1,53,530,1,,0,,,,,,,13,,,,,13,,53,1,03,,72,,,102,13,1,1,1,1,10,1951-04-12,49,49,07
51LA00527,51,2,0105,2,416,0686,10.0,2,0646,2,22,5,2,1,4,1,44,441,1,,0,,,,,,,13,,,,,14,,44,1,08,,55,,,106,13,1,1,1,1,10,1951-04-16,49,49,07
