UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01430,L5288,03,80,P-2,,,10,1.0,30,L,,0425,8,1,1,9.6,1,1,L7818,03,,0,,,,,,2,L4292,03,30,80,115,,0,0,0,0,1,1,10,83,1,52,178,2,,,0,1991-04-25,91,0.049
91LA01431,L5291,03,81,P-3,,,10,1.0,30,L,,0328,8,2,2,9.0,1,1,L6485,03,,0,,,,,,1,L3587,03,30,81,87,,1,1,1,2,1,1,10,94,1,71,177,1,,,0,1991-03-28,91,0.061
91LA01432,L5291,03,81,P-3,,,10,1.0,30,L,,0328,8,2,3,8.6,1,1,L6486,03,,0,,292463,,,,2,L3587,03,30,81,87,-,0,0,0,0,1,1,5,107,0,82,177,1,,,0,1991-03-28,91,0.061
91LA01433,L5295,03,82,P-5,,,10,1.0,30,L,,0409,8,2,3,5.4,1,1,L6876,03,,0,,,,,,1,L3467,03,30,82,99,,1,1,1,2,1,1,10,85,1,56,177,1,,,0,1991-04-09,91,0.043
91LA01434,L5295,03,82,P-5,,,10,1.0,30,L,,0409,8,2,3,5.8,1,2,L6877,03,6,132,46,,,,,2,L3467,03,30,82,99,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-09,91,0.043
91LA01435,L5299,03,82,P-5,,,10,1.0,30,L,,0328,8,2,2,8.2,1,1,L6490,03,,0,,,,,,1,L3467,03,30,82,87,,1,1,1,2,1,1,10,81,1,61,177,1,,,0,1991-03-28,91,0.045
91LA01436,L5299,03,82,P-5,,,10,1.0,30,L,,0328,8,2,2,7.6,1,1,L6491,03,,0,,,,,,2,L3467,03,30,82,87,,0,0,0,0,1,1,10,72,1,55,177,1,,,0,1991-03-28,91,0.045
91LA01437,L5300,03,82,P-5,,,10,1.0,30,L,,0408,5,3,3,11.1,1,1,L6799,03,,0,,,,,,1,L3467,03,30,82,98,,1,1,1,1,1,1,10,100,1,74,178,2,,,0,1991-04-08,91,0.045
91LA01438,L5301,03,81,P-3,,,10,1.0,30,L,,0401,5,2,2,9.3,1,1,L6543,03,,0,,,,,,1,L3587,03,30,81,91,,1,1,1,1,1,1,10,83,1,60,177,1,,,0,1991-04-01,91,0.086
91LA01439,L5325,03,82,P-6,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L4136,03,30,82,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01440,L5327,03,80,P-2,,,10,1.0,30,L,,0405,5,2,2,10.2,1,1,L6683,03,,0,,,,,,1,L4292,03,30,80,95,,1,1,1,1,1,1,10,88,1,66,178,2,,,0,1991-04-05,91,0.044
91LA01441,L5331,03,81,P-3,,,10,1.0,30,L,,0407,5,1,2,7.9,1,3,L6778,03,,0,,,,,,1,L3587,03,30,81,97,,1,1,1,1,1,1,10,80,1,58,178,2,,,0,1991-04-07,91,0.073
91LA01442,L5349,03,81,P-3,,,10,1.0,30,L,,0331,5,2,2,6.8,1,1,L6535,03,,0,,,VAG.PRO.,**,,1,L3587,03,30,81,90,,1,1,1,1,1,1,10,81,1,60,177,1,,,0,1991-03-31,91,0.067
91LA01443,L5355,03,81,P-3,,,10,1.0,30,L,,0326,2,2,,0.0,,,,,0,85,,130810,DYSTOCIA,**,,1,L3587,03,30,81,85,+,1,1,1,2,0,0,5,0,0,0,0,,,,0,1991-03-26,91,0.0
