UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00801,58,2,4430,2,25,250,2082,14,2,12,1,4,,2,07,,1,103,5,,0,3,,,00,,,,,4,14,2930,2,14,86,25,1,2,,9.8,,,,,1,1,1,1,1,10,1958-04-13
58LA00802,58,2,4501,2,46,461,2097,14,2,27,1,4,,1,07,,1,106,5,,108,4,,,24,5200,11,+,1,4,14,1994,2,14,,46,1,1,,10.8,,6,,,1,1,1,1,1,0,1958-04-16
58LA00803,58,,,,22,220,2117,14,2,33,1,4,,,07,,,73,,,0,,,6,33,,,,,4,14,3302,2,14,,22,1,,,0.0,,,,,1,0,0,0,0,0,1958-03-14
58LA00804,58,1,,,45,450,2122,14,2,17,1,4,,1,07,,1,96,1,,0,2,,,00,9235,17,+,3,4,14,2926,2,14,,45,1,3,,8.0,,1,0,,1,1,1,1,0,0,1958-04-06
58LA00805,58,1,,,35,350,2131,14,2,24,1,4,,1,07,,1,91,0,,0,2,,,09,,,,2,4,14,3327,2,14,,35,1,2,,10.6,,0,1,,1,1,1,1,0,0,1958-04-01
58LA00806,58,2,,,22,220,2142,14,2,33,1,4,,1,07,,1,93,1,,0,3,,,31,5059,11,+,1,4,14,3302,2,14,,22,1,1,,7.2,,1,0,,1,1,1,1,0,0,1958-04-03
58LA00807,58,1,4337,2,40,401,2149,14,2,20,1,4,,1,07,,1,100,5,,0,4,,,12,,,,5,4,14,2435,2,14,80,40,1,,,11.6,,,,,1,1,1,1,1,10,1958-04-10
58LA00808,58,1,4300,2,39,391,2151,14,2,33,1,4,09,1,07,,1,98,5,,0,4,,,14,,,,3,4,14,0396,2,14,66,39,1,,,11.4,,,0,,1,1,1,1,1,10,1958-04-08
58LA00809,58,2,4216,2,44,440,2162,14,2,16,1,4,,1,07,,1,96,8,,0,4,,,13,,,,4,4,14,3220,2,14,65,44,1,,,7.8,,,0,,1,1,1,2,1,10,1958-04-06
58LA00810,58,1,4217,2,44,440,2162,14,2,16,1,4,,1,07,,1,96,8,,230,4,,,13,,,,,4,14,3220,2,14,,44,1,1,,10.6,,7,,,2,1,1,2,1,0,1958-04-06
