AAID,ID10,ETAG,YRREC,PEN,RGRP,LOT,BAND,TRT,BPEN,BGRP,STUDY,STUDYTRT
AA182012454300,2012454300,T4300,2018,33,0,CTL,D,,,,,
AA182012454305,2012454305,T4305,2018,25,0,CTL,1,,,,Term,
AA182012454318,2012454318,T4318,2018,33,0,CTL,2,,,,,
AA182012454320,2012454320,T4320,2018,29,0,CTL,1,,,,,
AA182012454327,2012454327,T4327,2018,25,0,SEL,H,,,,,
AA182012454356,2012454356,T4356,2018,35,0,CTL,2,,,,,
AA182012454358,2012454358,T4358,2018,25,0,SEL,1,,,,,
AA182012454360,2012454360,T4360,2018,33,0,CTL,1,,,,,
AA182012454362,2012454362,T4362,2018,26,0,CTL,,,,,,
AA182012454380,2012454380,T4380,2018,27,0,SEL,2,,,,,
AA182012454389,2012454389,T4389,2018,34,0,CTL,1,,,,,
AA182012454390,2012454390,T4390,2018,34,0,SEL,H,,,,,
AA182012454393,2012454393,T4393,2018,32,0,SEL,H,,,,Term,
AA182012454425,2012454425,T4425,2018,31,0,SEL,2,,,,,
AA182012454426,2012454426,T4426,2018,31,0,CTL,2,,,,,
AA182012454438,2012454438,T4438,2018,33,0,SEL,2,,,,,
AA182012454457,2012454457,T4457,2018,30,0,SEL,2,,,,,
AA182012454462,2012454462,T4462,2018,33,0,CTL,2,,,,,
AA182012454468,2012454468,T4468,2018,28,0,SEL,1,,,,,
AA182012454491,2012454491,T4491,2018,27,0,SEL,2,,,,,
AA182012454506,2012454506,T4506,2018,28,7,CTL,H,,,,Term,
AA182012454510,2012454510,T4510,2018,25,0,CTL,2,,,,,
AA182012454518,2012454518,T4518,2018,31,0,CTL,2,,,,,
AA182012454545,2012454545,T4545,2018,32,0,CTL,2,,,,,
AA182012454557,2012454557,T4557,2018,30,0,CTL,1,,,,,
AA182012454559,2012454559,T4559,2018,26,0,CTL,2,,,,,
AA182012454585,2012454585,T4585,2018,33,0,SEL,2,,,,,
AA182012454600,2012454600,T4600,2018,e25,7,CTL,2,,,,,
AA182012454627,2012454627,T4627,2018,28,0,SEL,D,,,,,
AA182012454645,2012454645,T4645,2018,29,0,SEL,,,,,,
AA182012454675,2012454675,T4675,2018,e21,7,SEL,1,,,,,
AA182012454676,2012454676,T4676,2018,e22,7,CTL,2,,,,,
AA182013454685,2013454685,T4685,2018,43,7,CTL,D,,,,,
AA182013454708,2013454708,T4708,2018,36,0,SEL,2,,,,,
AA182013454733,2013454733,T4733,2018,31,0,SEL,1,,,,,
AA182013454758,2013454758,T4758,2018,41,,CTL,H,,,,Term,
AA182013454787,2013454787,T4787,2018,37,,CTL,H,,,,Term,
AA182013454789,2013454789,T4789,2018,43,,CTL,2,,,,,
AA182013454794,2013454794,T4794,2018,36,,SEL,D,,,,,
AA182013454837,2013454837,T4837,2018,42,0,SEL,1,,,,,
AA182013454849,2013454849,T4849,2018,39,,SEL,2,,,,,
AA182013454865,2013454865,T4865,2018,31,0,SEL,2,,,,,
AA182013454875,2013454875,T4875,2018,39,7,SEL,2,,,,,
AA182013454882,2013454882,T4882,2018,30,0,CTL,H,,,,Term,
AA182013454892,2013454892,T4892,2018,39,,SEL,H,,,,Term,
AA182013454909,2013454909,T4909,2018,41,7,CTL,,,,,,
AA182013454915,2013454915,T4915,2018,31,,SEL,2,,,,,
AA182013454928,2013454928,T4928,2018,40,I,SEL,D,,,,,
AA182013454929,2013454929,T4929,2018,30,7,CTL,1,,,,Term,
AA182013454931,2013454931,T4931,2018,39,0,SEL,H,,,,Term,
AA182013454951,2013454951,T4951,2018,29,,CTL,2,,,,,
AA182013454953,2013454953,T4953,2018,30,0,CTL,2,,,,Term,
AA182013454977,2013454977,T4977,2018,35,I,CTL,H,,,,Term,
AA182013454992,2013454992,T4992,2018,34,,SEL,,,,,,
AA182013454995,2013454995,T4995,2018,43,,CTL,2,,,,,
AA182013455007,2013455007,T5007,2018,31,0,SEL,2,,,,,
AA182013455008,2013455008,T5008,2018,31,0,SEL,2,,,,,
AA182013455012,2013455012,T5012,2018,38,,SEL,1,,,,,
AA182013455013,2013455013,T5013,2018,42,,SEL,2,,,,,
AA182013455020,2013455020,T5020,2018,43,0,CTL,2,,,,,
AA182013455043,2013455043,T5043,2018,44,,CTL,1,,,,Term,
AA182013455044,2013455044,T5044,2018,44,,CTL,2,,,,,
AA182013455046,2013455046,T5046,2018,42,,SEL,H,,,,Term,
AA182013455048,2013455048,T5048,2018,43,0,CTL,1,,,,,
AA182013455124,2013455124,T5124,2018,39,7,SEL,2,,,,,
AA182013455126,2013455126,T5126,2018,40,7,SEL,1,,,,,
AA182013455131,2013455131,T5131,2018,41,,CTL,H,,,,Term,
AA182013455132,2013455132,T5132,2018,32,7,CTL,1,,,,,
AA182013455164,2013455164,T5164,2018,44,7,CTL,1,,,,,
AA182013455165,2013455165,T5165,2018,39,7,SEL,2,,,,Term,
AA182013455166,2013455166,T5166,2018,43,,CTL,1,,,,,
AA182013455182,2013455182,T5182,2018,35,,CTL,2,,,,,
AA182013455184,2013455184,T5184,2018,39,0,SEL,2,,,,,
AA182013455221,2013455221,T5221,2018,39,,SEL,H,,,,Term,
AA182013455247,2013455247,T5247,2018,39,7,SEL,2,,,,,
AA182014455315,2014455315,T5315,2018,e4,I,SEL,2,,,,Term,
AA182014455328,2014455328,T5328,2018,37,,SEL,2,,,,,
AA182014455330,2014455330,T5330,2018,34,,CTL,2,,,,,
AA182014455332,2014455332,T5332,2018,e4,,SEL,2,,,,Term,
AA182014455341,2014455341,T5341,2018,38,0,SEL,1,,,,,
AA182014455343,2014455343,T5343,2018,34,,CTL,1,,,,,
AA182014455346,2014455346,T5346,2018,39,,SEL,2,,,,Term,
AA182014455354,2014455354,T5354,2018,31,0,CTL,H,.,,,,
AA182014455355,2014455355,T5355,2018,33,,CTL,2,,,,Term,
AA182014455357,2014455357,T5357,2018,39,0,SEL,1,.,,,,
AA182014455364,2014455364,T5364,2018,31,0,CTL,2,.,,,,
AA182014455379,2014455379,T5379,2018,e4,,SEL,1,,,,Term,
AA182014455386,2014455386,T5386,2018,39,7,SEL,D,.,,,,
AA182014455398,2014455398,T5398,2018,35,,CTL,2,,,,Term,
AA182014455400,2014455400,T5400,2018,36,,SEL,2,,,,,
AA182014455407,2014455407,T5407,2018,38,7,SEL,1,.,,,,
AA182014455409,2014455409,T5409,2018,36,,SEL,2,,,,,
AA182014455435,2014455435,T5435,2018,32,0,CTL,2,.,,,Term,
AA182014455449,2014455449,T5449,2018,36,,SEL,2,,,,Term,
AA182014455463,2014455463,T5463,2018,39,7,SEL,,,,,,
AA182014455478,2014455478,T5478,2018,35,7,CTL,1,.,,,Term,
AA182014455480,2014455480,T5480,2018,e6,7,CTL,1,,,,Term,
AA182014455481,2014455481,T5481,2018,34,7,CTL,2,.,,,Term,
AA182014455486,2014455486,T5486,2018,38,,SEL,,,,,,
AA182014455490,2014455490,T5490,2018,39,,SEL,2,,,,Term,
AA182014455512,2014455512,T5512,2018,36,0,SEL,2,,,,Term,
AA182014455531,2014455531,T5531,2018,38,0,SEL,1,,,,,
AA182014455543,2014455543,T5543,2018,e4,7,SEL,1,,,,Term,
AA182014455555,2014455555,T5555,2018,38,0,SEL,D,,,,Term,
AA182014455556,2014455556,T5556,2018,38,0,SEL,H,,,,,
AA182014455559,2014455559,T5559,2018,35,0,CTL,1,,,,Term,
AA182014455565,2014455565,T5565,2018,34,0,CTL,2,,,,,
AA182014455567,2014455567,T5567,2018,34,0,CTL,1,,,,Term,
AA182014455568,2014455568,T5568,2018,35,0,CTL,1,,,,,
AA182014455571,2014455571,T5571,2018,39,0,SEL,1,,,,,
AA182014455573,2014455573,T5573,2018,38,0,SEL,1,,,,,
AA182014455586,2014455586,T5586,2018,31,,CTL,1,,,,,
AA182014455589,2014455589,T5589,2018,37,0,SEL,1,.,,,,
AA182014455597,2014455597,T5597,2018,34,0,CTL,2,.,,,,
AA182014455608,2014455608,T5608,2018,39,7,SEL,2,.,,,,
AA182014455611,2014455611,T5611,2018,31,0,CTL,D,.,,,Term,
AA182014455626,2014455626,T5626,2018,37,,SEL,2,,,,Term,
AA182014455638,2014455638,T5638,2018,31,0,CTL,2,,,,,
AA182014455639,2014455639,T5639,2018,e4,,SEL,1,,,,Term,
AA182014455650,2014455650,T5650,2018,30,0,SEL,1,,,,,
AA182014455651,2014455651,T5651,2018,36,0,SEL,H,.,,,,
AA182014455652,2014455652,T5652,2018,36,0,SEL,1,.,,,,
AA182014455657,2014455657,T5657,2018,36,,SEL,1,,,,Term,
AA182014455659,2014455659,T5659,2018,32,,CTL,1,,,,,
AA182014455670,2014455670,T5670,2018,37,0,SEL,2,,,,,
AA182014455674,2014455674,T5674,2018,39,0,SEL,2,,,,,
AA182014455680,2014455680,T5680,2018,e4,7,SEL,D,,,,,
AA182014455684,2014455684,T5684,2018,36,,SEL,2,,,,,
AA182014455690,2014455690,T5690,2018,38,,SEL,D,,,,Term,
AA182014455717,2014455717,T5717,2018,30,0,SEL,D,.,,,,
AA182014455729,2014455729,T5729,2018,31,0,CTL,2,,,,,
AA182014455737,2014455737,T5737,2018,e3,7,SEL,D,,,,,
AA182014455749,2014455749,T5749,2018,37,0,SEL,2,.,,,,
AA182014455756,2014455756,T5756,2018,38,,SEL,2,,,,Term,
AA182014455763,2014455763,T5763,2018,37,0,SEL,2,.,,,,
AA182014455775,2014455775,T5775,2018,39,,SEL,1,,,,Term,
AA182014455779,2014455779,T5779,2018,33,7,CTL,1,.,,,Term,
AA182014455800,2014455800,T5800,2018,e5,0,CTL,D,,,,,
AA182014455801,2014455801,T5801,2018,e6,I,CTL,2,,,,,
AA182014455807,2014455807,T5807,2018,36,0,SEL,2,.,,,,
AA182014455811,2014455811,T5811,2018,e3,0,SEL,2,,,,,
AA182014455817,2014455817,T5817,2018,e6,7,CTL,2,,,,,
AA182015455839,2015455839,T5839,2018,29,,SEL,1,,,,Term,
AA182015455844,2015455844,T5844,2018,30,7,CTL,1,.,,,,
AA182015455859,2015455859,T5859,2018,29,7,SEL,1,,,,,
AA182015455861,2015455861,T5861,2018,35,7,GRN,D,,,,,
AA182015455862,2015455862,T5862,2018,36,,SEL,D,,,,,
AA182015455877,2015455877,T5877,2018,36,0,SEL,,,,,,
AA182015455898,2015455898,T5898,2018,31,,SEL,D,,,,,
AA182015455899,2015455899,T5899,2018,28,,CTL,D,,,,Term,
AA182015455928,2015455928,T5928,2018,31,7,SEL,2,,,,,
AA182015455929,2015455929,T5929,2018,36,0,SEL,H,,,,,
AA182015455935,2015455935,T5935,2018,29,,SEL,,,,,,
AA182015455955,2015455955,T5955,2018,32,7,CTL,D,,,,,
AA182015455959,2015455959,T5959,2018,28,0,CTL,2,,,,,
AA182015455964,2015455964,T5964,2018,29,,GRN,D,,,,,
AA182015455971,2015455971,T5971,2018,32,0,CTL,1,,,,,
AA182015455986,2015455986,T5986,2018,36,,SEL,D,,,,,
AA182015455999,2015455999,T5999,2018,29,7,SEL,H,.,,,,
AA182015456002,2015456002,T6002,2018,31,7,SEL,1,.,,,,
AA182015456003,2015456003,T6003,2018,32,0,CTL,2,,,,,
AA182015456019,2015456019,T6019,2018,27,0,SEL,1,.,,,,
AA182015456020,2015456020,T6020,2018,35,0,CTL,2,.,,,,
AA182015456026,2015456026,T6026,2018,32,,CTL,1,,,,,
AA182015456034,2015456034,T6034,2018,30,7,CTL,1,.,,,,
AA182015456048,2015456048,T6048,2018,31,0,SEL,1,,,,,
AA182015456065,2015456065,T6065,2018,32,,CTL,D,,,,,
AA182015456083,2015456083,T6083,2018,30,7,CTL,1,,,,,
AA182015456092,2015456092,T6092,2018,36,0,GRN,1,,,,,
AA182015456093,2015456093,T6093,2018,35,0,CTL,M,,,,,
AA182015456099,2015456099,T6099,2018,35,0,CTL,1,,,,,
AA182015456106,2015456106,T6106,2018,33,,GRN,H,,,,,
AA182015456110,2015456110,T6110,2018,30,0,CTL,1,,,,Term,
AA182015456144,2015456144,T6144,2018,32,0,GRN,2,,,,,
AA182015456148,2015456148,T6148,2018,30,7,CTL,1,,,,,
AA182015456181,2015456181,T6181,2018,30,0,CTL,1,,,,,
AA182015456185,2015456185,T6185,2018,34,0,SEL,D,,,,,
AA182015456197,2015456197,T6197,2018,27,,SEL,1,,,,,
AA182015456202,2015456202,T6202,2018,36,,SEL,1,,,,Term,
AA182015456203,2015456203,T6203,2018,e21,,CTL,2,,,,,
AA182015456205,2015456205,T6205,2018,34,0,SEL,2,,,,Term,
AA182015456208,2015456208,T6208,2018,29,,SEL,1,,,,,
AA182015456209,2015456209,T6209,2018,30,0,CTL,2,,,,,
AA182015456224,2015456224,T6224,2018,28,7,CTL,1,,,,Term,
AA182015456234,2015456234,T6234,2018,32,0,CTL,2,,,,,
AA182015456238,2015456238,T6238,2018,36,7,SEL,2,.,,,,
AA182015456239,2015456239,T6239,2018,28,0,CTL,2,,,,,
AA182015456240,2015456240,T6240,2018,34,7,SEL,2,.,,,,
AA182015456243,2015456243,T6243,2018,27,0,SEL,D,,,,Term,
AA182015456249,2015456249,T6249,2018,e20,7,SEL,1,,,,Term,
AA182015456254,2015456254,T6254,2018,e20,,SEL,2,,,,Term,
AA182015456257,2015456257,T6257,2018,31,0,GRN,1,.,,,Term,
AA182015456259,2015456259,T6259,2018,e21,,CTL,1,,,,,
AA182015456271,2015456271,T6271,2018,29,0,SEL,2,,,,Term,
AA182015456274,2015456274,T6274,2018,e19,0,CTL,1,.,,,Term,
AA182015456284,2015456284,T6284,2018,e20,0,SEL,2,,,,Term,
AA182015456291,2015456291,T6291,2018,e22,0,SEL,2,,,,,
AA182014006297,2014006297,T6297,2018,,,,M,,,,,
AA182014006299,2014006299,T6299,2018,,,,M,,,,,
AA182014006300,2014006300,T6300,2018,,,,M,,,,,
AA182016456306,2016456306,T6306,2018,62,0,,2,,,,Term,
AA182016456310,2016456310,T6310,2018,58,0,,2,,,,,
AA182016456311,2016456311,T6311,2018,62,,,2,,,,Term,
AA182016456313,2016456313,T6313,2018,57,0,,M,,,,,
AA182016456314,2016456314,T6314,2018,57,0,,2,,,,,
AA182016456315,2016456315,T6315,2018,58,7,,2,,,,,
AA182016456320,2016456320,T6320,2018,64,,,1,,,,Term,
AA182016456321,2016456321,T6321,2018,60,0,,2,,,,,
AA182016456322,2016456322,T6322,2018,57,0,,1,,,,Term,
AA182016456324,2016456324,T6324,2018,60,,,M,,,,UWyo,
AA182016456328,2016456328,T6328,2018,59,0,,1,,,,,
AA182016456334,2016456334,T6334,2018,63,0,,M,,,,UWyo,
AA182016456337,2016456337,T6337,2018,55,0,,D,,,,,
AA182016456340,2016456340,T6340,2018,65,0,,2,,,,,
AA182016456342,2016456342,T6342,2018,57,I,,M,,,,,
AA182016456345,2016456345,T6345,2018,60,I,,1,,,,,
AA182016456346,2016456346,T6346,2018,61,0,,M,,,,,
AA182016456347,2016456347,T6347,2018,61,0,,2,,,,,
AA182016456349,2016456349,T6349,2018,58,,,M,,,,UWyo,
AA182016456352,2016456352,T6352,2018,65,7,,2,,,,Term,
AA182016456354,2016456354,T6354,2018,55,,,D,,,,Term,
AA182016456355,2016456355,T6355,2018,60,0,,2,,,,,
AA182016456356,2016456356,T6356,2018,62,0,,1,,,,,
AA182016456364,2016456364,T6364,2018,65,0,,2,,,,Term,
AA182016456366,2016456366,T6366,2018,57,7,,2,,,,,
AA182016456367,2016456367,T6367,2018,57,7,,M,,,,,
AA182016456369,2016456369,T6369,2018,55,7,,1,,,,Term,
AA182016456370,2016456370,T6370,2018,55,7,,1,,,,,
AA182016456371,2016456371,T6371,2018,63,0,,D,,,,Term,
AA182016456374,2016456374,T6374,2018,61,,,1,,,,Term,
AA182016456386,2016456386,T6386,2018,55,0,,2,,,,,
AA182016456387,2016456387,T6387,2018,58,7,,1,,,,,
AA182016456389,2016456389,T6389,2018,58,,,1,,,,Term,
AA182016456392,2016456392,T6392,2018,58,,,1,,,,,
AA182016456394,2016456394,T6394,2018,54,,,D,,,,Term,
AA182016456395,2016456395,T6395,2018,60,0,,2,,,,Term,
AA182016456397,2016456397,T6397,2018,60,0,,1,,,,,
AA182016456401,2016456401,T6401,2018,59,0,,M,,,,UWyo,
AA182016456404,2016456404,T6404,2018,56,0,,2,,,,,
AA182016456406,2016456406,T6406,2018,64,0,,M,,,,UWyo,
AA182016456410,2016456410,T6410,2018,56,,,M,,,,UWyo,
AA182016456413,2016456413,T6413,2018,63,7,,2,,,,,
AA182016456418,2016456418,T6418,2018,e13,0,,1,,,,,
AA182016456428,2016456428,T6428,2018,57,0,,1,,,,,
AA182016456429,2016456429,T6429,2018,57,7,,1,,,,Term,
AA182016456431,2016456431,T6431,2018,65,,,2,,,,,
AA182016456436,2016456436,T6436,2018,56,,,1,,,,,
AA182016456439,2016456439,T6439,2018,56,0,,2,,,,,
AA182016456445,2016456445,T6445,2018,62,0,,M,,,,,
AA182016456446,2016456446,T6446,2018,63,,,2,,,,Term,
AA182016456447,2016456447,T6447,2018,56,7,,D,,,,,
AA182016456454,2016456454,T6454,2018,65,0,,D,,,,,
AA182016456459,2016456459,T6459,2018,59,0,,M,,,,UWyo,
AA182016456464,2016456464,T6464,2018,54,0,,1,,,,,
AA182016456466,2016456466,T6466,2018,63,0,,2,,,,,
AA182016456467,2016456467,T6467,2018,63,0,,1,,,,,
AA182016456469,2016456469,T6469,2018,56,,,2,,,,,
AA182016456475,2016456475,T6475,2018,62,0,,1,,,,Term,
AA182016456476,2016456476,T6476,2018,65,0,,2,,,,,
AA182016456479,2016456479,T6479,2018,56,7,,1,,,,,
AA182016456482,2016456482,T6482,2018,55,7,,2,,,,,
AA182016456483,2016456483,T6483,2018,54,,,2,,,,,
AA182016456486,2016456486,T6486,2018,54,0,,2,,,,,
AA182016456495,2016456495,T6495,2018,59,0,,1,,,,Term,
AA182016456498,2016456498,T6498,2018,56,7,,2,,,,,
AA182016456499,2016456499,T6499,2018,56,7,,1,,,,,
AA182016456502,2016456502,T6502,2018,57,,,M,,,,,
AA182016456503,2016456503,T6503,2018,61,0,,1,,,,,
AA182016456505,2016456505,T6505,2018,58,0,,,,,,,
AA182016456506,2016456506,T6506,2018,58,0,,2,,,,,
AA182016456509,2016456509,T6509,2018,57,,,2,,,,,
AA182016456510,2016456510,T6510,2018,57,,,2,,,,,
AA182016456511,2016456511,T6511,2018,55,0,,1,,,,,
AA182016456516,2016456516,T6516,2018,61,,,M,,,,UWyo,
AA182016456518,2016456518,T6518,2018,54,0,,D,,,,Term,
AA182016456519,2016456519,T6519,2018,55,,,D,,,,Term,
AA182016456522,2016456522,T6522,2018,55,0,,1,,,,,
AA182016456524,2016456524,T6524,2018,59,0,,2,,,,,
AA182016456525,2016456525,T6525,2018,58,,,1,,,,,
AA182016456529,2016456529,T6529,2018,65,0,,2,,,,,
AA182016456536,2016456536,T6536,2018,61,7,,1,,,,,
AA182016456537,2016456537,T6537,2018,59,0,,2,,,,,
AA182016456538,2016456538,T6538,2018,59,0,,2,,,,,
AA182016456541,2016456541,T6541,2018,58,0,,2,,,,Term,
AA182016456545,2016456545,T6545,2018,57,0,,2,,,,,
AA182016456556,2016456556,T6556,2018,57,,,M,,,,,
AA182016456560,2016456560,T6560,2018,65,0,,1,,,,Term,
AA182016456567,2016456567,T6567,2018,59,0,,2,,,,,
AA182016456568,2016456568,T6568,2018,58,7,,2,,,,,
AA182016456569,2016456569,T6569,2018,58,7,,D,,,,,
AA182016456572,2016456572,T6572,2018,e12,0,,D,,,,Term,
AA182016006578,2016006578,T6578,2018,,,,M,,,,,
AA182015006580,2015006580,T6580,2018,,,,M,,,,,
AA182016006581,2016006581,T6581,2018,,,,M,,,,,
AA182016006582,2016006582,T6582,2018,,,,M,,,,,
AA182016006883,2016006883,T6883,2018,,,,M,,,,,
AA182016006884,2016006884,T6884,2018,,,,M,,,,,
AA182016006885,2016006885,T6885,2018,,,,M,,,,,
AA182016006886,2016006886,T6886,2018,,,,M,,,,,
AA182011830072,2011830072,Z0072,2018,25,0,TC,D,.,,,Sync,
AA182011830078,2011830078,Z0078,2018,11,0,.,H,.,,,Sync,
AA182011830115,2011830115,Z0115,2018,08,0,.,H,.,,,,
AA182011830220,2011830220,Z0220,2018,06,0,Ter,H,.,,,,
AA182011830283,2011830283,Z0283,2018,25,0,.,H,.,,,,
AA182011830296,2011830296,Z0296,2018,BRT,7,BRT,2,.,,,,
AA182011830317,2011830317,Z0317,2018,73,7,HMP,H,.,,,Sync,
AA182011830375,2011830375,Z0375,2018,02,0,Ter,H,.,,,Sync,
AA182011830420,2011830420,Z0420,2018,73,7,HMP,1,.,,,Sync,
AA182011830449,2011830449,Z0449,2018,73,7,HMP,H,.,,,Sync,
AA182011830452,2011830452,Z0452,2018,23,0,.,H,.,,,,
AA182011830480,2011830480,Z0480,2018,73,7,HMP,H,.,,,Sync,
AA182011830637,2011830637,Z0637,2018,73,7,HMP,H,.,,,Sync,
AA182011830669,2011830669,Z0669,2018,73,7,HMP,,.,,,Sync,
AA182011830673,2011830673,Z0673,2018,73,7,HMP,,.,,,Sync,
AA182011830712,2011830712,Z0712,2018,73,7,HMP,D,.,,,Sync,
AA182011830851,2011830851,Z0851,2018,e5,0,.,H,.,,,,
AA182012830880,2012830880,Z0880,2018,22,0,OR,H,,,,,
AA182012830978,2012830978,Z0978,2018,22,0,OR,H,,,,,
AA182012830984,2012830984,Z0984,2018,24,0,,H,,,,Sync,
AA182012830990,2012830990,Z0990,2018,04,0,.,D,,,,,
AA182012831008,2012831008,Z1008,2018,23,0,OR,H,,,,Sync,
AA182012831011,2012831011,Z1011,2018,01,0,.,D,,,,Sync,
AA182012831036,2012831036,Z1036,2018,22,0,OR,H,,,,,
AA182012831042,2012831042,Z1042,2018,23,0,OR,H,,,,,
AA182012831057,2012831057,Z1057,2018,03,0,.,H,,,,,
AA182012831063,2012831063,Z1063,2018,21,0,OR,D,,,,,
AA182012831078,2012831078,Z1078,2018,22,0,OR,H,,,,,
AA182012831079,2012831079,Z1079,2018,22,0,OR,H,,,,,
AA182012831102,2012831102,Z1102,2018,01,0,.,H,,,,Sync,
AA182012831124,2012831124,Z1124,2018,23,0,OR,H,,,,,
AA182012831144,2012831144,Z1144,2018,01,0,.,H,,,,Sync,
AA182012831183,2012831183,Z1183,2018,23,0,OR,H,,,,,
AA182012831225,2012831225,Z1225,2018,03,0,.,H,,,,,
AA182012831297,2012831297,Z1297,2018,02,0,.,H,,,,,
AA182012831399,2012831399,Z1399,2018,e6,0,.,H,,,,,
AA182013831473,2013831473,Z1473,2018,09,0,B3G,H,,,,,
AA182013831482,2013831482,Z1482,2018,08,,B3G,H,,,,,
AA182013831492,2013831492,Z1492,2018,26,0,,H,,,,Sync,
AA182013831523,2013831523,Z1523,2018,04,0,B3G,D,,,,,
AA182013831532,2013831532,Z1532,2018,10,,,H,,,,,
AA182013831549,2013831549,Z1549,2018,07,0,B3G,H,,,,,
AA182013831577,2013831577,Z1577,2018,08,0,B3G,H,,,,,
AA182013831580,2013831580,Z1580,2018,26,0,,H,,,,Sync,
AA182013831584,2013831584,Z1584,2018,07,0,B3G,H,,,,,
AA182013831604,2013831604,Z1604,2018,03,0,,H,,,,,
AA182013831610,2013831610,Z1610,2018,05,,,1,,,,Sync,
AA182013831611,2013831611,Z1611,2018,11,0,GRN,D,,,,Sync,
AA182013831613,2013831613,Z1613,2018,09,0,B3G,H,,,,,
AA182013831614,2013831614,Z1614,2018,23,0,,H,,,,Sync,
AA182013831622,2013831622,Z1622,2018,10,0,GRN,H,,,,,
AA182013831630,2013831630,Z1630,2018,23,0,GRN,,,,,,
AA182013831638,2013831638,Z1638,2018,07,0,B3G,H,,,,,
AA182013831648,2013831648,Z1648,2018,06,0,B3G,H,,,,,
AA182013831663,2013831663,Z1663,2018,23,,,H,,,,Sync,
AA182013831688,2013831688,Z1688,2018,22,0,,D,,,,Sync,
AA182013831730,2013831730,Z1730,2018,06,0,B3G,H,,,,,
AA182013831746,2013831746,Z1746,2018,22,0,GRN,H,,,,Sync,
AA182013831766,2013831766,Z1766,2018,05,,B3G,H,,,,,
AA182013831767,2013831767,Z1767,2018,03,0,,H,,,,,
AA182013831774,2013831774,Z1774,2018,23,0,,H,,,,Sync,
AA182013831814,2013831814,Z1814,2018,26,,,H,,,,Sync,
AA182013831834,2013831834,Z1834,2018,03,0,,H,,,,,
AA182013832028,2013832028,Z2028,2018,e1,0,,,,,,,
AA182014832267,2014832267,Z2267,2018,07,0,GRN,H,.,,,,
AA182014832274,2014832274,Z2274,2018,02,,B3G,H,,,,,
AA182014832277,2014832277,Z2277,2018,08,0,GRN,H,.,,,,
AA182014832278,2014832278,Z2278,2018,08,0,GRN,H,.,,,,
AA182014832283,2014832283,Z2283,2018,07,0,GRN,H,.,,,,
AA182014832294,2014832294,Z2294,2018,03,0,OR,H,.,,,,
AA182014832307,2014832307,Z2307,2018,09,0,GRN,H,.,,,,
AA182014832318,2014832318,Z2318,2018,03,0,OR,D,.,,,,
AA182014832321,2014832321,Z2321,2018,09,0,GRN,D,.,,,,
AA182014832322,2014832322,Z2322,2018,07,,GRN,H,,,,,
AA182014832336,2014832336,Z2336,2018,BL,0,BLK,2,,,,,
AA182014832346,2014832346,Z2346,2018,07,0,GRN,H,.,,,,
AA182014832415,2014832415,Z2415,2018,02,0,B3G,H,.,,,,
AA182014832424,2014832424,Z2424,2018,09,0,GRN,H,.,,,,
AA182014832428,2014832428,Z2428,2018,04,0,OR,H,.,,,,
AA182014832430,2014832430,Z2430,2018,BL,0,BLK,1,.,,,,
AA182014832467,2014832467,Z2467,2018,09,,GRN,H,,,,,
AA182014832476,2014832476,Z2476,2018,04,0,OR,H,.,,,,
AA182014832544,2014832544,Z2544,2018,04,0,OR,M,,,,,
AA182014832573,2014832573,Z2573,2018,e10,0,GRN,H,,,,,
AA182014832584,2014832584,Z2584,2018,09,,GRN,H,,,,,
AA182014832592,2014832592,Z2592,2018,28,0,OR,H,.,,,,
AA182014832642,2014832642,Z2642,2018,e2,0,OR,H,,,,,
AA182014832670,2014832670,Z2670,2018,e2,0,OR,H,,,,,
AA182015832676,2015832676,Z2676,2018,e10,7,,H,,,,,
AA182015832682,2015832682,Z2682,2018,12,0,,M,,,,,
AA182015832684,2015832684,Z2684,2018,BL,7,BRT,1,.,,,,
AA182015832699,2015832699,Z2699,2018,12,0,,H,.,,,,
AA182015832702,2015832702,Z2702,2018,11,0,,H,.,,,,
AA182015832708,2015832708,Z2708,2018,19,7,CTL,2,,,,,
AA182015832710,2015832710,Z2710,2018,12,0,,H,,,,,
AA182015832723,2015832723,Z2723,2018,10,,,M,,,,,
AA182015832738,2015832738,Z2738,2018,10,0,,H,,,,,
AA182015832739,2015832739,Z2739,2018,30,,GRN,2,,,,,
AA182015832740,2015832740,Z2740,2018,30,,GRN,2,,,,,
AA182015832747,2015832747,Z2747,2018,12,0,,M,,,,,
AA182015832748,2015832748,Z2748,2018,12,0,,M,,,,,
AA182015832749,2015832749,Z2749,2018,21,7,CTL,1,.,,,,
AA182015832763,2015832763,Z2763,2018,10,0,,D,,,,,
AA182015832765,2015832765,Z2765,2018,e11,,,M,,,,,
AA182015832771,2015832771,Z2771,2018,21,0,SEL,2,,,,,
AA182015832775,2015832775,Z2775,2018,11,0,,M,,,,,
AA182015832776,2015832776,Z2776,2018,11,0,,H,,,,,
AA182015832778,2015832778,Z2778,2018,19,0,GRN,2,,,,,
AA182015832785,2015832785,Z2785,2018,10,0,,D,,,,,
AA182015832792,2015832792,Z2792,2018,10,0,,D,,,,,
AA182015832797,2015832797,Z2797,2018,e10,0,,M,.,,,,
AA182015832799,2015832799,Z2799,2018,BL,0,,1,.,,,,
AA182015832831,2015832831,Z2831,2018,11,0,,H,,,,,
