id10,brd,sex
US83137167,13,1
US64136901,13,1
US82137175,13,1
US83130707,13,1
US83138766,13,1
2011119101,11,1
2011830785,83,1
US64136977,13,1
US83139061,13,1
2010055934,05,1
US83136916,13,1
US70130620,13,1
US83136685,13,1
US83130728,13,1
2012454177,45,1
US82136885,13,1
2011700482,70,1
2011453802,45,1
US82130666,13,1
US82130361,13,1
US82137216,13,1
2011700277,70,1
US83131275,13,1
US83130332,13,1
US82137033,13,1
US83136632,13,1
US83139080,13,1
2011453685,45,1
2010118421,11,1
US83137121,13,1
US45134646,13,1
US83131209,13,1
US82138765,13,1
US82136882,13,1
US82139120,13,1
US83130782,13,1
US83139037,13,1
2011118832,11,1
2011119071,11,1
US.0130000,13,1
US64138918,13,1
US82138681,13,1
2011700289,70,1
US82139060,13,1
US82130427,13,1
US82130530,13,1
US82137041,13,1
US82139053,13,1
US83138678,13,1
US11138993,13,1
US82138663,13,1
US82136845,13,1
US82139063,13,1
US64138886,13,1
US64138952,13,1
US64148888,14,1
2012119420,11,1
US83131291,13,1
US82138881,13,1
US82139068,13,1
US82130732,13,1
US82136925,13,1
US82130590,13,1
US82138880,13,1
US82137253,13,1
US64137379,13,1
US82139076,13,1
US82130422,13,1
US82130568,13,1
US64139026,13,1
US83136884,13,1
US64139109,13,1
US83138790,13,1
US82138931,13,1
2011118986,11,1
US64136747,13,1
US82138861,13,1
US82137191,13,1
US83138883,13,1
US83138798,13,1
US82139030,13,1
US83130740,13,1
US82138922,13,1
US82130243,13,1
US82138857,13,1
US83138682,13,1
US82138739,13,1
US82130579,13,1
US45134146,13,1
US82138718,13,1
US82138899,13,1
US82134826,13,1
US82133923,13,1
US83139114,13,1
US64139057,13,1
2011118760,11,1
US82134013,13,1
2011118715,11,1
US82137076,13,1
US64130385,13,1
US82133760,13,1
US82133979,13,1
US82137168,13,1
US82138722,13,1
US82130700,13,1
US82139069,13,1
US82138697,13,1
US82133728,13,1
US64137341,13,1
US64139031,13,1
US82138734,13,1
US83136900,13,1
US64138758,13,1
US82139875,13,1
US82134834,13,1
US82133562,13,1
US82137377,13,1
US82133738,13,1
2011830002,83,1
US82136849,13,1
US45134116,13,1
US82133719,13,1
US82133789,13,1
US82130751,13,1
2012119194,11,1
US82138658,13,1
2012119205,11,1
US82141335,14,1
US82133930,13,1
US82131358,13,1
US82130670,13,1
US82130476,13,1
US82130625,13,1
US82133772,13,1
US82133678,13,1
US82131026,13,1
US82131375,13,1
US82133541,13,1
US82130436,13,1
US82133587,13,1
US82130577,13,1
US82133679,13,1
US45133602,13,1
US82134030,13,1
US82133815,13,1
2013831702,83,1
2013831788,83,1
US83151611,15,1
US70140993,14,1
US83151807,15,1
US83141713,14,1
US83149585,14,1
2013831823,83,1
2012057424,05,1
