id10,sex,breed,etag,first_seen_row
2003050671,2,05,H0671,10PE00323
2009055239,2,05,H5239,10PE00326
2006052379,2,05,H2379,10PE00327
2007052972,2,05,H2972,10PE00329
2007053671,2,05,H3671,10PE00331
2006052730,2,05,H2730,10PE00332
2005051862,2,05,H1862,10PE00333
2005051527,2,05,H1527,10PE00335
2008054173,2,05,H4173,10PE00337
2008053760,2,05,H3760,10PE00338
2005051571,2,05,H1571,10PE00340
2007053420,2,05,H3420,10PE00342
2005051478,2,05,H1478,10PE00344
2007053479,2,05,H3479,10PE00347
2008054257,2,05,H4257,10PE00348
2007053622,2,05,H3622,10PE00349
2006052855,2,05,H2855,10PE00350
2005051633,2,05,H1633,10PE00353
2008054490,2,05,H4490,10PE00356
2006052267,2,05,H2267,10PE00359
2006052439,2,05,H2439,10PE00361
2009055141,2,05,H5141,10PE00363
2009055173,2,05,H5173,10PE00365
2008054471,2,05,H4471,10PE00366
2005051490,2,05,H1490,10PE00367
2006052853,2,05,H2853,10PE00370
2008053846,2,05,H3846,10PE00371
2007053116,2,05,H3116,10PE00373
2006052638,2,05,H2638,10PE00375
2006052790,2,05,H2790,10PE00377
2005052150,2,05,H2150,10PE00380
2005051727,2,05,H1727,10PE00382
2006052219,2,05,H2219,10PE00385
2008054429,2,05,H4429,10PE00387
2008054114,2,05,H4114,10PE00389
2005051696,2,05,H1696,10PE00392
2004050951,2,05,H0951,10PE00394
2008054399,2,05,H4399,10PE00397
2008053819,2,05,H3819,10PE00400
2005051515,2,05,H1515,10PE00403
2004051240,2,05,H1240,10PE00405
2007053242,2,05,H3242,10PE00408
2006052897,2,05,H2897,10PE00410
2005051857,2,05,H1857,10PE00412
2009055486,2,05,H5486,10PE00416
2007053056,2,05,H3056,10PE00417
2009055194,2,05,H5194,10PE00418
2009054824,2,05,H4824,10PE00420
2006052522,2,05,H2522,10PE00421
2007053490,2,05,H3490,10PE00424
2008053993,2,05,H3993,10PE00426
2008054122,2,05,H4122,10PE00427
2007053023,2,05,H3023,10PE00429
2006052704,2,05,H2704,10PE00431
2008054166,2,05,H4166,10PE00433
2009055231,2,05,H5231,10PE00434
2009055004,2,05,H5004,10PE00435
2007053184,2,05,H3184,10PE00437
2009055399,2,05,H5399,10PE00439
2004051160,2,05,H1160,10PE00440
2009055408,2,05,H5408,10PE00442
2007052973,2,05,H2973,10PE00443
2006052664,2,05,H2664,10PE00446
2004051312,2,05,H1312,10PE00448
2009055006,2,05,H5006,10PE00450
2006052892,2,05,H2892,10PE00451
2008054308,2,05,H4308,10PE00454
2007053404,2,05,H3404,10PE00457
2009055431,2,05,H5431,10PE00459
2007053225,2,05,H3225,10PE00461
2007052932,2,05,H2932,10PE00462
2006052798,2,05,H2798,10PE00464
2004051134,2,05,H1134,10PE00466
2005051809,2,05,H1809,10PE00468
2007053499,2,05,H3499,10PE00469
2004051231,2,05,H1231,10PE00471
2009055295,2,05,H5295,10PE00473
2008053805,2,05,H3805,10PE00474
2005051732,2,05,H1732,10PE00476
2007053491,2,05,H3491,10PE00478
2009054591,2,05,H4591,10PE00480
2008053812,2,05,H3812,10PE00482
2007053483,2,05,H3483,10PE00484
2007053389,2,05,H3389,10PE00486
2007053621,2,05,H3621,10PE00488
2008054116,2,05,H4116,10PE00490
2007053720,2,05,H3720,10PE00492
2006052895,2,05,H2895,10PE00495
2008053887,2,05,H3887,10PE00496
2005052132,2,05,H2132,10PE00498
2006052450,2,05,H2450,10PE00499
2009055375,2,05,H5375,10PE00501
2007053027,2,05,H3027,10PE00502
2003050639,2,05,H0639,10PE00504
2008053990,2,05,H3990,10PE00505
2006052371,2,05,H2371,10PE00507
2008054255,2,05,H4255,10PE00509
2005051725,2,05,H1725,10PE00511
2006052838,2,05,H2838,10PE00513
2005051610,2,05,H1610,10PE00514
2007053520,2,05,H3520,10PE00517
2005051393,2,05,H1393,10PE00520
2005051500,2,05,H1500,10PE00523
2009054920,2,05,H4920,10PE00526
2007053224,2,05,H3224,10PE00527
2004051044,2,05,H1044,10PE00529
2008054519,2,05,H4519,10PE00531
2007053523,2,05,H3523,10PE00533
2009054936,2,05,H4936,10PE00535
2007053233,2,05,H3233,10PE00536
2006052217,2,05,H2217,10PE00538
2005051806,2,05,H1806,10PE00541
