NOTEID,ID10,NOTE,YR,DAY
NOTEL10LA02682,2010056076,HAIRY,10,97
NOTEL10LA02683,2010056077,.,10,97
NOTEL10LA02684,2010056078,.,10,97
NOTEL10LA02685,2010056079,.,10,97
NOTEL10LA02686,2010056080,H.4,10,97
NOTEL10LA02687,2010056081,NICE LAMB,10,97
NOTEL10LA02688,2010056082,HINDLEGISSUE,10,97
NOTEL10LA02689,2010056083,.,10,97
NOTEL10LA02690,2010056084,1ST.N,10,97
NOTEL10LA02691,2010056085,2ND.N RED DOT,10,97
NOTEL10LA02694,2010056086,RRLAME BRK?,10,97
NOTEL10LA02695,2010056087,4TEATS,10,97
NOTEL10LA02700,2010056088,PINK,10,97
NOTEL10LA02701,2010056089,H.4,10,97
NOTEL10LA02704,2010056090,.,10,97
NOTEL10LA02711,2010056091,.,10,97
NOTEL10LA02712,2010056092,P  8BRKRIBS,10,97
NOTEL10LA02720,2010056093,.,10,97
NOTEL10LA02721,2010056094,.,10,97
NOTEL10LA02722,2010056095,PINK,10,97
NOTEL10LA02723,2010056096,PINK,10,97
NOTEL10LA02724,2010056097,.,10,97
NOTEL10LA02725,2010056098,.,10,97
NOTEL10LA02730,2010056099,CROOKEDLEGS,10,97
NOTEL10LA02731,2010056100,.,10,97
NOTEL10LA02732,2010056101,HAIRY,10,97
NOTEL10LA02737,2010056102,.,10,97
NOTEL10LA02738,2010056103,.,10,97
NOTEL10LA02739,2010056104,.,10,97
NOTEL10LA02749,2010056105,.,10,97
