UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00056,A4898,04,97,2,73,30,4,H,2,2,4.5,M,249,72,94,0.662,233,148,71,0.452,3.2,3.2,62,8.0,8.0,0.0343,23.96,4.13,17.3,60,2,1,1-,2.19,149.3,A2652,04,A1705,04,254,193,0.451,2.5,KNOT L.CORD,2,-FL,123,100,-,S4,AAA,100.0,43-,,,,,,,,,,4,_____,4,8,8,2000
00RA00057,A4920,04,97,2,73,30,10,H,2,2,4.5,M,251,76,92,0.714,203,131,71,0.327,3.5,3.5,60,8.6,8.6,0.0424,27.26,4.73,17.4,56,1,1,3+,2.32,125.5,A2698,04,A1579,04,224,193,0.352,2.5,,3,-FL,106,104,,S1,A,96.4,44-,,,,,,,,,,0,,4,9,6,2000
00RA00058,A5024,04,98,1,82,30,31,C,3,3,4.0,M,97,75,120,0.539,189,152,71,0.262,3.5,3.5,60,8.6,8.6,0.0455,26.49,4.9,18.5,56,1,1,2,2.32,157.9,A2883,04,A2286,04,217,193,0.322,2.0,,2,CTL,106,95,-,S3,AA,100.0,107,,,,,,,,,,3,_____,4,9,8,2000
00RA00059,A5033,04,98,1,82,30,25,C,1,1,3.0,M,98,111,119,0.825,214,187,71,0.259,3.3,3.3,58,10.4,10.4,0.0486,26.53,4.85,18.3,56,1,1,2-,2.14,132.9,A2854,04,A2877,04,244,193,0.298,2.0,TB1,3,CTL,98,103,,S0,B,0.0,,,,,,,,,,,0,,3,6,4,2000
00RA00060,A5082,04,98,1,82,30,21,C,3,1,5.0,M,100,102,117,0.778,196,162,71,0.204,3.6,3.6,56,9.8,9.8,0.05,29.94,5.37,18.0,50,2,1,2+,2.3,150.8,A2978,04,A1452,04,232,193,0.275,2.0,"H2,SAVE",2,CTL,104,100,-,S2,AA,100.0,105,,,,,,,,,,3,_____,4,11,9,2000
00RA00061,A5129,04,98,1,81,30,01,M,2,2,5.0,M,102,97,113,0.749,221,182,71,0.287,4.7,4.7,54,11.2,11.2,0.0507,30.08,5.35,17.8,50,2,1,1-,2.08,142.1,A3444,04,A1014,04,244,193,0.326,2.0,H2+,2,LWW,108,116,-,S3,AA,94.0,108,,,,,,,,,,3,_____,5,9,8,2000
00RA00062,A5144,04,98,1,82,30,30,C,1,1,3.0,M,102,98,113,0.761,187,167,71,0.233,3.8,3.8,56,10.8,10.8,0.0578,30.31,5.66,18.7,50,1,1,2,2.14,147.2,A3087,04,A3546,04,219,193,0.25,2.0,TB1,3,CTL,105,106,,S1,A,88.9,24,,,,,,,,,,0,,3,6,6,2000
00RA00063,A5149,04,98,1,81,30,02,M,1,1,4.0,M,102,103,113,0.813,196,156,71,0.179,4.0,4.0,58,12.8,12.8,0.0653,28.94,5.22,18.0,54,1,1,1-,1.94,142.1,A3480,04,A2313,04,229,193,0.253,2.0,R.ORCHITIS,3,LWW,107,119,,S3,AA,0.0,,,,,,,,,,,0,,4,6,6,2000
00RA00064,A5189,04,98,1,82,30,21,C,2,2,4.0,M,103,74,112,0.571,178,147,71,0.247,3.5,3.5,60,9.0,9.0,0.0506,26.93,5.04,18.7,56,1,1,2+,2.44,141.1,A2978,04,A1928,04,206,193,0.256,2.0,,3,CTL,98,97,,S0,B,0.0,,,,,,,,,,,0,,4,10,7,2000
00RA00065,A5198,04,98,1,81,30,03,M,3,2,5.0,M,103,81,114,0.635,220,162,71,0.276,4.3,4.3,54,11.6,11.6,0.0527,29.44,5.01,17.0,50,1,3,2,2.35,161.5,A3467,04,L9715,03,245,193,0.333,2.0,JAW3,2,LWW,117,115,-,S2,AA,93.3,103,,,,,,,,,,3,_____,5,12,10,2000
00RA00066,A5202,04,98,1,82,30,26,C,3,2,4.0,M,103,76,112,0.593,206,165,71,0.301,2.9,2.9,60,7.6,7.6,0.0369,25.25,4.9,19.4,58,2,1,1-,2.32,151.1,A3325,04,A1779,04,228,193,0.326,2.0,,3,CTL,100,86,,S3,AA,100.0,26,,,,,,,,,,0,,4,9,8,2000
00RA00067,A5229,04,98,1,82,30,28,C,5,3,5.0,M,104,69,111,0.549,189,148,71,0.267,4.0,4.0,56,12.2,12.2,0.0646,28.75,5.31,18.5,54,2,1,2+,3.19,162.3,A3176,04,A1331,04,223,193,0.308,2.0,"X, ABS. JAW",2,CTL,116,116,-,S2,AA,88.9,25,,,,,,,,,,3,_____,5,19,13,2000
00RA00068,A5230,04,98,1,82,30,28,C,5,3,5.0,M,104,72,111,0.582,193,149,71,0.26,3.7,3.7,60,8.8,8.8,0.0456,24.8,4.78,19.3,60,2,3,2,3.19,162.3,A3176,04,A1331,04,219,193,0.299,2.0,JAW3,2,CTL,108,99,-,S2,AA,63.0,102,,,,,,,,,,3,_____,5,19,13,2000
00RA00069,A5277,04,98,1,81,30,04,M,1,1,4.0,M,105,109,112,0.863,219,185,71,0.259,3.3,3.3,56,11.0,11.0,0.0502,28.99,5.68,19.6,54,1,1,2,2.19,132.4,A3129,04,A2050,04,259,193,0.301,2.0,"NICE, single",3,LWW,99,104,,S0,B,0.0,,,,,,,,,,,0,,4,8,6,2000
