UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00464,T4252,44,94,1,ch,01,-0,c,2,2,4.0,2,110,79,112,0.593,140,140,80,0.214,0.0,60,5.7,,,0.0,,,1,,1.67,112.8,S1878,10,0.0,0.0,T1284,44,17.3,19.77,174,191,0.284,1.0,,L,,17.3,19.77,,,,S2,AA,,UTE,,,,,,,,,,,1995
95RA00465,T4255,44,94,1,41,02,414,M,2,2,4.0,2,110,72,112,0.542,127,127,79,0.193,2.3,60,5.3,59.7,3.2,21.33,64,1,1,3+,1.34,94.4,T2601,44,0.0,20.29,T1472,44,15.88,18.82,161,191,0.266,1.0,4TEATS,3,LBW,15.88,19.56,103,97,W,S1,A,,,,,,,,,,,,,1995
95RA00466,T4256,44,94,1,42,02,822,C,1,1,2.0,2,110,78,112,0.579,136,136,79,0.204,2.4,62,6.6,58.8,3.9,20.63,64,1,1,3+,1.27,74.9,T2643,44,0.0,0.0,T2775,44,0.99,1.47,163,191,0.254,1.0,LAME,3,CTL,0.99,1.47,92,110,W,D1,B,,,,,,,,,,,,,1995
95RA00467,T4264,44,94,1,41,02,412,M,2,2,4.0,2,110,81,112,0.604,150,150,79,0.242,3.0,60,6.3,65.6,4.1,20.88,64,1,3,3+,1.56,107.4,T3116,44,0.0,32.27,T1029,44,18.1,21.43,188,191,0.32,1.0,4TEATS,1,LBW,18.1,26.85,118,120,W,S2,AA,97.0,411,C,50,3,70,0,S,,,,Inkom,1995
95RA00468,T4269,44,94,1,ch,01,-0,c,2,2,3.0,2,110,78,112,0.588,139,139,79,0.214,0.0,62,5.5,,,0.0,,,1,,1.53,119.8,S1878,10,0.0,0.0,T2144,44,9.28,13.34,180,191,0.305,1.0,,L,,9.28,13.34,,,,S4,AAA,,,,,,,,,,,,,1995
95RA00469,T4270,44,94,1,ch,01,-0,c,2,2,3.0,2,110,80,112,0.586,147,147,79,0.235,0.0,60,5.5,,,0.0,,,1,,1.53,119.8,S1878,10,0.0,0.0,T2144,44,9.28,13.34,174,191,0.281,1.0,,L,,9.28,13.34,,,,S3,AA,,UTE,,,,,,,,,,,1995
95RA00470,T4274,44,94,1,42,02,802,C,1,1,2.0,2,111,78,111,0.609,151,151,79,0.256,2.7,64,5.8,63.5,3.7,20.47,70,1,1,3,1.27,78.3,T2614,44,0.0,6.33,T3013,44,3.92,5.14,172,191,0.281,1.0,,1,CTL,3.92,5.74,93,111,W,S3,AA,92.0,802,C,60,3,80,0,S,,,,,1995
95RA00471,T4277,44,94,1,ch,01,-0,c,2,2,7.0,2,111,56,111,0.402,133,133,79,0.27,0.0,60,5.4,,,0.0,,,1,,1.12,68.0,S1878,10,0.0,0.0,T8686,43,2.32,2.52,161,191,0.314,1.0,,L,,2.32,2.52,,,,S3,AA,,UTE,,,,,,,,,,,1995
95RA00472,T4285,44,94,1,41,02,413,M,3,2,5.0,2,111,62,111,0.457,133,133,79,0.249,2.6,60,5.5,52.9,2.9,20.1,70,1,1,4+,1.47,96.1,T2654,44,0.0,18.63,T0364,44,24.47,22.87,170,191,0.323,1.0,OK,1,LBW,24.47,20.75,113,97,W,D4,DUD,,DUD,C,75,4,95,0,E,,,,DUD,1995
95RA00473,T4289,44,94,1,42,02,882,C,2,2,3.0,2,111,67,111,0.492,130,130,79,0.221,2.4,60,5.3,63.1,3.3,19.86,70,2,1,2-,1.28,75.3,T2891,44,0.0,-1.22,T1915,44,3.46,-0.76,160,191,0.278,1.0,X SIZE,1,CTL,3.46,-0.99,95,101,W,S3,AA,,,W,70,4,90,0,S,,,,MKT,1995
95RA00474,T4302,44,94,1,41,02,412,M,2,2,5.0,2,112,76,110,0.575,139,139,79,0.221,2.6,62,5.5,63.1,3.5,22.12,62,1,1,3+,1.67,91.3,T3116,44,0.0,32.27,T0429,44,5.42,4.58,162,191,0.257,1.0,,2,LBW,5.42,18.43,104,105,W,S1,A,,163,,,,,,,YES,R,60314,,1995
95RA00475,T4306,44,94,1,42,02,862,C,2,2,3.0,2,112,65,110,0.467,115,115,79,0.175,2.1,62,4.4,51.5,2.3,20.84,64,2,1,3,1.43,91.0,T2776,44,0.0,-0.03,T2284,44,4.07,4.6,141,191,0.228,1.0,NICE,1,CTL,4.07,2.29,90,81,W,S3,AA,85.0,852,C,60,3,75,0,S,,,,,1995
95RA00476,T4312,44,94,1,42,02,912,C,2,2,4.0,Q,112,72,115,0.507,136,136,79,0.229,2.1,64,4.8,58.7,2.8,19.85,70,2,1,4+,1.39,81.5,T3291,44,0.0,1.75,T1048,44,2.33,2.03,168,191,0.292,1.0,,1,CTL,2.33,1.89,89,90,W,S1,A,82.0,912,C,70,4,95,0,E,,,,,1995
95RA00477,T4314,44,94,1,ch,01,-2,c,2,2,3.5,2,112,71,110,0.523,140,140,79,0.242,0.0,60,5.7,,,0.0,,,1,,1.34,79.8,S1878,10,0.0,0.0,T1711,44,3.7,4.46,166,191,0.284,1.0,,L,,3.7,4.46,,,,S4,AAA,,X,,,,,,,,,,,1995
95RA00478,T4325,44,94,1,ch,32,-0,h,3,1,4.0,2,112,104,110,0.835,166,166,79,0.218,0.0,60,5.7,,,0.0,,,1,,2.01,74.6,L6868,03,0.0,10.31,T1208,44,2.94,2.74,207,191,0.308,1.0,,L,,2.94,6.53,,,,S2,AA,,,,,,,,,,,,,1995
