UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00534,T5056,44,95,1,ch,01,  2,h,1,1,2.0,Y,114,72,112,0.517,136,136,74,0.221,0.0,62,6.2,,,0.0,0.0,,,1,,1.33,77.7,S2079,10,0.0,0.0,T3650,44,10.3,10.3,164,191,0.279,1.0,,1,,5.15,5.15,,,,S4,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00535,T5057,44,95,1,42,02,802,C,2,1,6.0,Y,114,93,107,0.761,145,145,74,0.176,3.2,60,7.4,,,22.88,4.86,62,2,1,2,1.44,101.7,T4049,44,3.18,3.18,T0463,44,6.25,6.25,175,191,0.245,1.0,NICE,1,CTL,4.72,4.72,105,110,,S3,AA,0.0,802,M,70,3,25,0,E,,,,,,0,1996
96RA00536,T5064,44,95,1,41,02,411,M,2,2,6.0,Y,114,82,107,0.654,143,143,74,0.207,3.1,60,6.4,,,23.21,5.19,62,2,1,3-,1.53,111.3,T3957,44,17.0,17.0,T0741,44,15.95,15.95,172,191,0.269,1.0,4TEATS,2,LBW,16.47,16.47,109,101,,S3,AA,0.0,170,,,,,,,yes,N,,,,0,1996
96RA00537,T5025,44,95,1,ch,01,  0,c,1,1,2.0,Y,112,90,114,0.668,142,142,74,0.179,0.0,60,7.2,,,0.0,0.0,,,1,,1.19,62.7,S1878,10,0.0,0.0,T3842,44,14.17,14.17,154,191,0.194,1.0,WEAKPASTERNS,1,,7.08,7.08,,,,S1,A,0.0,,,,,,,,,,,,,0,1996
96RA00538,T5029,44,95,1,41,02,411,M,2,2,3.0,Y,112,79,109,0.619,151,151,74,0.244,3.0,58,7.0,,,22.42,5.01,62,2,1,5+,1.37,104.6,T3957,44,17.0,17.0,T3020,44,27.37,27.37,166,191,0.26,1.0,X5+FACELOWLIB,1,LBW,22.19,22.19,106,104,,S1,A,0.0,X,C,75,4,25,0,E,,,,,,0,1996
96RA00539,T5080,44,95,1,42,02,832,C,2,2,5.0,Y,116,71,105,0.562,130,130,74,0.2,2.4,60,6.2,,,21.32,4.12,64,2,1,3+,1.39,98.8,T4098,44,1.76,1.76,T1238,44,5.19,5.19,158,191,0.26,1.0,,1,CTL,3.48,3.48,99,94,,S4,AAA,0.0,832,C,60,3,25,5,S,,,,,,0,1996
96RA00540,T5096,44,95,1,42,02,912,C,2,2,3.0,Y,119,69,102,0.568,130,130,74,0.207,2.3,60,5.2,,,21.52,4.12,64,1,1,3,1.41,97.4,T3845,44,-0.92,-0.92,T2600,44,3.68,3.68,152,191,0.248,1.0,SHORT SLonly3,3,CTL,1.38,1.38,96,84,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00541,T5097,44,95,1,42,02,912,C,2,2,3.0,Y,119,67,102,0.541,119,119,74,0.176,2.5,60,6.4,,,23.17,5.14,62,1,1,5+,1.41,97.4,T3845,44,-0.92,-0.92,T2600,44,3.68,3.68,134,191,0.2,1.0,only 3 /sire,1,CTL,1.38,1.38,99,94,,S1,A,0.0,,C,50,3,25,0,S,,,,,,0,1996
96RA00542,T5072,44,95,1,42,02,852,C,1,1,2.0,Y,115,80,106,0.648,139,139,74,0.2,3.0,60,6.0,,,20.77,4.01,64,2,1,4+,1.47,89.4,T3900,44,0.18,0.18,T3858,44,4.51,4.51,164,191,0.251,1.0,,1,CTL,2.34,2.34,88,98,,S0,B,0.0,LISA,C,65,3,25,0,E,,,,,,0,1996
96RA00543,T5077,44,95,1,42,02,902,C,1,1,4.0,Y,116,88,105,0.704,142,142,74,0.183,2.9,60,6.0,,,21.97,4.23,64,1,1,5+,1.38,94.5,T3946,44,8.17,8.17,T1948,44,-1.62,-1.62,163,191,0.224,1.0,LIB MOUNT,3,CTL,3.28,3.28,92,96,,S1,A,0.0,LIB,,,,,,,,,,,,0,1996
