UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00271,91,L8009,73,30,173,2,2,3,X,228,93,146,0.579,98,135,0.04,0.0,58,0.0,5.9,,0.0,,,,,0.67,53.0,173303,291403,0,,0.0,MKT.ORCH.X,X,,,,,,1992
92RA00272,91,L8039,73,30,  .,2,2,6,F,229,97,145,0.606,138,135,0.325,0.0,58,0.0,8.2,,0.0,,,,,1.83,95.5,000003,878502,176,194,0.425,MM,1,107,W,,MO,MOR,1992
92RA00273,91,L8043,73,30,148,2,1,1,F,229,93,145,0.639,120,135,0.214,0.0,54,0.0,6.9,,0.0,,,,,2.0,91.0,148703,594203,158,194,0.349,EPI,3,98,W,X,D1,B,1992
92RA00274,91,L8047,73,30,173,1,1,2,F,229,127,145,0.723,137,135,0.079,0.0,58,0.0,9.1,0.0,0.0,,,,,0.5,59.5,173303,451403,180,194,0.285,,3,68,W,,S3,AA,1992
92RA00275,91,L8052,73,30,  .,2,2,6,X,229,93,145,0.583,118,135,0.198,0.0,58,0.0,7.5,,0.0,,,,,2.0,132.5,000003,875002,0,,0.0,MKT.HORN.X,X,,,,,,1992
92RA00276,91,L8068,72,30,723,2,2,4,F,231,110,143,0.631,142,135,0.254,0.0,56,0.0,7.6,,0.0,,,,,1.0,77.5,446003,133103,175,194,0.349,,1,87,W,,S0,B,1992
92RA00277,91,L8076,72,30,722,1,1,2,F,232,102,142,0.543,120,135,0.143,0.0,56,0.0,6.5,,0.0,,,,,0.5,44.0,288603,453403,166,194,0.344,,3,61,W,,D3,DUD,1992
92RA00278,91,L8085,72,30,724,2,2,3,F,234,94,140,0.564,117,135,0.183,0.0,56,0.0,6.3,,0.0,,,,,0.67,51.0,447103,274403,158,194,0.344,,3,67,W,,S2,AA,1992
92RA00279,91,L8098,72,30,723,2,2,3,F,236,100,138,0.616,146,135,0.365,0.0,54,0.0,8.9,,0.0,,,,,1.33,104.3,446003,303103,186,194,0.462,,1,117,W,,D3,DUD,1992
92RA00280,91,L8106,72,30,721,2,2,3,F,237,92,137,0.568,121,135,0.23,0.0,58,0.0,6.2,,0.0,,,,,1.0,75.3,637903,277103,157,194,0.349,,1,86,W,,D3,DUD,1992
92RA00281,91,L8107,72,30,721,2,2,3,F,237,94,137,0.581,117,135,0.183,0.0,56,0.0,6.9,,0.0,,,,,1.0,75.3,637903,277103,159,194,0.349,4TEATS,3,86,W,,MO,MOR,1992
92RA00282,91,L8108,72,30,722,2,2,7,X,237,89,137,0.579,118,135,0.23,0.0,56,0.0,8.8,,0.0,,,,,1.43,100.4,288603,613402,0,,0.0,MKT.HORN.X,X,,,,,,1992
92RA00283,91,L8113,72,30,721,2,2,5,F,238,94,136,0.56,115,135,0.167,0.0,56,0.0,6.8,,0.0,,,,,0.8,67.6,637903,020503,165,194,0.382,,1,83,W,,S2,AA,1992
92RA00284,91,L8114,72,30,721,2,2,5,F,238,86,136,0.578,108,135,0.175,0.0,58,0.0,7.5,,0.0,,,,,0.8,67.6,637903,020503,151,194,0.349,,1,80,W,,S0,B,1992
92RA00285,91,L8117,72,30,724,2,2,3,F,238,90,136,0.55,113,135,0.183,0.0,58,0.0,6.2,,0.0,,,,,1.33,91.7,447103,303803,153,194,0.339,,1,97,W,,S3,AA,1992
92RA00286,91,L8118,72,30,724,2,2,3,F,238,85,136,0.519,116,135,0.246,0.0,58,0.0,6.7,,0.0,,,,,1.33,91.7,447103,303803,149,194,0.344,,1,98,W,,D3,DUD,1992
92RA00287,91,L8121,72,30,724,3,2,4,F,238,92,136,0.583,120,135,0.222,0.0,58,0.0,7.9,,0.0,,,,,2.0,111.0,447103,153703,161,194,0.371,,3,115,W,X,S1,A,1992
92RA00288,91,L8131,72,30,724,2,2,4,F,239,82,135,0.51,109,135,0.214,0.0,58,0.0,5.6,,0.0,,,,,1.0,69.5,447103,135503,148,194,0.355,,1,82,W,,D3,DUD,1992
92RA00289,91,L8150,72,30,724,2,2,5,F,241,81,133,0.524,111,135,0.238,0.0,58,0.0,6.7,,0.0,,,,,1.2,100.2,447103,989702,150,194,0.371,,1,106,W,,S3,AA,1992
92RA00290,91,L8151,72,30,724,2,2,5,F,241,84,133,0.555,121,135,0.294,0.0,54,0.0,9.0,,0.0,,,,,1.2,100.2,447103,989702,154,194,0.376,SCURS,1,107,W,,S0,B,1992
92RA00291,91,L8165,72,30,721,2,2,3,F,241,93,133,0.541,119,135,0.206,0.0,56,0.0,7.8,,0.0,,,,,1.0,87.3,637903,306403,156,194,0.339,,1,94,W,,D3,DUD,1992
92RA00292,91,L8167,72,30,723,2,2,7,F,242,76,132,0.466,124,135,0.381,0.0,58,0.0,6.2,,0.0,,,,,1.67,141.2,446003,757702,166,194,0.484,,1,147,W,,D3,DUD,1992
92RA00293,91,L8176,72,30,724,2,2,3,F,242,91,132,0.584,119,135,0.222,0.0,60,0.0,7.7,,0.0,,,,,1.0,75.0,447103,304903,156,194,0.349,,1,85,W,,S4,AAA,1992
92RA00294,91,L8186,72,30,724,2,2,6,F,242,78,132,0.511,112,135,0.27,0.0,58,0.0,6.4,,0.0,,,,,1.33,103.0,447103,849902,151,194,0.392,,1,110,W,,S2,AA,1992
92RA00295,91,L8191,72,30,721,2,2,3,F,242,89,132,0.565,108,135,0.151,0.0,56,0.0,8.0,,0.0,,,,,1.0,79.0,637903,316803,146,194,0.306,,1,85,W,,D3,DUD,1992
92RA00296,91,L8192,72,30,721,2,2,3,F,242,99,132,0.641,114,135,0.119,0.0,56,0.0,7.3,,0.0,,,,,1.0,79.0,637903,316803,149,194,0.269,,1,82,W,,S1,A,1992
92RA00297,91,L8200,72,30,721,2,2,3,F,243,88,131,0.566,113,135,0.198,0.0,50,0.0,6.3,,0.0,,,,,1.0,82.0,637903,260503,148,194,0.323,,1,89,W,,D3,DUD,1992
92RA00298,91,L8208,73,30,  .,2,2,3,F,243,83,131,0.545,113,135,0.238,0.0,56,0.0,6.9,,0.0,,,,,1.33,100.3,455103,330603,150,194,0.36,,1,106,W,,S1,A,1992
92RA00299,91,L8210,73,30,  .,2,2,4,F,243,97,131,0.641,129,135,0.254,0.0,54,0.0,7.9,,0.0,,,,,1.5,89.3,455103,178403,172,194,0.403,,1,101,W,,D3,DUD,1992
92RA00300,91,L8217,73,30,  .,2,2,3,F,243,88,131,0.577,129,135,0.325,0.0,54,0.0,6.4,,0.0,,,,,1.33,106.7,304303,279803,179,194,0.489,,1,121,W,,D2,DUD,1992
92RA00301,91,L8219,73,30,  .,2,2,4,F,243,90,131,0.606,125,135,0.278,0.0,54,0.0,8.3,,0.0,,,,,1.75,136.5,304303,164603,163,194,0.392,,1,136,W,,S1,A,1992
