UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00202,K1450,1,06,68,00,1,2.0,7,Y,.,1,3-,8.4,3.3,NICE,1,04,ADG,y,27.6,4.1,14.8,7.3,22.4,56
02PR00203,K1461,1,06,68,00,1,2.0,7,Y,.,1,3-,9.2,3.6,,1,e.8,ADG,y,28.7,3.7,12.9,6.8,30.1,54
02PR00204,K1462,1,06,68,00,1,2.0,7,Y,.,2,3,12.1,4.8,"RCVR,S3?,Nov6",1,e.9,ADG,y,33.4,5.7,17.0,10.8,68.5,46
02PR00205,K1468,1,06,68,00,1,2.0,7,Y,DUD,.,.,0.0,0.0,JUMPER,2,DUD,DUD,N,,,,,0.0,0
02PR00206,K1553,1,06,68,01,1,1.0,7,L,SAV,1,2-,7.5,3.0,"NICE!, B1 09",1,.,Adg,y,27.9,5.1,18.2,8.9,27.6,54
02PR00207,K1584,1,06,68,01,1,1.0,7,L,SAV,1,3+,9.1,3.6,LOW ebv,1,.,Adg,y,26.7,4.2,15.6,7.7,16.1,56
02PR00208,K1596,1,06,68,01,1,1.0,7,L,GRP,2,3-,7.3,2.9,,1,.,Adg,y,26.8,5.2,19.5,9.4,23.8,56
02PR00209,K1571,1,06,68,01,1,1.0,7,L,PIN,2,3+,8.3,3.3,,1,.,Adg,y,28.1,6.2,22.2,11.5,31.2,54
02PR00210,K1631,1,06,68,01,1,1.0,7,L,GRP,2,4,7.2,2.8,,1,.,Adg,y,27.3,5.1,18.7,9.1,26.5,56
02PR00211,K1640,1,06,68,01,1,1.0,7,L,PIN,1,2,9.2,3.6,"NICE,#12BV,F2",1,.,Adg,y,27.9,4.8,17.3,8.2,27.2,54
02PR00212,K1649,1,05,00,01,1,1.0,0,L,.,1,3+,7.9,3.1,"NICE,B1 IN B2",1,.,Clpg,N,,,,,0.0,0
02PR00213,K1650,1,05,00,01,1,1.0,0,L,.,2,3,6.4,2.5,"NICE,B1 IN B2",1,.,Clpg,N,,,,,0.0,0
02PR00214,K1658,1,06,68,01,1,1.0,7,L,GRP,2,3+,9.2,3.6,,1,.,Adg,y,28.4,5.9,20.7,10.3,34.9,54
02PR00215,K1664,1,06,68,01,1,1.0,7,L,GRP,2,2,7.3,2.9,NICE,1,.,Adg,y,28.7,4.8,16.6,8.2,31.8,54
02PR00216,K1667,1,06,68,01,1,1.0,7,L,SAV,2,3+,8.4,3.3,"NICE!, #10 BV",1,.,Adg,y,31.7,7.1,22.4,13.6,53.8,48
02PR00217,K1626,1,05,00,01,1,1.0,0,L,.,1,3-,8.2,3.2,NICE,1,.,Clpg,N,,,,,0.0,0
02PR00218,K1622,1,06,68,01,1,1.0,7,L,SAV,2,3,9.1,3.6,NICE!!,1,.,Adg,y,26.5,4.2,15.9,7.4,16.4,56
02PR00219,K1681,1,06,68,01,1,1.0,7,L,GRP,1,3,9.4,3.7,BAD L. EYE,1,.,Adg,y,30.3,6.2,20.3,10.1,47.5,50
02PR00220,K1683,1,06,68,01,1,1.0,7,L,GRP,1,3-,8.1,3.2,,1,.,Adg,y,26.2,5.0,18.9,8.8,17.8,58
02PR00221,K1682,1,06,68,01,1,1.0,7,L,GRP,1,3-,7.9,3.1,,1,.,Adg,y,25.5,4.3,16.9,7.9,12.1,58
02PR00222,K1689,1,06,68,01,1,1.0,7,L,PIN,2,2,7.6,3.0,#9 BV,1,.,Adg,y,25.4,3.8,15.1,6.8,8.5,58
02PR00223,K1691,1,05,00,01,1,1.0,0,L,.,2,3+,7.6,3.0,SLOGGY HOG 2,1,.,Clpg,N,,,,,0.0,0
02PR00224,K1693,1,06,68,01,1,1.0,7,L,GRP,2,3-,7.9,3.1,,1,.,Adg,y,25.8,4.3,16.7,7.4,12.6,58
02PR00225,K1671,1,06,68,01,1,1.0,7,L,PIN,2,2,7.8,3.1,"H3, GOOD FCR",1,.,Adg,y,28.0,4.6,16.3,7.7,28.8,54
02PR00226,K1673,1,06,68,01,1,1.0,7,L,PIN,2,3+,8.4,3.3,#15 BV,1,.,Adg,y,28.4,5.3,18.6,9.1,31.8,54
02PR00227,K1674,1,05,00,01,1,1.0,0,L,.,2,3-,6.9,2.7,,1,.,Clpg,N,,,,,0.0,0
02PR00228,K1677,1,06,68,01,1,1.0,7,L,PIN,2,3+,7.1,2.8,"X, EPI, 2/26",1,.,Adg,y,27.0,5.2,19.2,9.3,22.7,56
02PR00229,K1206,1,06,68,00,1,2.0,7,Y,.,2,2,9.8,3.9,RCVR<,1,alt,ADG,y,27.6,3.8,13.8,6.6,19.2,56
02PR00230,K1202,1,05,00,00,1,2.0,0,Y,.,1,2-,9.0,3.5,,1,.,CLPG,N,,,,,0.0,0
02PR00231,K1207,1,05,00,00,1,2.0,0,Y,.,3,2-,7.8,3.1,,1,.,CLPG,N,,,,,0.0,0
02PR00232,K1241,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,BLK. SPOT,3,LIB,LIB,N,,,,,0.0,0
02PR00233,K1249,1,06,68,00,1,2.0,7,Y,.,2,3,9.5,3.7,,1,.,ADG,y,27.2,5.0,18.6,9.1,25.0,56
02PR00234,K1255,1,06,68,00,1,2.0,7,Y,.,1,3+,10.2,4.0,,1,alt,ADG,y,28.9,4.7,16.4,8.5,33.7,54
