UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00368,R0143,2,07,12,99,1,2.0,0,1,,.,.,8.2,3.2,DYSTOCIA,Y,1,n,x,,22.56,4.98,22.1,9.9,9.8,62
01PR00369,R0144,2,07,11,99,1,2.0,0,1,,.,.,7.5,3.0,,Y,1,n,x,,19.65,3.47,17.6,6.3,0.5,70
01PR00370,R0150,1,07,10,99,1,2.0,2,M,DUD,1,3,7.5,3.0,DUD >works,Y,2,D4w,x,,21.92,3.36,15.3,5.8,1.1,64
01PR00371,R0152,2,07,11,99,1,2.0,0,1,,.,.,8.6,3.4,,Y,1,n,x,,24.24,4.16,17.2,7.6,10.6,60
01PR00372,R0161,2,07,11,99,1,2.0,0,1,,.,.,5.9,2.3,,Y,1,n,x,,21.75,4.1,18.9,8.0,4.6,64
01PR00373,R0168,1,43,13,99,1,2.0,2,M,LIB,.,.,0.0,0.0,DUD,N,3,D4,x,X,0.0,0.0,0.0,0.0,0.0,0
01PR00374,R0167,2,43,13,99,1,2.0,0,1,,.,.,10.3,4.1,COLUMBIA ?,Y,1,n,x,,22.74,4.57,20.1,8.5,8.0,62
01PR00375,R0125,2,07,12,99,1,2.0,0,1,,.,.,6.6,2.6,POLYPAY ?,Y,1,n,x,,19.52,3.34,17.1,6.2,0.4,70
01PR00376,R0127,1,43,13,99,1,2.0,0,M,31,3,2-,9.5,3.7,,Y,1,S1,x,,20.8,3.39,16.3,5.9,0.9,64
01PR00377,R0170,2,07,13,99,1,2.0,0,1,,.,.,8.6,3.4,DYSTOCIA,Y,1,n,x,,21.52,3.01,14.0,5.6,0.6,64
01PR00378,R0179,2,07,10,99,1,2.0,0,1,,.,.,8.0,3.1,,Y,1,n,x,,23.77,4.6,19.4,8.3,10.6,60
01PR00379,R0177,2,07,10,99,1,2.0,0,1,,.,.,7.2,2.8,,Y,1,n,x,,22.11,3.4,15.4,6.1,1.8,62
01PR00380,R0011,2,07,11,99,1,2.0,0,1,,.,.,6.8,2.7,,Y,1,n,x,,21.54,4.56,21.2,8.4,4.9,64
01PR00381,R0012,1,07,11,99,1,2.0,0,M,12a,.,.,0.0,0.0,,N,1,S0,x,SPAR,0.0,0.0,0.0,0.0,0.0,0
01PR00382,R0018,2,43,12,99,1,2.0,0,1,,.,.,8.4,3.3,,Y,1,n,x,,21.37,3.2,15.0,5.8,1.0,64
01PR00383,R0037,2,07,11,99,1,2.0,0,1,,.,.,6.4,2.5,,Y,1,n,x,,25.33,4.77,18.8,8.9,18.8,58
01PR00384,R0044,1,07,10,99,1,2.0,0,M,22,2,3,8.2,3.2,DUD,Y,1,D3w,x,,23.86,4.17,17.5,7.5,8.4,60
01PR00385,R0045,2,07,10,99,1,2.0,0,1,,.,.,8.5,3.3,,Y,1,n,x,,23.57,4.29,18.2,8.4,9.3,60
01PR00386,R0042,2,07,13,99,1,2.0,0,1,,.,.,5.8,2.3,ENTR,Y,1,n,x,,18.64,2.97,15.9,5.6,0.1,80
01PR00387,R0047,1,43,13,99,1,2.0,0,M,33,1,2-,10.0,3.9,,Y,1,S0,x,,21.84,3.58,16.4,6.5,2.3,64
01PR00388,R0050,2,43,10,99,1,2.0,0,1,,.,.,7.9,3.1,,Y,1,n,x,,23.2,4.09,17.6,7.6,7.1,62
01PR00389,R0053,1,07,10,99,1,2.0,0,M,,.,.,0.0,0.0,DUD,O,1,D3,x,P 17,0.0,0.0,0.0,0.0,0.0,0
01PR00390,R0054,2,07,10,99,1,2.0,0,1,,.,.,7.8,3.1,,Y,1,n,x,,23.73,4.13,17.4,7.4,8.4,60
01PR00391,R0060,1,43,12,99,1,2.0,0,M,83,7,5,8.1,3.2,H7,Y,1,S3,x,,21.98,4.66,21.2,7.9,4.7,64
01PR00392,R0026,1,07,12,99,1,2.0,2,M,DUD,2,3-,9.2,3.6,DUD >works,Y,2,D4w,x,,26.63,5.67,21.3,10.0,27.6,56
01PR00393,R0029,1,07,11,99,1,2.0,0,M,13,1,3+,7.8,3.1,,Y,1,S3,x,,22.43,3.88,17.3,6.8,3.8,62
01PR00394,R0080,2,07,10,99,1,2.0,0,1,,.,.,7.7,3.0,,Y,1,n,x,,23.4,4.38,18.7,8.9,9.2,62
01PR00395,R0082,1,07,12,99,1,2.0,0,M,86,3,3+,8.3,3.3,DUD,Y,1,D3w,x,,24.94,4.47,17.9,6.8,11.2,60
01PR00396,R0092,2,43,11,99,1,2.0,0,1,,.,.,6.4,2.5,,Y,1,n,x,,22.7,4.69,20.7,9.1,8.9,62
01PR00397,R0098,2,07,13,99,1,2.0,0,1,,.,.,8.5,3.3,,Y,1,n,x,,20.45,3.82,18.6,7.3,2.0,70
01PR00398,R0074,2,43,13,99,1,2.0,0,1,,.,.,8.0,3.1,OFF FEED,Y,1,n,x,,21.62,3.24,15.0,6.0,1.2,64
01PR00399,R0310,2,07,11,99,1,2.0,0,1,,.,.,6.6,2.6,,Y,1,n,x,,22.95,4.9,21.3,9.6,10.4,62
01PR00400,R0313,1,07,13,99,1,2.0,2,M,DUD,2,3+,9.8,3.9,DUD >works,Y,2,D4w,x,,20.63,3.99,19.3,7.1,1.5,64
