UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00377,K0214,2,06,62,98,1,2.0,7,1,GXE,.,.,8.3,3.27,BLK.TEAT,Y,26.79,4.03,15.0,56
00PR00378,K0230,2,06,62,98,1,2.0,7,3,LIM,.,.,10.0,3.94,,Y,25.85,5.29,20.5,58
00PR00379,K0233,1,06,60,98,1,2.0,7,M,GXE,1,2-,9.0,3.54,,Y,25.49,4.76,18.7,58
00PR00380,K0236,1,05,00,98,1,2.0,0,M,CC,1,3-,7.9,3.11,,n,,,,0
00PR00381,K0241,2,06,60,98,1,2.0,7,1,GXE,.,.,7.8,3.07,,Y,25.34,4.4,17.4,58
00PR00382,K0244,2,06,61,98,1,2.0,7,3,LIM,.,.,9.0,3.54,SIDE Grn.1244,Y,27.8,5.93,21.4,56
00PR00383,K0249,2,06,60,98,1,2.0,7,1,GXE,.,.,8.1,3.19,,Y,27.35,5.46,20.0,56
00PR00384,K0251,2,06,60,98,1,2.0,7,1,GXE,.,.,8.3,3.27,,Y,26.19,4.62,17.6,58
00PR00385,K0254,2,06,62,98,1,2.0,7,3,LIM,.,.,9.6,3.78,,Y,25.59,5.29,20.7,58
00PR00386,K0252,2,06,60,98,1,2.0,7,1,GXE,.,.,8.9,3.5,,Y,29.82,5.74,19.3,50
00PR00387,K0269,1,05,00,98,1,2.0,0,M,CC,1,2-,9.5,3.74,,n,,,,0
00PR00388,K0225,1,06,60,98,1,2.0,7,M,GXE,2,3+,9.1,3.58,,Y,31.64,5.94,18.8,48
00PR00389,K0281,2,06,61,98,1,2.0,7,1,GXE,.,.,10.4,4.09,,Y,28.7,6.86,23.9,54
00PR00390,K0280,2,06,61,98,1,2.0,7,3,LIM,.,.,9.8,3.86,,Y,28.22,6.41,22.7,54
00PR00391,K0289,2,06,60,98,1,2.0,7,1,GXE,.,.,7.8,3.07,4TEATS,Y,19.81,3.55,17.9,70
00PR00392,K0287,2,06,61,98,1,2.0,7,1,GXE,.,.,8.5,3.35,,Y,31.69,6.35,20.0,48
00PR00393,K0292,2,06,62,98,1,2.0,7,1,GXE,.,.,9.1,3.58,BRN.R.HIP,Y,31.88,6.26,19.6,48
00PR00394,K0299,1,05,00,98,1,2.0,0,M,CN,3,3-,6.8,2.68,"F5,H3",n,,,,0
00PR00395,K0297,2,06,61,98,1,2.0,7,3,LIM,.,.,10.2,4.02,,Y,27.25,5.31,19.5,56
00PR00396,K0273,2,06,61,98,1,2.0,7,3,LIM,.,.,11.0,4.33,,Y,27.13,5.27,19.4,56
00PR00397,K0275,2,06,60,98,1,2.0,7,1,GXE,.,.,8.2,3.23,4TEATS,Y,23.69,3.77,15.9,60
00PR00398,K0276,2,06,60,98,1,2.0,7,3,LIM,.,.,9.8,3.86,4TEATS,Y,23.42,4.01,17.1,62
00PR00399,K0279,1,06,60,98,1,2.0,7,M,GXE,1,3+,9.7,3.82,MR.BIG,Y,31.69,5.41,17.1,48
00PR00400,K0814,1,06,68,99,1,1.0,7,Y,GXE,1,3-,7.0,2.76,,Y,25.29,4.92,19.4,58
00PR00401,K0801,1,06,68,99,1,1.0,7,Y,GXE,1,3,9.1,3.58,,Y,24.21,4.75,19.6,60
00PR00402,K0804,1,06,68,99,1,1.0,7,Y,GXE,1,3,7.0,2.76,,Y,23.23,4.3,18.5,62
00PR00403,K0846,1,05,00,99,1,1.0,0,Y,CC,2,3+,7.1,2.8,FEMININE,n,,,,0
00PR00404,K0849,1,06,68,99,1,1.0,7,Y,GXE,2,3+,7.3,2.87,HAIRY,Y,25.7,4.99,19.4,58
00PR00405,K0864,1,06,68,99,1,1.0,7,Y,GXE,1,3-,8.3,3.27,4TEATS,Y,27.4,4.77,17.4,56
00PR00406,K0866,1,06,68,99,1,1.0,7,Y,GXE,1,3+,8.0,3.15,,Y,23.98,5.63,23.5,60
00PR00407,K0824,1,05,00,99,1,1.0,0,Y,CC,1,2-,7.0,2.76,,n,,,,0
00PR00408,K0825,1,05,00,99,1,1.0,0,Y,CC,1,3+,7.2,2.83,FIX BIG TAG**,n,,,,0
00PR00409,K0896,1,06,68,99,1,1.0,7,Y,GXE,1,3+,7.3,2.87,,Y,25.04,5.48,21.9,58
00PR00410,K0898,1,06,68,99,1,1.0,7,Y,GXE,.,.,0.0,0.0,MSG 2/23/00,n,,,,0
00PR00411,K0873,1,06,68,99,1,1.0,7,Y,GXE,1,4+,7.2,2.83,4TEATS,Y,25.26,4.4,17.4,58
00PR00412,K0905,1,06,68,99,1,1.0,7,Y,GXE,1,2,7.9,3.11,"F2, adg=1.000",Y,27.78,5.29,19.0,56
00PR00413,K0906,1,06,68,99,1,1.0,7,Y,GXE,1,3+,7.2,2.83,,Y,25.15,5.58,22.2,58
