UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00284,R3553,1,07,18,02,1,2.0,2,CTL,3,3+,9.2,3.6,,V,.,Ramb,Y,62,DUD,+JNS+,109,105,W,,22.9,5.2,22.9,90.9,62
04PR00285,R3611,1,07,18,02,1,2.0,2,EXP,2,5+,8.4,3.3,F4,T, 1,Ramb,Y,60,HETRO,TAYLR,105,89,W,,25.0,4.2,16.7,90.6,58
04PR00286,R3618,1,43,18,02,1,2.0,2,CTL,4,3,8.1,3.2,,3,.,Ramb,Y,62,BISEX,MKT,95,93,W,93,22.0,3.6,16.6,97.6,64
04PR00287,R3626,1,07,18,02,1,2.0,2,CTL,7,3,9.5,3.7,H6,3, 5,Ramb,Y,62,BISEX,MKT,101,91,W,93,23.9,4.2,17.4,92.8,60
04PR00288,R3649,1,07,18,02,1,2.0,2,CTL,1,3,8.9,3.5,NICE,1,.,Ramb,Y,64,HETRO,SAVE,99,111,W,,22.0,3.8,17.4,96.8,64
04PR00289,R3652,1,43,18,02,1,2.0,2,EXP,3,3-,7.6,3.0,,T,.,Ramb,Y,62,EXHET,+JNS+,86,92,W,,23.1,4.5,19.4,93.8,62
04PR00290,R3655,1,07,18,02,1,2.0,2,EXP,6,3,8.2,3.2,H6,V,14,Ramb,Y,64,EXHET,+JNS+,96,87,W,,21.9,4.1,18.8,97.1,64
04PR00291,R3656,1,07,18,02,1,2.0,2,EXP,3,3,9.7,3.8,,1,.,Ramb,Y,62,HETRO,SAVE,111,95,W,,23.3,3.1,13.5,98.7,62
04PR00292,R3657,1,07,18,02,1,2.0,2,X,2,2-,8.8,3.5,X ABS. HIP,3,.,Ramb,Y,62,EXHET,+JNS+,103,98,W,93,25.2,4.1,16.2,89.1,58
04PR00293,R3660,1,07,18,02,1,2.0,2,CTL,2,3+,9.0,3.5,MUCHO,T,25,Ramb,Y,64,BISEX,SAVE,103,99,W,,20.1,2.8,13.9,99.7,70
04PR00294,R3663,1,07,18,02,1,2.0,2,CTL,2,4+,8.8,3.5,NICE,V,.,Ramb,Y,62,EXHET,+JNS+,93,103,W,,23.2,3.6,15.6,96.6,62
04PR00295,R3682,1,07,18,02,1,2.0,2,CTL,1,2-,8.6,3.4,,1,.,Ramb,Y,62,BISEX,SAVE,107,115,W,,24.5,4.9,20.1,87.9,60
04PR00296,R3710,1,43,18,02,1,2.0,2,EXP,6,3-,8.6,3.4,H3+,V, 3,Ramb,Y,62,EXHET,+JNS+,100,95,W,,22.3,5.0,22.4,93.0,62
04PR00297,R3731,1,07,18,02,1,2.0,2,EXP,6,3-,8.5,3.3,,V,.,Ramb,Y,62,EXHET,+JNS+,103,107,W,,23.8,3.8,15.9,95.3,60
04PR00298,R3760,1,43,18,02,1,2.0,2,CTL,3,4+,10.8,4.3,CLOSTRIDIAL,T, 8,Ramb,Y,62,BISEX,TAYLR,95,102,W,18,24.6,3.5,14.2,95.1,60
