UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00300,T8455,1,02,,24,1.0,,10.0,,,ScursSlOver,,,,,
25PR00301,T8457,1,02,,24,1.0,,,,,1ST,,,,,
25PR00302,T8460,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00303,T8469,2,02,,24,1.0,,8.0,,,HAIRY,,,,,
25PR00304,T8470,2,02,,24,1.0,,8.0,,,HAIRY,,,,,
25PR00305,T8471,2,02,,24,1.0,,10.0,,,.,,,,,
25PR00306,T8473,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00307,T8475,1,02,,24,1.0,,10.0,,,.,,,,,
25PR00308,T8476,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00309,T8477,1,02,,24,1.0,,10.0,,,Scurs,,,,,
25PR00310,T8478,2,02,,24,1.0,,12.0,,,.,,,,,
25PR00311,T8484,1,02,,24,1.0,,11.0,,,.,,,,,
25PR00312,T8489,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00313,T8490,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00314,T8492,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00315,T8493,1,02,,24,1.0,,9.0,,,Nice,,,,,
25PR00316,T8494,1,02,,24,1.0,,6.3,,,Nice,,,,,
25PR00317,T8500,2,02,,24,1.0,,10.0,,,.,,,,,
25PR00318,T8502,2,02,,24,1.0,,6.5,,,.,,,,,
25PR00319,T8503,1,02,,24,1.0,,9.0,,,Scurs,,,,,
25PR00320,T8506,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00321,T8507,2,02,,24,1.0,,10.0,,,.,,,,,
25PR00322,T8509,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00323,T8511,2,02,,24,1.0,,8.0,,,BR.EYES,,,,,
25PR00324,T8514,1,02,,24,1.0,,6.8,,,Nice,,,,,
25PR00325,T8515,2,02,,24,1.0,,10.0,,,.,,,,,
25PR00326,T8524,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00327,T8529,2,02,,24,1.0,,5.5,,,.,,,,,
25PR00328,T8531,2,02,,24,1.0,,11.0,,,.,,,,,
25PR00329,T8535,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00330,T8541,2,02,,24,1.0,,7.0,,,NICE LAMB,,,,,
25PR00331,T8551,2,02,,24,1.0,,8.0,,,2ND.NICE,,,,,
25PR00332,T8552,2,02,,24,1.0,,8.0,,,NICE LAMB.,,,,,
25PR00333,T8559,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00334,T8561,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00335,T8562,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00336,T8566,1,02,,24,1.0,,9.0,,,Scurs,,,,,
25PR00337,T8567,1,02,,24,1.0,,8.0,,,Scurs,,,,,
25PR00338,T8572,1,02,,24,1.0,,10.0,,,Nice,,,,,
25PR00339,T8577,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00340,T8582,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00341,T8583,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00342,T8586,2,02,,24,1.0,,7.0,,,.,,,,,
25PR00343,T8587,2,02,,24,1.0,,9.0,,,.,,,,,
