UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00108,K3057,1,06,68,04,1,2.0,0,.,.,1,2-,8.3,3.3,NICE LAMB,1,.,Adg,Y,00,30.0,4.7,15.6,56.8,50
06PR00109,K3098,1,06,68,04,1,2.0,0,.,.,2,3-,8.2,3.2,,1,.,Adg,Y,00,30.5,4.2,13.8,55.1,50
06PR00110,K3071,1,06,68,04,1,2.0,0,.,.,1,3,8.2,3.2,NICE,1,.,Adg,Y,00,30.4,4.6,15.3,53.3,50
06PR00111,K3073,1,06,68,04,1,2.0,0,.,.,1,2,8.4,3.3,OK,1,.,Adg,Y,00,27.3,4.2,15.4,78.7,56
06PR00112,K3300,1,06,68,05,1,1.0,0,R,.,2,3+,7.0,2.8,,1,.,Adg,Y,00,24.4,4.6,18.8,90.5,60
06PR00113,K3308,1,06,68,05,1,1.0,0,R,.,2,3,7.3,2.9,,1,.,Adg,Y,00,26.3,4.7,17.7,83.4,58
06PR00114,K3307,1,06,68,05,1,1.0,0,R,.,1,3,6.4,2.5,,1,.,Adg,Y,00,26.0,4.8,18.3,84.5,58
06PR00115,K3340,1,06,68,05,1,1.0,0,R,.,2,4+,5.8,2.3,,1,.,Adg,Y,00,21.9,3.4,15.7,99.0,64
06PR00116,K3346,1,06,68,05,1,1.0,0,R,.,1,2,6.6,2.6,,1,.,Adg,Y,00,26.1,4.6,17.7,84.0,58
06PR00117,K3349,1,06,68,05,1,1.0,0,R,.,2,3-,7.0,2.8,4TEATS,1,.,Adg,Y,00,27.1,5.5,20.4,74.3,56
06PR00118,K3369,1,06,68,05,1,1.0,0,R,.,2,3-,5.4,2.1,,1,.,Adg,Y,00,23.8,4.1,17.4,94.5,60
06PR00119,K3329,1,06,68,05,1,1.0,0,R,.,1,2+,6.4,2.5,,1,.,Adg,Y,00,23.1,3.5,15.2,98.3,62
06PR00120,K3370,1,06,68,05,1,1.0,0,R,.,2,3-,6.0,2.4,NICE,1,.,Adg,Y,00,25.1,3.5,13.8,93.7,58
06PR00121,K3378,1,06,68,05,1,1.0,0,R,.,2,2-,6.0,2.4,,1,.,Adg,Y,00,22.1,3.3,15.0,98.9,62
06PR00122,K3377,1,06,68,05,1,1.0,0,R,.,1,3+,6.5,2.6,NICE LAMB,1,.,Adg,Y,00,23.3,3.9,16.9,95.5,62
06PR00123,K3419,1,06,68,05,1,1.0,0,R,.,2,3,6.8,2.7,,1,.,Adg,Y,00,25.4,4.4,17.2,88.3,58
06PR00124,K3404,1,06,68,05,1,1.0,0,R,.,1,3,7.1,2.8,,1,.,Adg,Y,00,24.9,3.6,14.4,94.3,60
06PR00125,K3407,1,06,68,05,1,1.0,0,R,.,1,3+,8.4,3.3,NICE LAMB,1,.,Adg,Y,00,25.9,5.3,20.4,80.0,58
06PR00126,K3449,1,06,68,05,1,1.0,0,R,.,3,3+,6.7,2.6,4TEATS,1,.,Adg,Y,00,24.4,4.9,20.0,88.4,60
06PR00127,K3421,1,06,68,05,1,1.0,0,R,.,1,3+,6.8,2.7,,1,.,Adg,Y,00,24.7,4.5,18.4,89.8,60
06PR00128,K3480,1,06,68,05,1,1.0,0,R,.,1,3-,7.4,2.9,,1,.,Adg,Y,00,26.7,5.6,21.1,77.0,56
06PR00129,K3483,1,06,68,05,1,1.0,0,R,.,1,4+,6.4,2.5,,1,.,Adg,Y,00,23.9,5.2,21.7,88.6,60
06PR00130,K3495,1,06,68,05,1,1.0,0,R,.,1,2-,7.3,2.9,4TEATS,1,.,Adg,Y,00,22.6,3.6,15.9,98.4,62
06PR00131,K3477,1,06,68,05,1,1.0,0,R,.,2,3+,7.5,3.0,,1,.,Adg,Y,00,25.2,4.3,16.9,89.7,58
06PR00132,K3518,1,06,68,05,1,1.0,0,R,.,1,3+,6.8,2.7,,1,.,Adg,Y,00,23.6,4.3,18.3,94.0,60
06PR00133,K3519,1,06,68,05,1,1.0,0,R,.,1,2+,7.2,2.8,F2 <Check It,1,.,Adg,Y,00,28.8,6.3,21.8,65.9,54
06PR00134,K3500,1,06,68,05,1,1.0,0,R,.,1,3+,7.1,2.8,4TEATS,1,.,Adg,Y,00,25.9,5.1,19.7,81.1,58
06PR00135,K3539,1,06,68,05,1,1.0,0,R,.,1,4,6.4,2.5,Top Adg Index,1,.,Adg,Y,00,23.8,3.9,16.6,95.4,60
